curve,operation,size,threads,serial_elapsed_ns_p50,parallel_elapsed_ns_p50,speedup,efficiency
BLS12-377,field_add,2,2,476.000000,92186.500000,0.00516345,0.00258172
BLS12-377,field_add,2,4,476.000000,181142.000000,0.00262777,0.00065694
BLS12-377,field_add,2,8,476.000000,430544.500000,0.00110558,0.00013820
BLS12-377,field_add,4,2,536.000000,93593.000000,0.00572692,0.00286346
BLS12-377,field_add,4,4,536.000000,191937.000000,0.00279258,0.00069815
BLS12-377,field_add,4,8,536.000000,476797.500000,0.00112417,0.00014052
BLS12-377,field_add,8,2,576.500000,90631.500000,0.00636092,0.00318046
BLS12-377,field_add,8,4,576.500000,165292.500000,0.00348776,0.00087194
BLS12-377,field_add,8,8,576.500000,430005.000000,0.00134068,0.00016759
BLS12-377,field_add,16,2,796.500000,98159.000000,0.00811439,0.00405719
BLS12-377,field_add,16,4,796.500000,177136.000000,0.00449655,0.00112414
BLS12-377,field_add,16,8,796.500000,460527.500000,0.00172954,0.00021619
BLS12-377,field_add,32,2,1293.000000,111333.500000,0.01161376,0.00580688
BLS12-377,field_add,32,4,1293.000000,172035.000000,0.00751591,0.00187898
BLS12-377,field_add,32,8,1293.000000,524627.000000,0.00246461,0.00030808
BLS12-377,field_add,64,2,1878.000000,106874.000000,0.01757209,0.00878605
BLS12-377,field_add,64,4,1878.000000,223298.000000,0.00841029,0.00210257
BLS12-377,field_add,64,8,1878.000000,469884.500000,0.00399673,0.00049959
BLS12-377,field_add,128,2,3587.000000,93870.000000,0.03821242,0.01910621
BLS12-377,field_add,128,4,3587.000000,230628.000000,0.01555319,0.00388830
BLS12-377,field_add,128,8,3587.000000,487667.500000,0.00735542,0.00091943
BLS12-377,field_add,256,2,6061.500000,106629.000000,0.05684664,0.02842332
BLS12-377,field_add,256,4,6061.500000,233143.000000,0.02599906,0.00649977
BLS12-377,field_add,256,8,6061.500000,544481.000000,0.01113262,0.00139158
BLS12-377,field_add,512,2,11160.500000,106891.000000,0.10441010,0.05220505
BLS12-377,field_add,512,4,11160.500000,194632.000000,0.05734155,0.01433539
BLS12-377,field_add,512,8,11160.500000,566594.500000,0.01969751,0.00246219
BLS12-377,field_inv,2,2,75280.000000,129643.500000,0.58066930,0.29033465
BLS12-377,field_inv,2,4,75280.000000,190492.500000,0.39518616,0.09879654
BLS12-377,field_inv,2,8,75280.000000,541553.000000,0.13900763,0.01737595
BLS12-377,field_inv,4,2,113120.500000,178344.500000,0.63428084,0.31714042
BLS12-377,field_inv,4,4,113120.500000,200959.000000,0.56290338,0.14072584
BLS12-377,field_inv,4,8,113120.500000,537665.500000,0.21039196,0.02629900
BLS12-377,field_inv,8,2,172626.500000,206739.000000,0.83499727,0.41749863
BLS12-377,field_inv,8,4,172626.500000,214870.500000,0.80339786,0.20084947
BLS12-377,field_inv,8,8,172626.500000,596798.000000,0.28925449,0.03615681
