curve,operation,size,repetition,threads,execution_mode,elapsed_ns,operations
BN254,field_add,2,0,1,serial,812,16
BN254,field_add,2,1,1,serial,531,16
BN254,field_add,2,2,1,serial,431,16
BN254,field_add,2,3,1,serial,772,16
BN254,field_add,2,4,1,serial,601,16
BN254,field_add,2,5,1,serial,601,16
BN254,field_add,2,6,1,serial,541,16
BN254,field_add,2,7,1,serial,511,16
BN254,field_add,2,8,1,serial,591,16
BN254,field_add,2,9,1,serial,571,16
BN254,field_add,4,0,1,serial,812,32
BN254,field_add,4,1,1,serial,642,32
BN254,field_add,4,2,1,serial,761,32
BN254,field_add,4,3,1,serial,821,32
BN254,field_add,4,4,1,serial,831,32
BN254,field_add,4,5,1,serial,652,32
BN254,field_add,4,6,1,serial,591,32
BN254,field_add,4,7,1,serial,901,32
BN254,field_add,4,8,1,serial,501,32
BN254,field_add,4,9,1,serial,691,32
BN254,field_add,8,0,1,serial,652,64
BN254,field_add,8,1,1,serial,672,64
BN254,field_add,8,2,1,serial,721,64
BN254,field_add,8,3,1,serial,731,64
BN254,field_add,8,4,1,serial,842,64
BN254,field_add,8,5,1,serial,751,64
BN254,field_add,8,6,1,serial,802,64
BN254,field_add,8,7,1,serial,662,64
BN254,field_add,8,8,1,serial,741,64
BN254,field_add,8,9,1,serial,712,64
BN254,field_add,16,0,1,serial,1062,128
BN254,field_add,16,1,1,serial,872,128
BN254,field_add,16,2,1,serial,742,128
BN254,field_add,16,3,1,serial,821,128
BN254,field_add,16,4,1,serial,802,128
BN254,field_add,16,5,1,serial,811,128
BN254,field_add,16,6,1,serial,971,128
BN254,field_add,16,7,1,serial,1032,128
BN254,field_add,16,8,1,serial,1112,128
BN254,field_add,16,9,1,serial,1202,128
BN254,field_add,32,0,1,serial,1353,256
BN254,field_add,32,1,1,serial,1353,256
BN254,field_add,32,2,1,serial,1663,256
BN254,field_add,32,3,1,serial,1403,256
BN254,field_add,32,4,1,serial,1442,256
BN254,field_add,32,5,1,serial,1703,256
BN254,field_add,32,6,1,serial,1443,256
BN254,field_add,32,7,1,serial,1413,256
BN254,field_add,32,8,1,serial,1413,256
BN254,field_add,32,9,1,serial,1693,256
BN254,field_add,64,0,1,serial,2074,512
BN254,field_add,64,1,1,serial,2043,512
BN254,field_add,64,2,1,serial,2114,512
BN254,field_add,64,3,1,serial,2415,512
BN254,field_add,64,4,1,serial,2344,512
BN254,field_add,64,5,1,serial,2395,512
BN254,field_add,64,6,1,serial,2965,512
BN254,field_add,64,7,1,serial,1914,512
BN254,field_add,64,8,1,serial,2524,512
BN254,field_add,64,9,1,serial,2594,512
BN254,field_add,128,0,1,serial,3146,1024
BN254,field_add,128,1,1,serial,3116,1024
BN254,field_add,128,2,1,serial,3146,1024
BN254,field_add,128,3,1,serial,3617,1024
BN254,field_add,128,4,1,serial,3256,1024
BN254,field_add,128,5,1,serial,3837,1024
BN254,field_add,128,6,1,serial,3056,1024
BN254,field_add,128,7,1,serial,3206,1024
BN254,field_add,128,8,1,serial,3046,1024
BN254,field_add,128,9,1,serial,3677,1024
BN254,field_add,256,0,1,serial,5521,2048
BN254,field_add,256,1,1,serial,5280,2048
BN254,field_add,256,2,1,serial,6703,2048
BN254,field_add,256,3,1,serial,5761,2048
BN254,field_add,256,4,1,serial,6382,2048
BN254,field_add,256,5,1,serial,6302,2048
BN254,field_add,256,6,1,serial,6593,2048
BN254,field_add,256,7,1,serial,5330,2048
BN254,field_add,256,8,1,serial,7053,2048
BN254,field_add,256,9,1,serial,6973,2048
BN254,field_add,512,0,1,serial,11391,4096
BN254,field_add,512,1,1,serial,10219,4096
BN254,field_add,512,2,1,serial,12974,4096
BN254,field_add,512,3,1,serial,10290,4096
BN254,field_add,512,4,1,serial,10229,4096
BN254,field_add,512,5,1,serial,12824,4096
BN254,field_add,512,6,1,serial,12573,4096
BN254,field_add,512,7,1,serial,12494,4096
BN254,field_add,512,8,1,serial,12152,4096
BN254,field_add,512,9,1,serial,12423,4096
BN254,field_mul,2,0,1,serial,682,16
BN254,field_mul,2,1,1,serial,511,16
BN254,field_mul,2,2,1,serial,471,16
BN254,field_mul,2,3,1,serial,1062,16
BN254,field_mul,2,4,1,serial,681,16
BN254,field_mul,2,5,1,serial,651,16
BN254,field_mul,2,6,1,serial,781,16
BN254,field_mul,2,7,1,serial,761,16
BN254,field_mul,2,8,1,serial,601,16
BN254,field_mul,2,9,1,serial,1042,16
BN254,field_mul,4,0,1,serial,1032,32
BN254,field_mul,4,1,1,serial,971,32
BN254,field_mul,4,2,1,serial,1302,32
BN254,field_mul,4,3,1,serial,1032,32
BN254,field_mul,4,4,1,serial,1132,32
BN254,field_mul,4,5,1,serial,1112,32
BN254,field_mul,4,6,1,serial,1052,32
BN254,field_mul,4,7,1,serial,1142,32
BN254,field_mul,4,8,1,serial,1041,32
BN254,field_mul,4,9,1,serial,1022,32
BN254,field_mul,8,0,1,serial,1934,64
BN254,field_mul,8,1,1,serial,1443,64
BN254,field_mul,8,2,1,serial,1293,64
BN254,field_mul,8,3,1,serial,1873,64
BN254,field_mul,8,4,1,serial,1863,64
BN254,field_mul,8,5,1,serial,2003,64
BN254,field_mul,8,6,1,serial,1382,64
BN254,field_mul,8,7,1,serial,1312,64
BN254,field_mul,8,8,1,serial,1794,64
BN254,field_mul,8,9,1,serial,1573,64
BN254,field_mul,16,0,1,serial,2585,128
BN254,field_mul,16,1,1,serial,2534,128
BN254,field_mul,16,2,1,serial,2485,128
BN254,field_mul,16,3,1,serial,2645,128
BN254,field_mul,16,4,1,serial,2565,128
BN254,field_mul,16,5,1,serial,2735,128
BN254,field_mul,16,6,1,serial,3146,128
BN254,field_mul,16,7,1,serial,2645,128
BN254,field_mul,16,8,1,serial,3676,128
BN254,field_mul,16,9,1,serial,2564,128
BN254,field_mul,32,0,1,serial,5179,256
BN254,field_mul,32,1,1,serial,4739,256
BN254,field_mul,32,2,1,serial,5671,256
BN254,field_mul,32,3,1,serial,4668,256
BN254,field_mul,32,4,1,serial,4468,256
BN254,field_mul,32,5,1,serial,4448,256
BN254,field_mul,32,6,1,serial,4869,256
BN254,field_mul,32,7,1,serial,4789,256
BN254,field_mul,32,8,1,serial,4679,256
BN254,field_mul,32,9,1,serial,4589,256
BN254,field_mul,64,0,1,serial,9037,512
BN254,field_mul,64,1,1,serial,11352,512
BN254,field_mul,64,2,1,serial,9528,512
BN254,field_mul,64,3,1,serial,11240,512
BN254,field_mul,64,4,1,serial,9017,512
BN254,field_mul,64,5,1,serial,14827,512
BN254,field_mul,64,6,1,serial,11371,512
BN254,field_mul,64,7,1,serial,11291,512
BN254,field_mul,64,8,1,serial,10990,512
BN254,field_mul,64,9,1,serial,9618,512
BN254,field_mul,128,0,1,serial,21630,1024
BN254,field_mul,128,1,1,serial,21760,1024
BN254,field_mul,128,2,1,serial,22021,1024
BN254,field_mul,128,3,1,serial,17593,1024
BN254,field_mul,128,4,1,serial,22542,1024
BN254,field_mul,128,5,1,serial,18013,1024
BN254,field_mul,128,6,1,serial,17733,1024
BN254,field_mul,128,7,1,serial,17342,1024
BN254,field_mul,128,8,1,serial,17683,1024
BN254,field_mul,128,9,1,serial,17352,1024
BN254,field_mul,256,0,1,serial,34714,2048
BN254,field_mul,256,1,1,serial,42299,2048
BN254,field_mul,256,2,1,serial,43110,2048
BN254,field_mul,256,3,1,serial,34143,2048
BN254,field_mul,256,4,1,serial,42369,2048
BN254,field_mul,256,5,1,serial,34424,2048
BN254,field_mul,256,6,1,serial,34695,2048
BN254,field_mul,256,7,1,serial,34344,2048
BN254,field_mul,256,8,1,serial,34714,2048
BN254,field_mul,256,9,1,serial,41958,2048
BN254,field_mul,512,0,1,serial,85509,4096
BN254,field_mul,512,1,1,serial,73006,4096
BN254,field_mul,512,2,1,serial,69139,4096
BN254,field_mul,512,3,1,serial,67615,4096
BN254,field_mul,512,4,1,serial,84958,4096
BN254,field_mul,512,5,1,serial,85569,4096
BN254,field_mul,512,6,1,serial,67777,4096
BN254,field_mul,512,7,1,serial,67125,4096
BN254,field_mul,512,8,1,serial,67546,4096
BN254,field_mul,512,9,1,serial,67966,4096
BN254,field_inv,2,0,1,serial,83565,16
BN254,field_inv,2,1,1,serial,67405,16
BN254,field_inv,2,2,1,serial,83476,16
BN254,field_inv,2,3,1,serial,66253,16
BN254,field_inv,2,4,1,serial,84056,16
BN254,field_inv,2,5,1,serial,84247,16
BN254,field_inv,2,6,1,serial,67285,16
BN254,field_inv,2,7,1,serial,68838,16
BN254,field_inv,2,8,1,serial,84498,16
BN254,field_inv,2,9,1,serial,67967,16
BN254,field_inv,4,0,1,serial,134059,32
BN254,field_inv,4,1,1,serial,108482,32
BN254,field_inv,4,2,1,serial,115475,32
BN254,field_inv,4,3,1,serial,136554,32
BN254,field_inv,4,4,1,serial,110355,32
BN254,field_inv,4,5,1,serial,108362,32
BN254,field_inv,4,6,1,serial,108411,32
BN254,field_inv,4,7,1,serial,135372,32
BN254,field_inv,4,8,1,serial,109634,32
BN254,field_inv,4,9,1,serial,124852,32
BN254,field_inv,8,0,1,serial,240217,64
BN254,field_inv,8,1,1,serial,229598,64
BN254,field_inv,8,2,1,serial,226512,64
BN254,field_inv,8,3,1,serial,174214,64
BN254,field_inv,8,4,1,serial,178112,64
BN254,field_inv,8,5,1,serial,176218,64
BN254,field_inv,8,6,1,serial,177760,64
BN254,field_inv,8,7,1,serial,209781,64
BN254,field_inv,8,8,1,serial,195824,64
BN254,field_inv,8,9,1,serial,183341,64
BN254,field_inv,16,0,1,serial,318322,128
BN254,field_inv,16,1,1,serial,315187,128
BN254,field_inv,16,2,1,serial,386440,128
BN254,field_inv,16,3,1,serial,309115,128
BN254,field_inv,16,4,1,serial,303965,128
BN254,field_inv,16,5,1,serial,310167,128
BN254,field_inv,16,6,1,serial,354230,128
BN254,field_inv,16,7,1,serial,306059,128
BN254,field_inv,16,8,1,serial,304076,128
BN254,field_inv,16,9,1,serial,391178,128
BN254,field_inv,32,0,1,serial,567386,256
BN254,field_inv,32,1,1,serial,571954,256
BN254,field_inv,32,2,1,serial,581893,256
BN254,field_inv,32,3,1,serial,586461,256
BN254,field_inv,32,4,1,serial,561535,256
BN254,field_inv,32,5,1,serial,562547,256
BN254,field_inv,32,6,1,serial,580480,256
BN254,field_inv,32,7,1,serial,682600,256
BN254,field_inv,32,8,1,serial,572947,256
BN254,field_inv,32,9,1,serial,716233,256
BN254,field_inv,64,0,1,serial,1268831,512
BN254,field_inv,64,1,1,serial,1127698,512
BN254,field_inv,64,2,1,serial,1134511,512
BN254,field_inv,64,3,1,serial,1129592,512
BN254,field_inv,64,4,1,serial,1152214,512
BN254,field_inv,64,5,1,serial,1312392,512
BN254,field_inv,64,6,1,serial,1086181,512
BN254,field_inv,64,7,1,serial,1191738,512
BN254,field_inv,64,8,1,serial,1112731,512
BN254,field_inv,64,9,1,serial,1133401,512
BN254,field_inv,128,0,1,serial,2190826,1024
BN254,field_inv,128,1,1,serial,2226594,1024
BN254,field_inv,128,2,1,serial,2147106,1024
BN254,field_inv,128,3,1,serial,2292035,1024
BN254,field_inv,128,4,1,serial,2472902,1024
BN254,field_inv,128,5,1,serial,2155551,1024
BN254,field_inv,128,6,1,serial,2570883,1024
BN254,field_inv,128,7,1,serial,2282378,1024
BN254,field_inv,128,8,1,serial,2165750,1024
BN254,field_inv,128,9,1,serial,2232584,1024
BN254,field_inv,256,0,1,serial,4519129,2048
BN254,field_inv,256,1,1,serial,4266199,2048
BN254,field_inv,256,2,1,serial,4379650,2048
BN254,field_inv,256,3,1,serial,4597796,2048
BN254,field_inv,256,4,1,serial,4535169,2048
BN254,field_inv,256,5,1,serial,4630709,2048
BN254,field_inv,256,6,1,serial,4527105,2048
BN254,field_inv,256,7,1,serial,4306273,2048
BN254,field_inv,256,8,1,serial,4513590,2048
BN254,field_inv,256,9,1,serial,4432669,2048
BN254,field_inv,512,0,1,serial,8723854,4096
BN254,field_inv,512,1,1,serial,8575308,4096
BN254,field_inv,512,2,1,serial,8563635,4096
BN254,field_inv,512,3,1,serial,8791450,4096
BN254,field_inv,512,4,1,serial,8575017,4096
BN254,field_inv,512,5,1,serial,8620221,4096
BN254,field_inv,512,6,1,serial,8823138,4096
BN254,field_inv,512,7,1,serial,8868245,4096
BN254,field_inv,512,8,1,serial,9604993,4096
BN254,field_inv,512,9,1,serial,8625155,4096
BLS12-377,field_add,2,0,1,serial,621,16
BLS12-377,field_add,2,1,1,serial,491,16
BLS12-377,field_add,2,2,1,serial,460,16
BLS12-377,field_add,2,3,1,serial,290,16
BLS12-377,field_add,2,4,1,serial,611,16
BLS12-377,field_add,2,5,1,serial,661,16
BLS12-377,field_add,2,6,1,serial,391,16
BLS12-377,field_add,2,7,1,serial,461,16
BLS12-377,field_add,2,8,1,serial,881,16
BLS12-377,field_add,2,9,1,serial,370,16
BLS12-377,field_add,4,0,1,serial,521,32
BLS12-377,field_add,4,1,1,serial,622,32
BLS12-377,field_add,4,2,1,serial,571,32
BLS12-377,field_add,4,3,1,serial,551,32
BLS12-377,field_add,4,4,1,serial,481,32
BLS12-377,field_add,4,5,1,serial,461,32
BLS12-377,field_add,4,6,1,serial,581,32
BLS12-377,field_add,4,7,1,serial,592,32
BLS12-377,field_add,4,8,1,serial,370,32
BLS12-377,field_add,4,9,1,serial,481,32
BLS12-377,field_add,8,0,1,serial,611,64
BLS12-377,field_add,8,1,1,serial,731,64
BLS12-377,field_add,8,2,1,serial,592,64
BLS12-377,field_add,8,3,1,serial,551,64
BLS12-377,field_add,8,4,1,serial,961,64
BLS12-377,field_add,8,5,1,serial,1172,64
BLS12-377,field_add,8,6,1,serial,441,64
BLS12-377,field_add,8,7,1,serial,551,64
BLS12-377,field_add,8,8,1,serial,561,64
BLS12-377,field_add,8,9,1,serial,481,64
BLS12-377,field_add,16,0,1,serial,782,128
BLS12-377,field_add,16,1,1,serial,1001,128
BLS12-377,field_add,16,2,1,serial,752,128
BLS12-377,field_add,16,3,1,serial,711,128
BLS12-377,field_add,16,4,1,serial,851,128
BLS12-377,field_add,16,5,1,serial,951,128
BLS12-377,field_add,16,6,1,serial,651,128
BLS12-377,field_add,16,7,1,serial,1092,128
BLS12-377,field_add,16,8,1,serial,802,128
BLS12-377,field_add,16,9,1,serial,791,128
BLS12-377,field_add,32,0,1,serial,1723,256
BLS12-377,field_add,32,1,1,serial,1273,256
BLS12-377,field_add,32,2,1,serial,1293,256
BLS12-377,field_add,32,3,1,serial,1533,256
BLS12-377,field_add,32,4,1,serial,1232,256
BLS12-377,field_add,32,5,1,serial,1382,256
BLS12-377,field_add,32,6,1,serial,1293,256
BLS12-377,field_add,32,7,1,serial,1282,256
BLS12-377,field_add,32,8,1,serial,1152,256
BLS12-377,field_add,32,9,1,serial,1573,256
BLS12-377,field_add,64,0,1,serial,1963,512
BLS12-377,field_add,64,1,1,serial,2305,512
BLS12-377,field_add,64,2,1,serial,1734,512
BLS12-377,field_add,64,3,1,serial,1853,512
BLS12-377,field_add,64,4,1,serial,1903,512
BLS12-377,field_add,64,5,1,serial,1673,512
BLS12-377,field_add,64,6,1,serial,1703,512
BLS12-377,field_add,64,7,1,serial,2224,512
BLS12-377,field_add,64,8,1,serial,1683,512
BLS12-377,field_add,64,9,1,serial,2174,512
BLS12-377,field_add,128,0,1,serial,3577,1024
BLS12-377,field_add,128,1,1,serial,3186,1024
BLS12-377,field_add,128,2,1,serial,3557,1024
BLS12-377,field_add,128,3,1,serial,3737,1024
BLS12-377,field_add,128,4,1,serial,3597,1024
BLS12-377,field_add,128,5,1,serial,3616,1024
BLS12-377,field_add,128,6,1,serial,3136,1024
BLS12-377,field_add,128,7,1,serial,3286,1024
BLS12-377,field_add,128,8,1,serial,3637,1024
BLS12-377,field_add,128,9,1,serial,3727,1024
BLS12-377,field_add,256,0,1,serial,5310,2048
BLS12-377,field_add,256,1,1,serial,5380,2048
BLS12-377,field_add,256,2,1,serial,6853,2048
BLS12-377,field_add,256,3,1,serial,6723,2048
BLS12-377,field_add,256,4,1,serial,6693,2048
BLS12-377,field_add,256,5,1,serial,5661,2048
BLS12-377,field_add,256,6,1,serial,5490,2048
BLS12-377,field_add,256,7,1,serial,6462,2048
BLS12-377,field_add,256,8,1,serial,7725,2048
BLS12-377,field_add,256,9,1,serial,5540,2048
BLS12-377,field_add,512,0,1,serial,12212,4096
BLS12-377,field_add,512,1,1,serial,12924,4096
BLS12-377,field_add,512,2,1,serial,10249,4096
BLS12-377,field_add,512,3,1,serial,9828,4096
BLS12-377,field_add,512,4,1,serial,9728,4096
BLS12-377,field_add,512,5,1,serial,12343,4096
BLS12-377,field_add,512,6,1,serial,9808,4096
BLS12-377,field_add,512,7,1,serial,13295,4096
BLS12-377,field_add,512,8,1,serial,12072,4096
BLS12-377,field_add,512,9,1,serial,9748,4096
BLS12-377,field_mul,2,0,1,serial,831,16
BLS12-377,field_mul,2,1,1,serial,541,16
BLS12-377,field_mul,2,2,1,serial,470,16
BLS12-377,field_mul,2,3,1,serial,691,16
BLS12-377,field_mul,2,4,1,serial,591,16
BLS12-377,field_mul,2,5,1,serial,611,16
BLS12-377,field_mul,2,6,1,serial,581,16
BLS12-377,field_mul,2,7,1,serial,731,16
BLS12-377,field_mul,2,8,1,serial,541,16
BLS12-377,field_mul,2,9,1,serial,891,16
BLS12-377,field_mul,4,0,1,serial,972,32
BLS12-377,field_mul,4,1,1,serial,852,32
BLS12-377,field_mul,4,2,1,serial,932,32
BLS12-377,field_mul,4,3,1,serial,912,32
BLS12-377,field_mul,4,4,1,serial,802,32
BLS12-377,field_mul,4,5,1,serial,831,32
BLS12-377,field_mul,4,6,1,serial,651,32
BLS12-377,field_mul,4,7,1,serial,1643,32
BLS12-377,field_mul,4,8,1,serial,671,32
BLS12-377,field_mul,4,9,1,serial,721,32
BLS12-377,field_mul,8,0,1,serial,1623,64
BLS12-377,field_mul,8,1,1,serial,1513,64
BLS12-377,field_mul,8,2,1,serial,1423,64
BLS12-377,field_mul,8,3,1,serial,1363,64
BLS12-377,field_mul,8,4,1,serial,1633,64
BLS12-377,field_mul,8,5,1,serial,1432,64
BLS12-377,field_mul,8,6,1,serial,1754,64
BLS12-377,field_mul,8,7,1,serial,1552,64
BLS12-377,field_mul,8,8,1,serial,1412,64
BLS12-377,field_mul,8,9,1,serial,1754,64
BLS12-377,field_mul,16,0,1,serial,2535,128
BLS12-377,field_mul,16,1,1,serial,2735,128
BLS12-377,field_mul,16,2,1,serial,2435,128
BLS12-377,field_mul,16,3,1,serial,2465,128
BLS12-377,field_mul,16,4,1,serial,3386,128
BLS12-377,field_mul,16,5,1,serial,2785,128
BLS12-377,field_mul,16,6,1,serial,2966,128
BLS12-377,field_mul,16,7,1,serial,2165,128
BLS12-377,field_mul,16,8,1,serial,2905,128
BLS12-377,field_mul,16,9,1,serial,3877,128
BLS12-377,field_mul,32,0,1,serial,4128,256
BLS12-377,field_mul,32,1,1,serial,4579,256
BLS12-377,field_mul,32,2,1,serial,5620,256
BLS12-377,field_mul,32,3,1,serial,5189,256
BLS12-377,field_mul,32,4,1,serial,5209,256
BLS12-377,field_mul,32,5,1,serial,5540,256
BLS12-377,field_mul,32,6,1,serial,5160,256
BLS12-377,field_mul,32,7,1,serial,5681,256
BLS12-377,field_mul,32,8,1,serial,5701,256
BLS12-377,field_mul,32,9,1,serial,5340,256
BLS12-377,field_mul,64,0,1,serial,10239,512
BLS12-377,field_mul,64,1,1,serial,10389,512
BLS12-377,field_mul,64,2,1,serial,8085,512
BLS12-377,field_mul,64,3,1,serial,8034,512
BLS12-377,field_mul,64,4,1,serial,8395,512
BLS12-377,field_mul,64,5,1,serial,8256,512
BLS12-377,field_mul,64,6,1,serial,10289,512
BLS12-377,field_mul,64,7,1,serial,10299,512
BLS12-377,field_mul,64,8,1,serial,8415,512
BLS12-377,field_mul,64,9,1,serial,8076,512
BLS12-377,field_mul,128,0,1,serial,16231,1024
BLS12-377,field_mul,128,1,1,serial,16180,1024
BLS12-377,field_mul,128,2,1,serial,16090,1024
BLS12-377,field_mul,128,3,1,serial,20198,1024
