curve,operation,size,repetition,threads,execution_mode,elapsed_ns,operations
BN254,field_add,2,0,4,parallel,1091955,16
BN254,field_add,2,1,4,parallel,132917,16
BN254,field_add,2,2,4,parallel,311635,16
BN254,field_add,2,3,4,parallel,194011,16
BN254,field_add,2,4,4,parallel,257779,16
BN254,field_add,2,5,4,parallel,260520,16
BN254,field_add,2,6,4,parallel,241695,16
BN254,field_add,2,7,4,parallel,231611,16
BN254,field_add,2,8,4,parallel,155199,16
BN254,field_add,2,9,4,parallel,234551,16
BN254,field_add,4,0,4,parallel,137235,32
BN254,field_add,4,1,4,parallel,218006,32
BN254,field_add,4,2,4,parallel,232566,32
BN254,field_add,4,3,4,parallel,242260,32
BN254,field_add,4,4,4,parallel,331506,32
BN254,field_add,4,5,4,parallel,313524,32
BN254,field_add,4,6,4,parallel,257335,32
BN254,field_add,4,7,4,parallel,140467,32
BN254,field_add,4,8,4,parallel,341698,32
BN254,field_add,4,9,4,parallel,316164,32
BN254,field_add,8,0,4,parallel,258781,64
BN254,field_add,8,1,4,parallel,248468,64
BN254,field_add,8,2,4,parallel,138859,64
BN254,field_add,8,3,4,parallel,140341,64
BN254,field_add,8,4,4,parallel,146798,64
BN254,field_add,8,5,4,parallel,268158,64
BN254,field_add,8,6,4,parallel,260024,64
BN254,field_add,8,7,4,parallel,230048,64
BN254,field_add,8,8,4,parallel,164106,64
BN254,field_add,8,9,4,parallel,176952,64
BN254,field_add,16,0,4,parallel,338465,128
BN254,field_add,16,1,4,parallel,151502,128
BN254,field_add,16,2,4,parallel,297965,128
BN254,field_add,16,3,4,parallel,153682,128
BN254,field_add,16,4,4,parallel,252580,128
BN254,field_add,16,5,4,parallel,243567,128
BN254,field_add,16,6,4,parallel,239736,128
BN254,field_add,16,7,4,parallel,332208,128
BN254,field_add,16,8,4,parallel,252821,128
BN254,field_add,16,9,4,parallel,229176,128
BN254,field_add,32,0,4,parallel,346988,256
BN254,field_add,32,1,4,parallel,366101,256
BN254,field_add,32,2,4,parallel,256989,256
BN254,field_add,32,3,4,parallel,187567,256
BN254,field_add,32,4,4,parallel,185014,256
BN254,field_add,32,5,4,parallel,133588,256
BN254,field_add,32,6,4,parallel,374951,256
BN254,field_add,32,7,4,parallel,301772,256
BN254,field_add,32,8,4,parallel,293336,256
BN254,field_add,32,9,4,parallel,197327,256
BN254,field_add,64,0,4,parallel,177803,512
BN254,field_add,64,1,4,parallel,124755,512
BN254,field_add,64,2,4,parallel,160448,512
BN254,field_add,64,3,4,parallel,194522,512
BN254,field_add,64,4,4,parallel,310809,512
BN254,field_add,64,5,4,parallel,152745,512
BN254,field_add,64,6,4,parallel,311400,512
BN254,field_add,64,7,4,parallel,252761,512
BN254,field_add,64,8,4,parallel,180436,512
BN254,field_add,64,9,4,parallel,336246,512
BN254,field_add,128,0,4,parallel,271653,1024
BN254,field_add,128,1,4,parallel,137316,1024
BN254,field_add,128,2,4,parallel,394236,1024
BN254,field_add,128,3,4,parallel,181538,1024
BN254,field_add,128,4,4,parallel,273244,1024
BN254,field_add,128,5,4,parallel,276069,1024
BN254,field_add,128,6,4,parallel,155019,1024
BN254,field_add,128,7,4,parallel,176288,1024
BN254,field_add,128,8,4,parallel,268014,1024
BN254,field_add,128,9,4,parallel,140993,1024
BN254,field_add,256,0,4,parallel,262558,2048
BN254,field_add,256,1,4,parallel,202697,2048
BN254,field_add,256,2,4,parallel,177730,2048
BN254,field_add,256,3,4,parallel,207557,2048
BN254,field_add,256,4,4,parallel,220940,2048
BN254,field_add,256,5,4,parallel,291814,2048
BN254,field_add,256,6,4,parallel,201946,2048
BN254,field_add,256,7,4,parallel,293197,2048
BN254,field_add,256,8,4,parallel,368897,2048
BN254,field_add,256,9,4,parallel,201029,2048
BN254,field_add,512,0,4,parallel,187910,4096
BN254,field_add,512,1,4,parallel,176639,4096
BN254,field_add,512,2,4,parallel,413673,4096
BN254,field_add,512,3,4,parallel,158415,4096
BN254,field_add,512,4,4,parallel,181167,4096
BN254,field_add,512,5,4,parallel,133623,4096
BN254,field_add,512,6,4,parallel,223631,4096
BN254,field_add,512,7,4,parallel,177510,4096
BN254,field_add,512,8,4,parallel,284158,4096
BN254,field_add,512,9,4,parallel,192859,4096
BN254,field_mul,2,0,4,parallel,281253,16
BN254,field_mul,2,1,4,parallel,165438,16
BN254,field_mul,2,2,4,parallel,330916,16
BN254,field_mul,2,3,4,parallel,147084,16
BN254,field_mul,2,4,4,parallel,328967,16
BN254,field_mul,2,5,4,parallel,399176,16
BN254,field_mul,2,6,4,parallel,232563,16
BN254,field_mul,2,7,4,parallel,164727,16
BN254,field_mul,2,8,4,parallel,283156,16
BN254,field_mul,2,9,4,parallel,348283,16
BN254,field_mul,4,0,4,parallel,211042,32
BN254,field_mul,4,1,4,parallel,251422,32
BN254,field_mul,4,2,4,parallel,184363,32
BN254,field_mul,4,3,4,parallel,305769,32
BN254,field_mul,4,4,4,parallel,318383,32
BN254,field_mul,4,5,4,parallel,248637,32
BN254,field_mul,4,6,4,parallel,285832,32
BN254,field_mul,4,7,4,parallel,255945,32
BN254,field_mul,4,8,4,parallel,177360,32
BN254,field_mul,4,9,4,parallel,239255,32
BN254,field_mul,8,0,4,parallel,332589,64
BN254,field_mul,8,1,4,parallel,181758,64
BN254,field_mul,8,2,4,parallel,263846,64
BN254,field_mul,8,3,4,parallel,252653,64
BN254,field_mul,8,4,4,parallel,148166,64
BN254,field_mul,8,5,4,parallel,151051,64
BN254,field_mul,8,6,4,parallel,206203,64
BN254,field_mul,8,7,4,parallel,257504,64
BN254,field_mul,8,8,4,parallel,103473,64
BN254,field_mul,8,9,4,parallel,311590,64
BN254,field_mul,16,0,4,parallel,299458,128
BN254,field_mul,16,1,4,parallel,169476,128
BN254,field_mul,16,2,4,parallel,375929,128
BN254,field_mul,16,3,4,parallel,428698,128
BN254,field_mul,16,4,4,parallel,184033,128
BN254,field_mul,16,5,4,parallel,220571,128
BN254,field_mul,16,6,4,parallel,190245,128
BN254,field_mul,16,7,4,parallel,306520,128
BN254,field_mul,16,8,4,parallel,394554,128
BN254,field_mul,16,9,4,parallel,197282,128
BN254,field_mul,32,0,4,parallel,293546,256
BN254,field_mul,32,1,4,parallel,140191,256
BN254,field_mul,32,2,4,parallel,263050,256
BN254,field_mul,32,3,4,parallel,271781,256
BN254,field_mul,32,4,4,parallel,258822,256
BN254,field_mul,32,5,4,parallel,180256,256
BN254,field_mul,32,6,4,parallel,169445,256
BN254,field_mul,32,7,4,parallel,276264,256
BN254,field_mul,32,8,4,parallel,150550,256
BN254,field_mul,32,9,4,parallel,246535,256
BN254,field_mul,64,0,4,parallel,212195,512
BN254,field_mul,64,1,4,parallel,369998,512
BN254,field_mul,64,2,4,parallel,164577,512
BN254,field_mul,64,3,4,parallel,171369,512
