curve,operation,size,threads,execution_mode,repetitions,elapsed_ns_p50,elapsed_ns_p95,elapsed_ns_mean,elapsed_ns_cv,operations,throughput_ops_per_s_p50
BLS12-377,field_add,2,1,serial,10,476.000000,782.000000,523.700000,0.32981962,16,33613445.378151
BLS12-377,field_add,2,2,parallel,10,92186.500000,112230.100000,95409.000000,0.10475737,16,173561.204732
BLS12-377,field_add,2,4,parallel,10,181142.000000,324089.000000,206364.200000,0.34860240,16,88328.493668
BLS12-377,field_add,2,8,parallel,10,430544.500000,545950.850000,437675.000000,0.16074178,16,37162.244553
BLS12-377,field_add,4,1,serial,10,536.000000,608.500000,523.100000,0.14502881,32,59701492.537313
BLS12-377,field_add,4,2,parallel,10,93593.000000,107065.100000,94113.700000,0.08703011,32,341905.911767
BLS12-377,field_add,4,4,parallel,10,191937.000000,346146.900000,231329.600000,0.39010855,32,166721.372117
BLS12-377,field_add,4,8,parallel,10,476797.500000,504790.650000,465872.900000,0.08885891,32,67114.445860
BLS12-377,field_add,8,1,serial,10,576.500000,1077.050000,665.200000,0.34648818,64,111014744.145707
BLS12-377,field_add,8,2,parallel,10,90631.500000,114522.850000,94418.300000,0.12723299,64,706156.248104
BLS12-377,field_add,8,4,parallel,10,165292.500000,354025.200000,213818.200000,0.42457567,64,387192.401349
BLS12-377,field_add,8,8,parallel,10,430005.000000,518257.750000,444965.900000,0.10743785,64,148835.478657
BLS12-377,field_add,16,1,serial,10,796.500000,1051.050000,838.400000,0.16352031,128,160703075.957313
BLS12-377,field_add,16,2,parallel,10,98159.000000,139988.950000,105545.500000,0.17936960,128,1304006.764535
BLS12-377,field_add,16,4,parallel,10,177136.000000,309146.850000,202783.300000,0.32049974,128,722608.617108
BLS12-377,field_add,16,8,parallel,10,460527.500000,571773.200000,461432.000000,0.21682394,128,277942.142434
BLS12-377,field_add,32,1,serial,10,1293.000000,1655.500000,1373.600000,0.13022667,256,197989172.467131
BLS12-377,field_add,32,2,parallel,10,111333.500000,155939.350000,116949.400000,0.19559969,256,2299397.755393
BLS12-377,field_add,32,4,parallel,10,172035.000000,282640.650000,200755.700000,0.26506541,256,1488069.288226
BLS12-377,field_add,32,8,parallel,10,524627.000000,580040.850000,481384.200000,0.23468702,256,487965.735656
BLS12-377,field_add,64,1,serial,10,1878.000000,2268.550000,1921.500000,0.12396217,512,272630457.933972
BLS12-377,field_add,64,2,parallel,10,106874.000000,150038.400000,110440.000000,0.23434317,512,4790688.100006
BLS12-377,field_add,64,4,parallel,10,223298.000000,321706.450000,232980.800000,0.26715234,512,2292900.070757
BLS12-377,field_add,64,8,parallel,10,469884.500000,511096.350000,447672.400000,0.13404523,512,1089629.472775
BLS12-377,field_add,128,1,serial,10,3587.000000,3732.500000,3505.600000,0.06271958,1024,285475327.571787
BLS12-377,field_add,128,2,parallel,10,93870.000000,110397.700000,96960.600000,0.07759409,1024,10908703.526153
BLS12-377,field_add,128,4,parallel,10,230628.000000,338821.650000,237755.000000,0.28048417,1024,4440050.644328
BLS12-377,field_add,128,8,parallel,10,487667.500000,575536.800000,471158.400000,0.19527609,1024,2099791.353740
BLS12-377,field_add,256,1,serial,10,6061.500000,7332.600000,6183.700000,0.13236236,2048,337870164.150788
BLS12-377,field_add,256,2,parallel,10,106629.000000,120253.750000,106187.500000,0.09340866,2048,19206782.395033
BLS12-377,field_add,256,4,parallel,10,233143.000000,384065.350000,252053.800000,0.36754848,2048,8784308.342948
BLS12-377,field_add,256,8,parallel,10,544481.000000,621302.450000,527142.400000,0.16048196,2048,3761380.103254
BLS12-377,field_add,512,1,serial,10,11160.500000,13128.050000,11220.700000,0.13100561,4096,367008646.566014
BLS12-377,field_add,512,2,parallel,10,106891.000000,134073.900000,109777.300000,0.14409411,4096,38319409.491912
BLS12-377,field_add,512,4,parallel,10,194632.000000,301916.000000,210200.800000,0.23863348,4096,21044843.602285
BLS12-377,field_add,512,8,parallel,10,566594.500000,750279.500000,564714.900000,0.27470788,4096,7229155.948390
BLS12-377,field_inv,2,1,serial,10,75280.000000,85515.800000,75408.400000,0.11929631,16,212539.851222
BLS12-377,field_inv,2,2,parallel,10,129643.500000,170130.100000,135530.800000,0.14273283,16,123415.365984
BLS12-377,field_inv,2,4,parallel,10,190492.500000,269888.300000,197522.800000,0.22892087,16,83992.808116
BLS12-377,field_inv,2,8,parallel,10,541553.000000,635674.350000,531300.200000,0.19742010,16,29544.661372
BLS12-377,field_inv,4,1,serial,10,113120.500000,139577.900000,118687.700000,0.12342308,32,282884.181028
BLS12-377,field_inv,4,2,parallel,10,178344.500000,189193.550000,174954.100000,0.07686120,32,179428.017124
BLS12-377,field_inv,4,4,parallel,10,200959.000000,216130.550000,199297.700000,0.07493556,32,159236.461169
BLS12-377,field_inv,4,8,parallel,10,537665.500000,679502.800000,520062.300000,0.22691933,32,59516.558157
BLS12-377,field_inv,8,1,serial,10,172626.500000,211713.150000,182699.000000,0.09388964,64,370742.614836
BLS12-377,field_inv,8,2,parallel,10,206739.000000,213690.800000,206653.300000,0.02511581,64,309569.070180
BLS12-377,field_inv,8,4,parallel,10,214870.500000,231237.250000,213257.000000,0.07373450,64,297853.823582
BLS12-377,field_inv,8,8,parallel,10,596798.000000,731427.000000,610496.200000,0.12671734,64,107238.965278
BLS12-377,field_inv,16,1,serial,10,319334.000000,370166.350000,330149.200000,0.10006084,128,400834.236254
BLS12-377,field_inv,16,2,parallel,10,303455.000000,366430.200000,308428.700000,0.11107474,128,421808.834918
BLS12-377,field_inv,16,4,parallel,10,270137.500000,320047.850000,275486.400000,0.09989701,128,473832.770348
BLS12-377,field_inv,16,8,parallel,10,623649.500000,751197.300000,612053.000000,0.18585646,128,205243.490133
BLS12-377,field_inv,32,1,serial,10,582369.500000,770389.600000,622932.300000,0.14723903,256,439583.460329
BLS12-377,field_inv,32,2,parallel,10,462235.500000,503310.700000,459245.000000,0.07810530,256,553830.244540
BLS12-377,field_inv,32,4,parallel,10,401777.500000,458105.550000,385096.700000,0.14881398,256,637168.582113
BLS12-377,field_inv,32,8,parallel,10,658871.500000,763194.050000,676744.600000,0.08633262,256,388543.137774
BLS12-377,field_inv,64,1,serial,10,1147770.500000,1293299.750000,1165542.900000,0.08842608,512,446082.208943
BLS12-377,field_inv,64,2,parallel,10,806691.500000,962403.600000,823933.300000,0.11104534,512,634691.204754
BLS12-377,field_inv,64,4,parallel,10,596593.000000,689212.100000,592453.400000,0.11222312,512,858206.516000
BLS12-377,field_inv,64,8,parallel,10,672970.000000,928025.500000,721503.900000,0.18086238,512,760806.573844
BLS12-377,field_inv,128,1,serial,10,2321088.500000,2578843.700000,2322269.200000,0.06925559,1024,441172.320659
BLS12-377,field_inv,128,2,parallel,10,1373646.000000,1503175.650000,1344088.000000,0.09653695,1024,745461.348848
BLS12-377,field_inv,128,4,parallel,10,905213.000000,970735.300000,903500.800000,0.06359534,1024,1131225.468481
BLS12-377,field_inv,128,8,parallel,10,869193.500000,1028394.300000,870009.600000,0.12038927,1024,1178103.609841
BLS12-377,field_inv,256,1,serial,10,4361943.000000,4490412.250000,4358097.800000,0.02575139,2048,469515.534706
BLS12-377,field_inv,256,2,parallel,10,2428375.000000,3031030.750000,2542166.300000,0.12807147,2048,843362.330777
BLS12-377,field_inv,256,4,parallel,10,1480352.000000,1793604.950000,1512240.200000,0.11787405,2048,1383454.745898
BLS12-377,field_inv,256,8,parallel,10,1179031.500000,1635092.000000,1230682.200000,0.19301930,2048,1737018.900682
BLS12-377,field_inv,512,1,serial,10,8566095.000000,9028143.600000,8639969.800000,0.03151393,4096,478164.204343
BLS12-377,field_inv,512,2,parallel,10,4603968.000000,4811948.400000,4608420.200000,0.03212448,4096,889667.347818
BLS12-377,field_inv,512,4,parallel,10,2541175.500000,2705401.550000,2568797.700000,0.03347883,4096,1611852.467490
BLS12-377,field_inv,512,8,parallel,10,1756386.500000,2344587.950000,1885286.100000,0.13712907,4096,2332060.739478
BLS12-377,field_mul,2,1,serial,10,601.000000,864.000000,647.900000,0.20896163,16,26622296.173045
BLS12-377,field_mul,2,2,parallel,10,95889.000000,110815.200000,97426.600000,0.08898910,16,166859.598077
