schema_version,evidence_class,measurement_scope,chain_id,system,repetition,proof_bytes,proof_sha256,submitted_at,transaction_hash,block_number,status,gas_used,effective_gas_price_wei,l2_execution_fee_wei,l1_fee_wei,l1_gas_used,l1_gas_price_wei,l1_base_fee_scalar,l1_blob_base_fee_wei,l1_blob_base_fee_scalar,blob_gas_used,da_footprint_gas_scalar,operator_fee_wei,operator_fee_scalar,operator_fee_constant,receipt_total_fee_wei,total_paid_wei_balance_delta,receipt_latency_ms,cumulative_receipt_fee_wei
1.0,measured,proof_publication_only_no_evm_verification,84532,bulletproofs,6,1313,bb721852a7a3784997e8356a6472f9d1561a3390c0eaa5f709db252fb0e1c83b,2026-08-20T16:53:51.041553+00:00,0xe4796bffac535c91cd98a85ec36a1e572b60488d4f75000f739726cab9a23fcf,45738267,1,73310,6000000,439860000000,68649781758,19046,1029879146,1101,59902024,659851,530740,446,,,,508509781758,508509781758,1749.5702000014717,508509781758
1.0,measured,proof_publication_only_no_evm_verification,84532,stark,3,52638,34361df5268f65347ea9d1e989c75b41e7110410da114b41d266d66374a0cbe3,2026-08-20T16:53:57.918874+00:00,0x3992cb8772b6b360c9bce12b2dd4312641f5411589dd1f5f95b7d6ed0527d325,45738270,1,2119170,6000000,12715020000000,2620975654716,727180,1029879146,1101,59902024,659851,20269808,446,,,,15335995654716,15335995654716,1119.641600002069,15844505436474
1.0,measured,proof_publication_only_no_evm_verification,84532,stark,5,52638,34361df5268f65347ea9d1e989c75b41e7110410da114b41d266d66374a0cbe3,2026-08-20T16:54:05.264919+00:00,0x4ddfab860da54f967417863989fcbb3753085dbecf5fbfcdf13658c062b67734,45738274,1,2119170,6000000,12715020000000,2739813841620,727180,1075340123,1101,62651024,659851,20269808,446,,,,15454833841620,15454833841620,892.6075999988825,31299339278094
1.0,measured,proof_publication_only_no_evm_verification,84532,stark,4,52638,34361df5268f65347ea9d1e989c75b41e7110410da114b41d266d66374a0cbe3,2026-08-20T16:54:15.656828+00:00,0x1f45b7e8459d2d083577a079483777017f7e60e49e7da56a04151005070538cf,45738279,1,2119170,6000000,12715020000000,2729219196957,727180,1044491779,1101,63121301,659851,20269808,446,,,,15444239196957,15444239196957,1079.9987999998848,46743578475051
1.0,measured,proof_publication_only_no_evm_verification,84532,stark,6,52638,34361df5268f65347ea9d1e989c75b41e7110410da114b41d266d66374a0cbe3,2026-08-20T16:54:22.903432+00:00,0xd86d64a02463b901159538a4e4521c3c0dfeed6cdc882f2f363102f769043392,45738283,1,2119170,6000000,12715020000000,2729219196957,727180,1044491779,1101,63121301,659851,20269808,446,,,,15444239196957,15444239196957,1003.4775999956764,62187817672008
1.0,measured,proof_publication_only_no_evm_verification,84532,plonk,6,977,f1def1eb9619c66105674324adeaf9cdf182f3e198c3a45351d0c614a82b1046,2026-08-20T16:54:29.893795+00:00,0x5fcc7e2aec4bece11c9d1695ba9deaa85ec1aba16a9169a92f98ac2fbcee2aad,45738286,1,59150,6000000,354900000000,54103719825,14215,1038934644,1101,64553423,659851,396048,446,,,,409003719825,409003719825,717.4193999962881,62596821391833
1.0,measured,proof_publication_only_no_evm_verification,84532,stark,8,52638,34361df5268f65347ea9d1e989c75b41e7110410da114b41d266d66374a0cbe3,2026-08-20T16:54:36.157702+00:00,0x3f9a7dee2d073988f0e265e189c7c2c14aa618128dbb904129d9e5a5faf5b369,45738289,1,2119170,6000000,12715020000000,2767718535933,727180,1038934644,1101,64553423,659851,20269808,446,,,,15482738535933,15482738535933,1017.4016999953892,78079559927766
1.0,measured,proof_publication_only_no_evm_verification,84532,groth16,6,192,d2781083d15c6d15d7f140e6efd9e88463a291cf45e075e16cbd40c18ed2dcbb,2026-08-20T16:54:41.927631+00:00,0x81ff70e5b5c67490499e17b3fbc618f9f2d1e279025cd226fe5412f1621b5bc1,45738292,1,28680,6000000,172080000000,13944569110,3547,1021787704,1101,68022677,659851,98566,446,,,,186024569110,186024569110,728.556900001422,78265584496876
1.0,measured,proof_publication_only_no_evm_verification,84532,groth16,8,192,d2781083d15c6d15d7f140e6efd9e88463a291cf45e075e16cbd40c18ed2dcbb,2026-08-20T16:54:51.274609+00:00,0xd61b931d049d1feae818084e895e0144f900e9738260e81ceb359ae9a17afb2c,45738297,1,28680,6000000,172080000000,13335663913,3547,977709993,1101,65037980,659851,98566,446,,,,185415663913,185415663913,748.6597999959486,78451000160789
1.0,measured,proof_publication_only_no_evm_verification,84532,stark,2,52638,34361df5268f65347ea9d1e989c75b41e7110410da114b41d266d66374a0cbe3,2026-08-20T16:54:58.646527+00:00,0x261bb97e52e1fc1221ce20489fabff2153788200bfe0461a5ab0f5994e1fe77b,45738301,1,2119170,6000000,12715020000000,2733232080610,727180,977709993,1101,65037980,659851,20269808,446,,,,15448252080610,15448252080610,1218.6061999964295,93899252241399
1.0,measured,proof_publication_only_no_evm_verification,84532,groth16,1,192,d2781083d15c6d15d7f140e6efd9e88463a291cf45e075e16cbd40c18ed2dcbb,2026-08-20T16:55:06.785922+00:00,0xc7775acf6aaa4fbc4c2a2f65a4be86d01298bae0ef4e5d529cb757dbf7545c79,45738305,1,28680,6000000,172080000000,12898669393,3547,1099780862,1101,58792513,659851,98566,446,,,,184978669393,184978669393,2012.118400001782,94084230910792
1.0,measured,proof_publication_only_no_evm_verification,84532,bulletproofs,1,1313,bb721852a7a3784997e8356a6472f9d1561a3390c0eaa5f709db252fb0e1c83b,2026-08-20T16:55:13.349377+00:00,0xf8dd3c7a7e3197fc7be905c9241e9f0c62386df993fd25a9cbfcc8ba123f9c14,45738308,1,73310,6000000,439860000000,69244128414,19046,1099780862,1101,58792513,659851,530740,446,,,,509104128414,509104128414,719.9616999932914,94593335039206
1.0,measured,proof_publication_only_no_evm_verification,84532,plonk,9,977,f1def1eb9619c66105674324adeaf9cdf182f3e198c3a45351d0c614a82b1046,2026-08-20T16:55:20.008457+00:00,0x5c31092207a0725d53fa271baf6db65d73649773997a5ae5d1da35696185a812,45738311,1,59150,6000000,354900000000,51632600988,14215,1055273020,1101,59902019,659851,396048,446,,,,406532600988,406532600988,686.2378000005265,94999867640194
1.0,measured,proof_publication_only_no_evm_verification,84532,plonk,7,977,f1def1eb9619c66105674324adeaf9cdf182f3e198c3a45351d0c614a82b1046,2026-08-20T16:55:28.246741+00:00,0xda8a9b30954cebb997ba61c38a7ddf9400b0287a3e5b1f434e7d44ae49a4ecbb,45738315,1,59150,6000000,354900000000,51632600988,14215,1055273020,1101,59902019,659851,396048,446,,,,406532600988,406532600988,775.0986000028206,95406400241182
