claim_id,experiment_id,adapter_commit,config_hash,workload,variant,parameter_set,parameters_json,phase,input_scale,threads,invalid_proof_kind,supported,n,mean_latency_ms,stdev_latency_ms,p50_latency_ms,p95_latency_ms,min_latency_ms,max_latency_ms,median_cpu_time_ms,median_peak_rss_mb,median_page_faults,proof_bytes,native_relation_size,relation_unit,public_inputs,expected_outcomes,stdev_unavailable_reason,excluded_boundary_metrics,metric_unavailable_reason,speedup_vs_one_thread,speedup_ci_low,speedup_ci_high,parallel_efficiency,application_throughput_units_s,native_overhead_ratio,cpu_wall_ratio,ram_per_application_unit_mb,saturation_threads,scaling_coefficient_a,scaling_exponent_b,scaling_exponent_ci_low,scaling_exponent_ci_high,scaling_r_squared,evidence_class,result_scope,run_role,recorded
C4-BULLETPROOFS-SPECIALIZED,bulletproofs-range-pilot-v1,47bfac70c1d6594282e7d744ebd8fa5bb594e5d3,bbc0b1a10dec6a35e8a7bb12148f97382d31ec9a72801a9734eae70aae800557,private_swap,bulletproofs-5.0.0-ristretto,range32-aggregate,"{""range_bits"":32}",adapter_process_wall,2,1,,true,3,72.471953,2.155857,71.503686,74.598330,70.969993,74.942179,10.000000,3.125000,381.000000,736,128,range_bits,4,all-expected,,,"private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,0.139853,1.562500,,,,,,,measured,specialized Bulletproofs range baseline; validate bundle before paper reporting,measurement,true
C4-BULLETPROOFS-SPECIALIZED,bulletproofs-range-pilot-v1,47bfac70c1d6594282e7d744ebd8fa5bb594e5d3,bbc0b1a10dec6a35e8a7bb12148f97382d31ec9a72801a9734eae70aae800557,private_swap,bulletproofs-5.0.0-ristretto,range32-aggregate,"{""range_bits"":32}",adapter_process_wall,2,1,wrong_public_input,true,3,70.450351,3.784104,68.293907,74.167153,68.237409,74.819736,15.000000,3.113281,379.000000,736,128,range_bits,4,all-expected,,,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/551/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/553/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,0.219639,1.556641,,,,,,,measured,specialized Bulletproofs range baseline; validate bundle before paper reporting,measurement,true
C4-BULLETPROOFS-SPECIALIZED,bulletproofs-range-pilot-v1,47bfac70c1d6594282e7d744ebd8fa5bb594e5d3,bbc0b1a10dec6a35e8a7bb12148f97382d31ec9a72801a9734eae70aae800557,private_swap,bulletproofs-5.0.0-ristretto,range32-aggregate,"{""range_bits"":32}",adapter_process_wall,2,2,,true,3,69.868671,2.605129,69.265786,72.376725,67.617841,72.722385,10.000000,3.097656,381.000000,736,128,range_bits,4,all-expected,,,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/539/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,0.144371,1.548828,,,,,,,measured,specialized Bulletproofs range baseline; validate bundle before paper reporting,measurement,true
C4-BULLETPROOFS-SPECIALIZED,bulletproofs-range-pilot-v1,47bfac70c1d6594282e7d744ebd8fa5bb594e5d3,bbc0b1a10dec6a35e8a7bb12148f97382d31ec9a72801a9734eae70aae800557,private_swap,bulletproofs-5.0.0-ristretto,range32-aggregate,"{""range_bits"":32}",adapter_process_wall,2,2,wrong_public_input,true,3,68.401323,0.652477,68.328772,69.011217,67.788154,69.087044,10.000000,3.089844,380.000000,736,128,range_bits,4,all-expected,,,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/499/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/503/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,0.146351,1.544922,,,,,,,measured,specialized Bulletproofs range baseline; validate bundle before paper reporting,measurement,true
C4-BULLETPROOFS-SPECIALIZED,bulletproofs-range-pilot-v1,47bfac70c1d6594282e7d744ebd8fa5bb594e5d3,bbc0b1a10dec6a35e8a7bb12148f97382d31ec9a72801a9734eae70aae800557,private_swap,bulletproofs-5.0.0-ristretto,range32-aggregate,"{""range_bits"":32}",adapter_process_wall,2,4,,true,3,68.434977,0.272305,68.467365,68.667412,68.147926,68.689639,10.000000,3.250000,380.000000,736,128,range_bits,4,all-expected,,,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/489/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/509/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/531/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,0.146055,1.625000,,,,,,,measured,specialized Bulletproofs range baseline; validate bundle before paper reporting,measurement,true
C4-BULLETPROOFS-SPECIALIZED,bulletproofs-range-pilot-v1,47bfac70c1d6594282e7d744ebd8fa5bb594e5d3,bbc0b1a10dec6a35e8a7bb12148f97382d31ec9a72801a9734eae70aae800557,private_swap,bulletproofs-5.0.0-ristretto,range32-aggregate,"{""range_bits"":32}",adapter_process_wall,2,4,wrong_public_input,true,3,69.574015,1.157543,69.002679,70.715800,68.813220,70.906147,10.000000,3.109375,381.000000,736,128,range_bits,4,all-expected,,,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/517/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,0.144922,1.554688,,,,,,,measured,specialized Bulletproofs range baseline; validate bundle before paper reporting,measurement,true
C4-BULLETPROOFS-SPECIALIZED,bulletproofs-range-pilot-v1,47bfac70c1d6594282e7d744ebd8fa5bb594e5d3,bbc0b1a10dec6a35e8a7bb12148f97382d31ec9a72801a9734eae70aae800557,private_swap,bulletproofs-5.0.0-ristretto,range32-aggregate,"{""range_bits"":32}",adapter_process_wall,4,1,,true,3,85.814599,1.239279,86.501184,86.552883,84.383987,86.558627,30.000000,3.273438,431.000000,800,256,range_bits,8,all-expected,,,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/479/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,0.346816,0.818360,,,,,,,measured,specialized Bulletproofs range baseline; validate bundle before paper reporting,measurement,true
C4-BULLETPROOFS-SPECIALIZED,bulletproofs-range-pilot-v1,47bfac70c1d6594282e7d744ebd8fa5bb594e5d3,bbc0b1a10dec6a35e8a7bb12148f97382d31ec9a72801a9734eae70aae800557,private_swap,bulletproofs-5.0.0-ristretto,range32-aggregate,"{""range_bits"":32}",adapter_process_wall,4,1,wrong_public_input,true,3,84.233367,1.124512,84.508462,85.126171,82.996834,85.194805,20.000000,3.195312,429.000000,800,256,range_bits,8,all-expected,,,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/491/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,0.236663,0.798828,,,,,,,measured,specialized Bulletproofs range baseline; validate bundle before paper reporting,measurement,true
C4-BULLETPROOFS-SPECIALIZED,bulletproofs-range-pilot-v1,47bfac70c1d6594282e7d744ebd8fa5bb594e5d3,bbc0b1a10dec6a35e8a7bb12148f97382d31ec9a72801a9734eae70aae800557,private_swap,bulletproofs-5.0.0-ristretto,range32-aggregate,"{""range_bits"":32}",adapter_process_wall,4,2,,true,3,91.534870,8.650694,87.918798,100.058063,85.278941,101.406870,30.000000,3.203125,433.000000,800,256,range_bits,8,all-expected,,,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/563/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,0.341224,0.800781,,,,,,,measured,specialized Bulletproofs range baseline; validate bundle before paper reporting,measurement,true
C4-BULLETPROOFS-SPECIALIZED,bulletproofs-range-pilot-v1,47bfac70c1d6594282e7d744ebd8fa5bb594e5d3,bbc0b1a10dec6a35e8a7bb12148f97382d31ec9a72801a9734eae70aae800557,private_swap,bulletproofs-5.0.0-ristretto,range32-aggregate,"{""range_bits"":32}",adapter_process_wall,4,2,wrong_public_input,true,3,85.759534,2.391307,84.788482,88.114105,84.006502,88.483619,30.000000,3.171875,431.000000,800,256,range_bits,8,all-expected,,,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/467/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,0.353822,0.792969,,,,,,,measured,specialized Bulletproofs range baseline; validate bundle before paper reporting,measurement,true
