claim_id,experiment_id,adapter_commit,config_hash,workload,variant,parameter_set,parameters_json,phase,input_scale,threads,invalid_proof_kind,supported,n,mean_latency_ms,stdev_latency_ms,p50_latency_ms,p95_latency_ms,min_latency_ms,max_latency_ms,median_cpu_time_ms,median_peak_rss_mb,median_page_faults,proof_bytes,native_relation_size,relation_unit,public_inputs,expected_outcomes,stdev_unavailable_reason,excluded_boundary_metrics,metric_unavailable_reason,speedup_vs_one_thread,speedup_ci_low,speedup_ci_high,parallel_efficiency,application_throughput_units_s,native_overhead_ratio,cpu_wall_ratio,ram_per_application_unit_mb,saturation_threads,scaling_coefficient_a,scaling_exponent_b,scaling_exponent_ci_low,scaling_exponent_ci_high,scaling_r_squared,evidence_class,result_scope,run_role,recorded
C9-CIRCUIT-BACKEND,sha256-groth16-pilot-v1,045609f7c669d9c8addd833c007ceab666099814,b3f476327d9c67e4bbbc4e71edfc311aa972bd3e54658d7bd49a1a5260b6f1b4,sha256,ark-groth16-0.6.0-bn254,default,{},adapter_process_wall,2,1,,true,3,2878.346259,23.302696,2879.112295,2899.042072,2854.669991,2901.256492,2930.000000,84.078125,26314.000000,128,39933,r1cs_constraints,2,all-expected,,,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/1097/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/1197/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/1219/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,1.017675,42.039062,,,,,,,measured,SHA-256 circuit pilot; no cross-proof-system claim until matched vectors exist,measurement,true
C9-CIRCUIT-BACKEND,sha256-groth16-pilot-v1,045609f7c669d9c8addd833c007ceab666099814,b3f476327d9c67e4bbbc4e71edfc311aa972bd3e54658d7bd49a1a5260b6f1b4,sha256,ark-groth16-0.6.0-bn254,default,{},adapter_process_wall,2,2,,true,3,2339.993150,75.021079,2327.119212,2411.268224,2272.242124,2420.618114,4250.000000,86.363281,26891.000000,128,39933,r1cs_constraints,2,all-expected,,,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/1663/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 2] No such file or directory: '/proc/1205/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,1.826292,43.181641,,,,,,,measured,SHA-256 circuit pilot; no cross-proof-system claim until matched vectors exist,measurement,true
C9-CIRCUIT-BACKEND,sha256-groth16-pilot-v1,045609f7c669d9c8addd833c007ceab666099814,b3f476327d9c67e4bbbc4e71edfc311aa972bd3e54658d7bd49a1a5260b6f1b4,sha256,ark-groth16-0.6.0-bn254,default,{},adapter_process_wall,2,4,,true,3,3607.204136,61.251488,3582.914246,3667.479037,3561.823038,3676.875125,9460.000000,90.628906,27961.000000,128,39933,r1cs_constraints,2,all-expected,,,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/1155/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/1327/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/1577/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,2.640309,45.314453,,,,,,,measured,SHA-256 circuit pilot; no cross-proof-system claim until matched vectors exist,measurement,true
C9-CIRCUIT-BACKEND,sha256-groth16-pilot-v1,045609f7c669d9c8addd833c007ceab666099814,b3f476327d9c67e4bbbc4e71edfc311aa972bd3e54658d7bd49a1a5260b6f1b4,sha256,ark-groth16-0.6.0-bn254,default,{},adapter_process_wall,16,1,,true,3,2894.533379,19.243229,2897.443707,2910.684475,2874.000758,2912.155671,2940.000000,85.316406,26084.000000,128,40678,r1cs_constraints,2,all-expected,,,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/1089/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/1531/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/1547/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,1.014688,5.332275,,,,,,,measured,SHA-256 circuit pilot; no cross-proof-system claim until matched vectors exist,measurement,true
C9-CIRCUIT-BACKEND,sha256-groth16-pilot-v1,045609f7c669d9c8addd833c007ceab666099814,b3f476327d9c67e4bbbc4e71edfc311aa972bd3e54658d7bd49a1a5260b6f1b4,sha256,ark-groth16-0.6.0-bn254,default,{},adapter_process_wall,16,1,wrong_public_input,true,3,2917.749747,15.859097,2917.097986,2932.242007,2902.226578,2933.924676,2970.000000,85.265625,26080.000000,128,40678,r1cs_constraints,2,all-expected,,,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/1189/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/1319/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/1569/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,1.018135,5.329102,,,,,,,measured,SHA-256 circuit pilot; no cross-proof-system claim until matched vectors exist,measurement,true
C9-CIRCUIT-BACKEND,sha256-groth16-pilot-v1,045609f7c669d9c8addd833c007ceab666099814,b3f476327d9c67e4bbbc4e71edfc311aa972bd3e54658d7bd49a1a5260b6f1b4,sha256,ark-groth16-0.6.0-bn254,default,{},adapter_process_wall,16,2,,true,3,2467.032420,103.486328,2506.481386,2541.141299,2349.623474,2544.992401,4540.000000,87.519531,25545.000000,128,40678,r1cs_constraints,2,all-expected,,,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/1677/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/1781/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/1855/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,1.811304,5.469971,,,,,,,measured,SHA-256 circuit pilot; no cross-proof-system claim until matched vectors exist,measurement,true
C9-CIRCUIT-BACKEND,sha256-groth16-pilot-v1,045609f7c669d9c8addd833c007ceab666099814,b3f476327d9c67e4bbbc4e71edfc311aa972bd3e54658d7bd49a1a5260b6f1b4,sha256,ark-groth16-0.6.0-bn254,default,{},adapter_process_wall,16,4,,true,3,3663.678169,19.603414,3657.342784,3682.833521,3648.025898,3685.665825,9620.000000,91.152344,26369.000000,128,40678,r1cs_constraints,2,all-expected,,,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/1497/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/887/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/951/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,2.630325,5.697021,,,,,,,measured,SHA-256 circuit pilot; no cross-proof-system claim until matched vectors exist,measurement,true
C9-CIRCUIT-BACKEND,sha256-groth16-pilot-v1,045609f7c669d9c8addd833c007ceab666099814,b3f476327d9c67e4bbbc4e71edfc311aa972bd3e54658d7bd49a1a5260b6f1b4,sha256,ark-groth16-0.6.0-bn254,default,{},adapter_process_wall,16,4,wrong_public_input,true,3,3645.040137,4.877021,3645.040249,3649.429417,3640.163061,3649.917102,9590.000000,91.277344,26417.000000,128,40678,r1cs_constraints,2,all-expected,,,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/1011/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/1241/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/917/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,2.630972,5.704834,,,,,,,measured,SHA-256 circuit pilot; no cross-proof-system claim until matched vectors exist,measurement,true
C9-CIRCUIT-BACKEND,sha256-groth16-pilot-v1,045609f7c669d9c8addd833c007ceab666099814,b3f476327d9c67e4bbbc4e71edfc311aa972bd3e54658d7bd49a1a5260b6f1b4,sha256,ark-groth16-0.6.0-bn254,default,{},adapter_process_wall,64,1,,true,3,5410.077308,244.062394,5318.323249,5649.879459,5225.189638,5686.719038,5460.000000,155.718750,49098.000000,128,75582,r1cs_constraints,2,all-expected,,,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/1147/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/1641/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/1899/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,1.026639,2.433105,,,,,,,measured,SHA-256 circuit pilot; no cross-proof-system claim until matched vectors exist,measurement,true
C9-CIRCUIT-BACKEND,sha256-groth16-pilot-v1,045609f7c669d9c8addd833c007ceab666099814,b3f476327d9c67e4bbbc4e71edfc311aa972bd3e54658d7bd49a1a5260b6f1b4,sha256,ark-groth16-0.6.0-bn254,default,{},adapter_process_wall,64,1,wrong_public_input,true,3,5309.444460,64.347623,5338.889806,5352.309819,5235.642643,5353.800932,5490.000000,155.742188,49099.000000,128,75582,r1cs_constraints,2,all-expected,,,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/1105/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/1361/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/1729/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,1.028304,2.433472,,,,,,,measured,SHA-256 circuit pilot; no cross-proof-system claim until matched vectors exist,measurement,true
