run_id,timestamp,claim_id,experiment_id,workload,variant,adapter_commit,config_hash,seed,repetition,order_index,parameter_set,parameters_json,input_scale,native_work_units,threads,cores_visible,phase,latency_ms,cpu_time_ms,peak_rss_mb,proof_bytes,verify_ok,exit_code,error_type,page_faults,process_read_bytes,process_write_bytes,peak_swap_mb,ram_per_application_unit,process_counter_provider,measurement_scope,energy_joules,energy_source,cold_start,invalid_proof_kind,rejection_latency_ms,metric_unavailable_reason,boundary_reason,evidence_class,result_scope,run_role,recorded,phase_supported,phase_status,phase_metrics_json,constraints,public_inputs,native_relation_size,relation_unit,counter_sampling_interval_ms,counter_samples
4b4777f4-40e6-43c1-b070-d496a8b307a1,2026-08-09T03:32:16.716901+00:00,C7-TRANSPARENT-STARK,winterfell-stark-pilot-v1,controlled_kernel,winterfell-0.13.1-f128,045609f7c669d9c8addd833c007ceab666099814,294bad57ed211ce5f668890c93845dca664b6897d4ff1a7011a5c837b0436472,4974802403425822671,0,0,default,{},16,16,1,16,native_execution,0.198044,,,,,,,,,,,,,phase,,,true,,,,,measured,Winterfell transparent STARK pilot; matched vector only,os_cache_primer,false,true,ok,"{""native_work_units"":16.0}",,,,,,
4b4777f4-40e6-43c1-b070-d496a8b307a1,2026-08-09T03:32:16.716977+00:00,C7-TRANSPARENT-STARK,winterfell-stark-pilot-v1,controlled_kernel,winterfell-0.13.1-f128,045609f7c669d9c8addd833c007ceab666099814,294bad57ed211ce5f668890c93845dca664b6897d4ff1a7011a5c837b0436472,4974802403425822671,0,0,default,{},16,16,1,16,witness,0.610546,,,,,,,,,,,,,phase,,,true,,,,,measured,Winterfell transparent STARK pilot; matched vector only,os_cache_primer,false,true,ok,"{""trace_rows"":16.0,""transition_constraints"":2.0}",,,,,,
4b4777f4-40e6-43c1-b070-d496a8b307a1,2026-08-09T03:32:16.717001+00:00,C7-TRANSPARENT-STARK,winterfell-stark-pilot-v1,controlled_kernel,winterfell-0.13.1-f128,045609f7c669d9c8addd833c007ceab666099814,294bad57ed211ce5f668890c93845dca664b6897d4ff1a7011a5c837b0436472,4974802403425822671,0,0,default,{},16,16,1,16,setup_or_preprocess,,,,,,,,,,,,,,phase,,,true,,,Winterfell exposes transparent trace/AIR proofing; no trusted setup or KZG commitment phase,,measured,Winterfell transparent STARK pilot; matched vector only,os_cache_primer,false,false,unsupported,{},,,,,,
4b4777f4-40e6-43c1-b070-d496a8b307a1,2026-08-09T03:32:16.717017+00:00,C7-TRANSPARENT-STARK,winterfell-stark-pilot-v1,controlled_kernel,winterfell-0.13.1-f128,045609f7c669d9c8addd833c007ceab666099814,294bad57ed211ce5f668890c93845dca664b6897d4ff1a7011a5c837b0436472,4974802403425822671,0,0,default,{},16,16,1,16,key_load,,,,,,,,,,,,,,phase,,,true,,,Winterfell exposes transparent trace/AIR proofing; no trusted setup or KZG commitment phase,,measured,Winterfell transparent STARK pilot; matched vector only,os_cache_primer,false,false,unsupported,{},,,,,,
4b4777f4-40e6-43c1-b070-d496a8b307a1,2026-08-09T03:32:16.717030+00:00,C7-TRANSPARENT-STARK,winterfell-stark-pilot-v1,controlled_kernel,winterfell-0.13.1-f128,045609f7c669d9c8addd833c007ceab666099814,294bad57ed211ce5f668890c93845dca664b6897d4ff1a7011a5c837b0436472,4974802403425822671,0,0,default,{},16,16,1,16,msm,,,,,,,,,,,,,,phase,,,true,,,Winterfell exposes transparent trace/AIR proofing; no trusted setup or KZG commitment phase,,measured,Winterfell transparent STARK pilot; matched vector only,os_cache_primer,false,false,unsupported,{},,,,,,
4b4777f4-40e6-43c1-b070-d496a8b307a1,2026-08-09T03:32:16.717043+00:00,C7-TRANSPARENT-STARK,winterfell-stark-pilot-v1,controlled_kernel,winterfell-0.13.1-f128,045609f7c669d9c8addd833c007ceab666099814,294bad57ed211ce5f668890c93845dca664b6897d4ff1a7011a5c837b0436472,4974802403425822671,0,0,default,{},16,16,1,16,fft_ntt,,,,,,,,,,,,,,phase,,,true,,,Winterfell exposes transparent trace/AIR proofing; no trusted setup or KZG commitment phase,,measured,Winterfell transparent STARK pilot; matched vector only,os_cache_primer,false,false,unsupported,{},,,,,,
4b4777f4-40e6-43c1-b070-d496a8b307a1,2026-08-09T03:32:16.717055+00:00,C7-TRANSPARENT-STARK,winterfell-stark-pilot-v1,controlled_kernel,winterfell-0.13.1-f128,045609f7c669d9c8addd833c007ceab666099814,294bad57ed211ce5f668890c93845dca664b6897d4ff1a7011a5c837b0436472,4974802403425822671,0,0,default,{},16,16,1,16,prove_total,5.457933,,,,,,,,,,,,,phase,,,true,,,,,measured,Winterfell transparent STARK pilot; matched vector only,os_cache_primer,false,true,ok,"{""trace_rows"":16.0}",,,,,,
4b4777f4-40e6-43c1-b070-d496a8b307a1,2026-08-09T03:32:16.717070+00:00,C7-TRANSPARENT-STARK,winterfell-stark-pilot-v1,controlled_kernel,winterfell-0.13.1-f128,045609f7c669d9c8addd833c007ceab666099814,294bad57ed211ce5f668890c93845dca664b6897d4ff1a7011a5c837b0436472,4974802403425822671,0,0,default,{},16,16,1,16,serialize,0.006362,,,,,,,,,,,,,phase,,,true,,,,,measured,Winterfell transparent STARK pilot; matched vector only,os_cache_primer,false,true,ok,"{""proof_bytes"":4853.0}",,,,,,
4b4777f4-40e6-43c1-b070-d496a8b307a1,2026-08-09T03:32:16.717104+00:00,C7-TRANSPARENT-STARK,winterfell-stark-pilot-v1,controlled_kernel,winterfell-0.13.1-f128,045609f7c669d9c8addd833c007ceab666099814,294bad57ed211ce5f668890c93845dca664b6897d4ff1a7011a5c837b0436472,4974802403425822671,0,0,default,{},16,16,1,16,deserialize,0.005269,,,,,,,,,,,,,phase,,,true,,,,,measured,Winterfell transparent STARK pilot; matched vector only,os_cache_primer,false,true,ok,"{""proof_bytes"":4853.0}",,,,,,
4b4777f4-40e6-43c1-b070-d496a8b307a1,2026-08-09T03:32:16.717139+00:00,C7-TRANSPARENT-STARK,winterfell-stark-pilot-v1,controlled_kernel,winterfell-0.13.1-f128,045609f7c669d9c8addd833c007ceab666099814,294bad57ed211ce5f668890c93845dca664b6897d4ff1a7011a5c837b0436472,4974802403425822671,0,0,default,{},16,16,1,16,verify_total,0.642911,,,,,,,,,,,,,phase,,,true,,,,,measured,Winterfell transparent STARK pilot; matched vector only,os_cache_primer,false,true,ok,"{""trace_rows"":16.0}",,,,,,
4b4777f4-40e6-43c1-b070-d496a8b307a1,2026-08-09T03:32:16.717159+00:00,C7-TRANSPARENT-STARK,winterfell-stark-pilot-v1,controlled_kernel,winterfell-0.13.1-f128,045609f7c669d9c8addd833c007ceab666099814,294bad57ed211ce5f668890c93845dca664b6897d4ff1a7011a5c837b0436472,4974802403425822671,0,0,default,{},16,16,1,16,adapter_process_wall,67.360308,,3.699219,4853,true,0,,148,956,,,,linux-procfs,process,,,true,,,"private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,measured,Winterfell transparent STARK pilot; matched vector only,os_cache_primer,false,true,ok,{},2,3,2,transition_constraints,5.0,12
90af9725-6c89-4ac9-9629-e424fa9413d3,2026-08-09T03:32:16.785150+00:00,C7-TRANSPARENT-STARK,winterfell-stark-pilot-v1,controlled_kernel,winterfell-0.13.1-f128,045609f7c669d9c8addd833c007ceab666099814,294bad57ed211ce5f668890c93845dca664b6897d4ff1a7011a5c837b0436472,7355116779987170304,1,1,default,{},16,16,1,16,native_execution,0.188456,,,,,,,,,,,,,phase,,,true,,,,,measured,Winterfell transparent STARK pilot; matched vector only,os_cache_primer,false,true,ok,"{""native_work_units"":16.0}",,,,,,
90af9725-6c89-4ac9-9629-e424fa9413d3,2026-08-09T03:32:16.785292+00:00,C7-TRANSPARENT-STARK,winterfell-stark-pilot-v1,controlled_kernel,winterfell-0.13.1-f128,045609f7c669d9c8addd833c007ceab666099814,294bad57ed211ce5f668890c93845dca664b6897d4ff1a7011a5c837b0436472,7355116779987170304,1,1,default,{},16,16,1,16,witness,0.800370,,,,,,,,,,,,,phase,,,true,,,,,measured,Winterfell transparent STARK pilot; matched vector only,os_cache_primer,false,true,ok,"{""trace_rows"":16.0,""transition_constraints"":2.0}",,,,,,
90af9725-6c89-4ac9-9629-e424fa9413d3,2026-08-09T03:32:16.785315+00:00,C7-TRANSPARENT-STARK,winterfell-stark-pilot-v1,controlled_kernel,winterfell-0.13.1-f128,045609f7c669d9c8addd833c007ceab666099814,294bad57ed211ce5f668890c93845dca664b6897d4ff1a7011a5c837b0436472,7355116779987170304,1,1,default,{},16,16,1,16,setup_or_preprocess,,,,,,,,,,,,,,phase,,,true,,,Winterfell exposes transparent trace/AIR proofing; no trusted setup or KZG commitment phase,,measured,Winterfell transparent STARK pilot; matched vector only,os_cache_primer,false,false,unsupported,{},,,,,,
90af9725-6c89-4ac9-9629-e424fa9413d3,2026-08-09T03:32:16.785331+00:00,C7-TRANSPARENT-STARK,winterfell-stark-pilot-v1,controlled_kernel,winterfell-0.13.1-f128,045609f7c669d9c8addd833c007ceab666099814,294bad57ed211ce5f668890c93845dca664b6897d4ff1a7011a5c837b0436472,7355116779987170304,1,1,default,{},16,16,1,16,key_load,,,,,,,,,,,,,,phase,,,true,,,Winterfell exposes transparent trace/AIR proofing; no trusted setup or KZG commitment phase,,measured,Winterfell transparent STARK pilot; matched vector only,os_cache_primer,false,false,unsupported,{},,,,,,
90af9725-6c89-4ac9-9629-e424fa9413d3,2026-08-09T03:32:16.785344+00:00,C7-TRANSPARENT-STARK,winterfell-stark-pilot-v1,controlled_kernel,winterfell-0.13.1-f128,045609f7c669d9c8addd833c007ceab666099814,294bad57ed211ce5f668890c93845dca664b6897d4ff1a7011a5c837b0436472,7355116779987170304,1,1,default,{},16,16,1,16,msm,,,,,,,,,,,,,,phase,,,true,,,Winterfell exposes transparent trace/AIR proofing; no trusted setup or KZG commitment phase,,measured,Winterfell transparent STARK pilot; matched vector only,os_cache_primer,false,false,unsupported,{},,,,,,
90af9725-6c89-4ac9-9629-e424fa9413d3,2026-08-09T03:32:16.785382+00:00,C7-TRANSPARENT-STARK,winterfell-stark-pilot-v1,controlled_kernel,winterfell-0.13.1-f128,045609f7c669d9c8addd833c007ceab666099814,294bad57ed211ce5f668890c93845dca664b6897d4ff1a7011a5c837b0436472,7355116779987170304,1,1,default,{},16,16,1,16,fft_ntt,,,,,,,,,,,,,,phase,,,true,,,Winterfell exposes transparent trace/AIR proofing; no trusted setup or KZG commitment phase,,measured,Winterfell transparent STARK pilot; matched vector only,os_cache_primer,false,false,unsupported,{},,,,,,
90af9725-6c89-4ac9-9629-e424fa9413d3,2026-08-09T03:32:16.785408+00:00,C7-TRANSPARENT-STARK,winterfell-stark-pilot-v1,controlled_kernel,winterfell-0.13.1-f128,045609f7c669d9c8addd833c007ceab666099814,294bad57ed211ce5f668890c93845dca664b6897d4ff1a7011a5c837b0436472,7355116779987170304,1,1,default,{},16,16,1,16,prove_total,5.496188,,,,,,,,,,,,,phase,,,true,,,,,measured,Winterfell transparent STARK pilot; matched vector only,os_cache_primer,false,true,ok,"{""trace_rows"":16.0}",,,,,,
