claim_id,experiment_id,adapter_commit,config_hash,workload,variant,parameter_set,parameters_json,phase,input_scale,threads,invalid_proof_kind,supported,n,mean_latency_ms,stdev_latency_ms,p50_latency_ms,p95_latency_ms,min_latency_ms,max_latency_ms,median_cpu_time_ms,median_peak_rss_mb,median_page_faults,proof_bytes,native_relation_size,relation_unit,public_inputs,expected_outcomes,stdev_unavailable_reason,excluded_boundary_metrics,metric_unavailable_reason,speedup_vs_one_thread,speedup_ci_low,speedup_ci_high,parallel_efficiency,application_throughput_units_s,native_overhead_ratio,cpu_wall_ratio,ram_per_application_unit_mb,saturation_threads,scaling_coefficient_a,scaling_exponent_b,scaling_exponent_ci_low,scaling_exponent_ci_high,scaling_r_squared,evidence_class,result_scope,run_role,recorded
C4-PCAS-SENSITIVITY,groth16-swap-sensitivity-final-v1,ef2b7370acbd2d0f7e2071ea52bd1ac2816b684f,83df04bc24813a619d99be4a6b69665d8cf1fa8df076b0869e70241f2dbe184e,private_swap,ark-groth16-0.6.0-bn254,ablate-authorization,"{""ablation"":""no_authorization"",""hash_rounds"":5,""membership_paths"":2,""merkle_depth"":8,""range_bits"":32,""time_bits"":16}",adapter_process_wall,2,1,,true,10,196.367627,5.371009,195.536051,205.037982,190.235995,206.597283,140.000000,6.707031,998.000000,128,962,r1cs_constraints,7,all-expected,,,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/11908/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/3694/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/4346/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/4474/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/8836/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,0.715981,3.353516,,,,,,,measured,final-candidate evidence; validate bundle before paper reporting,measurement,true
C4-PCAS-SENSITIVITY,groth16-swap-sensitivity-final-v1,ef2b7370acbd2d0f7e2071ea52bd1ac2816b684f,83df04bc24813a619d99be4a6b69665d8cf1fa8df076b0869e70241f2dbe184e,private_swap,ark-groth16-0.6.0-bn254,ablate-authorization,"{""ablation"":""no_authorization"",""hash_rounds"":5,""membership_paths"":2,""merkle_depth"":8,""range_bits"":32,""time_bits"":16}",adapter_process_wall,2,2,,true,10,155.809586,11.713768,159.751816,167.790218,140.342868,167.879231,180.000000,7.027344,1035.000000,128,962,r1cs_constraints,7,all-expected,,,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/10410/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/11042/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/14614/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2913/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/7816/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,1.126748,3.513672,,,,,,,measured,final-candidate evidence; validate bundle before paper reporting,measurement,true
C4-PCAS-SENSITIVITY,groth16-swap-sensitivity-final-v1,ef2b7370acbd2d0f7e2071ea52bd1ac2816b684f,83df04bc24813a619d99be4a6b69665d8cf1fa8df076b0869e70241f2dbe184e,private_swap,ark-groth16-0.6.0-bn254,ablate-authorization,"{""ablation"":""no_authorization"",""hash_rounds"":5,""membership_paths"":2,""merkle_depth"":8,""range_bits"":32,""time_bits"":16}",adapter_process_wall,2,4,,true,10,195.919505,14.110030,195.851199,213.732580,167.752179,219.864281,345.000000,7.462891,1134.000000,128,962,r1cs_constraints,7,all-expected,,,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/13352/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/3013/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/5900/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,1.761541,3.731445,,,,,,,measured,final-candidate evidence; validate bundle before paper reporting,measurement,true
C4-PCAS-SENSITIVITY,groth16-swap-sensitivity-final-v1,ef2b7370acbd2d0f7e2071ea52bd1ac2816b684f,83df04bc24813a619d99be4a6b69665d8cf1fa8df076b0869e70241f2dbe184e,private_swap,ark-groth16-0.6.0-bn254,ablate-authorization,"{""ablation"":""no_authorization"",""hash_rounds"":5,""membership_paths"":2,""merkle_depth"":8,""range_bits"":32,""time_bits"":16}",adapter_process_wall,2,8,,true,10,291.624167,18.271881,288.179430,319.045091,264.468583,328.656675,700.000000,8.083984,1372.500000,128,962,r1cs_constraints,7,all-expected,,,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/12996/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/14274/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/6372/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,2.429042,4.041992,,,,,,,measured,final-candidate evidence; validate bundle before paper reporting,measurement,true
C4-PCAS-SENSITIVITY,groth16-swap-sensitivity-final-v1,ef2b7370acbd2d0f7e2071ea52bd1ac2816b684f,83df04bc24813a619d99be4a6b69665d8cf1fa8df076b0869e70241f2dbe184e,private_swap,ark-groth16-0.6.0-bn254,ablate-authorization,"{""ablation"":""no_authorization"",""hash_rounds"":5,""membership_paths"":2,""merkle_depth"":8,""range_bits"":32,""time_bits"":16}",commitment,2,1,,false,,,,,,,,,,,,,,,not-applicable,,,ark-groth16 does not expose stable per-run phase hooks,,,,,,,,,,,,,,,measured,final-candidate evidence; validate bundle before paper reporting,measurement,true
C4-PCAS-SENSITIVITY,groth16-swap-sensitivity-final-v1,ef2b7370acbd2d0f7e2071ea52bd1ac2816b684f,83df04bc24813a619d99be4a6b69665d8cf1fa8df076b0869e70241f2dbe184e,private_swap,ark-groth16-0.6.0-bn254,ablate-authorization,"{""ablation"":""no_authorization"",""hash_rounds"":5,""membership_paths"":2,""merkle_depth"":8,""range_bits"":32,""time_bits"":16}",commitment,2,2,,false,,,,,,,,,,,,,,,not-applicable,,,ark-groth16 does not expose stable per-run phase hooks,,,,,,,,,,,,,,,measured,final-candidate evidence; validate bundle before paper reporting,measurement,true
C4-PCAS-SENSITIVITY,groth16-swap-sensitivity-final-v1,ef2b7370acbd2d0f7e2071ea52bd1ac2816b684f,83df04bc24813a619d99be4a6b69665d8cf1fa8df076b0869e70241f2dbe184e,private_swap,ark-groth16-0.6.0-bn254,ablate-authorization,"{""ablation"":""no_authorization"",""hash_rounds"":5,""membership_paths"":2,""merkle_depth"":8,""range_bits"":32,""time_bits"":16}",commitment,2,4,,false,,,,,,,,,,,,,,,not-applicable,,,ark-groth16 does not expose stable per-run phase hooks,,,,,,,,,,,,,,,measured,final-candidate evidence; validate bundle before paper reporting,measurement,true
C4-PCAS-SENSITIVITY,groth16-swap-sensitivity-final-v1,ef2b7370acbd2d0f7e2071ea52bd1ac2816b684f,83df04bc24813a619d99be4a6b69665d8cf1fa8df076b0869e70241f2dbe184e,private_swap,ark-groth16-0.6.0-bn254,ablate-authorization,"{""ablation"":""no_authorization"",""hash_rounds"":5,""membership_paths"":2,""merkle_depth"":8,""range_bits"":32,""time_bits"":16}",commitment,2,8,,false,,,,,,,,,,,,,,,not-applicable,,,ark-groth16 does not expose stable per-run phase hooks,,,,,,,,,,,,,,,measured,final-candidate evidence; validate bundle before paper reporting,measurement,true
C4-PCAS-SENSITIVITY,groth16-swap-sensitivity-final-v1,ef2b7370acbd2d0f7e2071ea52bd1ac2816b684f,83df04bc24813a619d99be4a6b69665d8cf1fa8df076b0869e70241f2dbe184e,private_swap,ark-groth16-0.6.0-bn254,ablate-authorization,"{""ablation"":""no_authorization"",""hash_rounds"":5,""membership_paths"":2,""merkle_depth"":8,""range_bits"":32,""time_bits"":16}",deserialize,2,1,,true,10,0.206427,0.023424,0.202407,0.239134,0.163895,0.245847,,,,,,,,not-applicable,,,,,,,,,,,,,,,,,,measured,final-candidate evidence; validate bundle before paper reporting,measurement,true
C4-PCAS-SENSITIVITY,groth16-swap-sensitivity-final-v1,ef2b7370acbd2d0f7e2071ea52bd1ac2816b684f,83df04bc24813a619d99be4a6b69665d8cf1fa8df076b0869e70241f2dbe184e,private_swap,ark-groth16-0.6.0-bn254,ablate-authorization,"{""ablation"":""no_authorization"",""hash_rounds"":5,""membership_paths"":2,""merkle_depth"":8,""range_bits"":32,""time_bits"":16}",deserialize,2,2,,true,10,0.172770,0.017766,0.166715,0.205976,0.156702,0.208798,,,,,,,,not-applicable,,,,,,,,,,,,,,,,,,measured,final-candidate evidence; validate bundle before paper reporting,measurement,true
