claim_id,experiment_id,adapter_commit,config_hash,workload,variant,parameter_set,parameters_json,phase,input_scale,threads,invalid_proof_kind,supported,n,mean_latency_ms,stdev_latency_ms,p50_latency_ms,p95_latency_ms,min_latency_ms,max_latency_ms,median_cpu_time_ms,median_peak_rss_mb,median_page_faults,proof_bytes,native_relation_size,relation_unit,public_inputs,expected_outcomes,stdev_unavailable_reason,excluded_boundary_metrics,metric_unavailable_reason,speedup_vs_one_thread,speedup_ci_low,speedup_ci_high,parallel_efficiency,application_throughput_units_s,native_overhead_ratio,cpu_wall_ratio,ram_per_application_unit_mb,saturation_threads,scaling_coefficient_a,scaling_exponent_b,scaling_exponent_ci_low,scaling_exponent_ci_high,scaling_r_squared,evidence_class,result_scope,run_role,recorded
C4-PCAS-SENSITIVITY,jellyfish-plonk-swap-sensitivity-final-v1,ef2b7370acbd2d0f7e2071ea52bd1ac2816b684f,818f4732eff71a969b798ddd9efaa33ba8140e02a576c4e4054b03e43b1e4600,private_swap,jellyfish-turboplonk-0.8.0-bn254-kzg,ablate-authorization,"{""ablation"":""no_authorization"",""hash_rounds"":5,""membership_paths"":2,""merkle_depth"":8,""range_bits"":32,""time_bits"":16}",adapter_process_wall,2,1,,true,10,773.791512,11.109696,772.717809,789.386870,755.177739,796.671246,720.000000,21.009766,9972.500000,769,2048,plonk_domain_rows,7,all-expected,,,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/1541/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 3] No such process; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,0.931776,10.504883,,,,,,,measured,final-candidate evidence; validate bundle before paper reporting,measurement,true
C4-PCAS-SENSITIVITY,jellyfish-plonk-swap-sensitivity-final-v1,ef2b7370acbd2d0f7e2071ea52bd1ac2816b684f,818f4732eff71a969b798ddd9efaa33ba8140e02a576c4e4054b03e43b1e4600,private_swap,jellyfish-turboplonk-0.8.0-bn254-kzg,ablate-authorization,"{""ablation"":""no_authorization"",""hash_rounds"":5,""membership_paths"":2,""merkle_depth"":8,""range_bits"":32,""time_bits"":16}",adapter_process_wall,2,2,,true,10,448.561556,11.713778,448.460041,464.554042,429.710383,466.455978,750.000000,21.351562,9825.000000,769,2048,plonk_domain_rows,7,all-expected,,,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/1755/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2014/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2038/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2272/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2276/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,1.672390,10.675781,,,,,,,measured,final-candidate evidence; validate bundle before paper reporting,measurement,true
C4-PCAS-SENSITIVITY,jellyfish-plonk-swap-sensitivity-final-v1,ef2b7370acbd2d0f7e2071ea52bd1ac2816b684f,818f4732eff71a969b798ddd9efaa33ba8140e02a576c4e4054b03e43b1e4600,private_swap,jellyfish-turboplonk-0.8.0-bn254-kzg,ablate-authorization,"{""ablation"":""no_authorization"",""hash_rounds"":5,""membership_paths"":2,""merkle_depth"":8,""range_bits"":32,""time_bits"":16}",adapter_process_wall,2,4,,true,10,294.901686,10.138227,293.645182,311.283417,283.647523,318.268471,820.000000,22.611328,9253.000000,769,2048,plonk_domain_rows,7,all-expected,,,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/1115/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/1237/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/1243/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/1473/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/1532/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2246/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/910/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,2.792486,11.305664,,,,,,,measured,final-candidate evidence; validate bundle before paper reporting,measurement,true
C4-PCAS-SENSITIVITY,jellyfish-plonk-swap-sensitivity-final-v1,ef2b7370acbd2d0f7e2071ea52bd1ac2816b684f,818f4732eff71a969b798ddd9efaa33ba8140e02a576c4e4054b03e43b1e4600,private_swap,jellyfish-turboplonk-0.8.0-bn254-kzg,ablate-authorization,"{""ablation"":""no_authorization"",""hash_rounds"":5,""membership_paths"":2,""merkle_depth"":8,""range_bits"":32,""time_bits"":16}",adapter_process_wall,2,8,,true,10,267.923353,12.295959,264.357595,290.282552,256.811116,290.311626,1100.000000,27.164062,7714.000000,769,2048,plonk_domain_rows,7,all-expected,,,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/1617/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/1724/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/1796/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2344/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/859/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,4.161030,13.582031,,,,,,,measured,final-candidate evidence; validate bundle before paper reporting,measurement,true
C4-PCAS-SENSITIVITY,jellyfish-plonk-swap-sensitivity-final-v1,ef2b7370acbd2d0f7e2071ea52bd1ac2816b684f,818f4732eff71a969b798ddd9efaa33ba8140e02a576c4e4054b03e43b1e4600,private_swap,jellyfish-turboplonk-0.8.0-bn254-kzg,ablate-authorization,"{""ablation"":""no_authorization"",""hash_rounds"":5,""membership_paths"":2,""merkle_depth"":8,""range_bits"":32,""time_bits"":16}",commitment,2,1,,false,,,,,,,,,,,,,,,not-applicable,,,Jellyfish exposes no stable per-proof hook for this phase,,,,,,,,,,,,,,,measured,final-candidate evidence; validate bundle before paper reporting,measurement,true
C4-PCAS-SENSITIVITY,jellyfish-plonk-swap-sensitivity-final-v1,ef2b7370acbd2d0f7e2071ea52bd1ac2816b684f,818f4732eff71a969b798ddd9efaa33ba8140e02a576c4e4054b03e43b1e4600,private_swap,jellyfish-turboplonk-0.8.0-bn254-kzg,ablate-authorization,"{""ablation"":""no_authorization"",""hash_rounds"":5,""membership_paths"":2,""merkle_depth"":8,""range_bits"":32,""time_bits"":16}",commitment,2,2,,false,,,,,,,,,,,,,,,not-applicable,,,Jellyfish exposes no stable per-proof hook for this phase,,,,,,,,,,,,,,,measured,final-candidate evidence; validate bundle before paper reporting,measurement,true
C4-PCAS-SENSITIVITY,jellyfish-plonk-swap-sensitivity-final-v1,ef2b7370acbd2d0f7e2071ea52bd1ac2816b684f,818f4732eff71a969b798ddd9efaa33ba8140e02a576c4e4054b03e43b1e4600,private_swap,jellyfish-turboplonk-0.8.0-bn254-kzg,ablate-authorization,"{""ablation"":""no_authorization"",""hash_rounds"":5,""membership_paths"":2,""merkle_depth"":8,""range_bits"":32,""time_bits"":16}",commitment,2,4,,false,,,,,,,,,,,,,,,not-applicable,,,Jellyfish exposes no stable per-proof hook for this phase,,,,,,,,,,,,,,,measured,final-candidate evidence; validate bundle before paper reporting,measurement,true
C4-PCAS-SENSITIVITY,jellyfish-plonk-swap-sensitivity-final-v1,ef2b7370acbd2d0f7e2071ea52bd1ac2816b684f,818f4732eff71a969b798ddd9efaa33ba8140e02a576c4e4054b03e43b1e4600,private_swap,jellyfish-turboplonk-0.8.0-bn254-kzg,ablate-authorization,"{""ablation"":""no_authorization"",""hash_rounds"":5,""membership_paths"":2,""merkle_depth"":8,""range_bits"":32,""time_bits"":16}",commitment,2,8,,false,,,,,,,,,,,,,,,not-applicable,,,Jellyfish exposes no stable per-proof hook for this phase,,,,,,,,,,,,,,,measured,final-candidate evidence; validate bundle before paper reporting,measurement,true
C4-PCAS-SENSITIVITY,jellyfish-plonk-swap-sensitivity-final-v1,ef2b7370acbd2d0f7e2071ea52bd1ac2816b684f,818f4732eff71a969b798ddd9efaa33ba8140e02a576c4e4054b03e43b1e4600,private_swap,jellyfish-turboplonk-0.8.0-bn254-kzg,ablate-authorization,"{""ablation"":""no_authorization"",""hash_rounds"":5,""membership_paths"":2,""merkle_depth"":8,""range_bits"":32,""time_bits"":16}",deserialize,2,1,,true,10,0.303248,0.038984,0.304431,0.361088,0.237116,0.366122,,,,,,,,not-applicable,,,,,,,,,,,,,,,,,,measured,final-candidate evidence; validate bundle before paper reporting,measurement,true
C4-PCAS-SENSITIVITY,jellyfish-plonk-swap-sensitivity-final-v1,ef2b7370acbd2d0f7e2071ea52bd1ac2816b684f,818f4732eff71a969b798ddd9efaa33ba8140e02a576c4e4054b03e43b1e4600,private_swap,jellyfish-turboplonk-0.8.0-bn254-kzg,ablate-authorization,"{""ablation"":""no_authorization"",""hash_rounds"":5,""membership_paths"":2,""merkle_depth"":8,""range_bits"":32,""time_bits"":16}",deserialize,2,2,,true,10,0.385767,0.059151,0.370940,0.471866,0.310813,0.500932,,,,,,,,not-applicable,,,,,,,,,,,,,,,,,,measured,final-candidate evidence; validate bundle before paper reporting,measurement,true
