claim_id,experiment_id,adapter_commit,config_hash,workload,variant,parameter_set,parameters_json,phase,input_scale,threads,invalid_proof_kind,supported,n,mean_latency_ms,stdev_latency_ms,p50_latency_ms,p95_latency_ms,min_latency_ms,max_latency_ms,median_cpu_time_ms,median_peak_rss_mb,median_page_faults,proof_bytes,mean_proof_bytes,stdev_proof_bytes,p50_proof_bytes,p95_proof_bytes,native_relation_size,relation_unit,public_inputs,expected_outcomes,stdev_unavailable_reason,excluded_boundary_metrics,metric_unavailable_reason,speedup_vs_one_thread,speedup_ci_low,speedup_ci_high,parallel_efficiency,application_throughput_units_s,native_overhead_ratio,cpu_wall_ratio,ram_per_application_unit_mb,saturation_threads,scaling_coefficient_a,scaling_exponent_b,scaling_exponent_ci_low,scaling_exponent_ci_high,scaling_r_squared,evidence_class,result_scope,run_role,recorded
PAPER-R1-MILLION-SWAP-AUDIT,million-swap-audit-bulletproofs-v1,44e8d092a7a5ea18c970a8dd28b9f0f36f940dbc,8fccf2945d744b58c3473f4dab90763bf1f6d3af11dec4cfae45ddf4f6e0d679,batched_state,bulletproofs-5.0.0-ristretto,state-paper-r1,"{""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size"",""update_bits"":16}",adapter_process_wall,1048576,16,,true,10,150229.117402,3248.852429,148869.015298,155439.029728,146988.974396,155557.646372,148675.000000,3634.826172,3239286.000000,1697,1697.000000,,1697.000000,1697.000000,1048576,r1cs_multipliers,3,all-expected,,stdev_proof_bytes,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/2461/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2491/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2494/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2511/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2514/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2522/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2528/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2532/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2535/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2538/io'; Linux procfs read failed: [Errno 2] No such file or directory: '/proc/2538/status'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,0.998697,0.003466,,,,,,,measured,confirmatory million-unit WSL2/Linux memory-pressure audit; timing is not merged with the paper-scale campaign,measurement,true
PAPER-R1-MILLION-SWAP-AUDIT,million-swap-audit-bulletproofs-v1,44e8d092a7a5ea18c970a8dd28b9f0f36f940dbc,8fccf2945d744b58c3473f4dab90763bf1f6d3af11dec4cfae45ddf4f6e0d679,batched_state,bulletproofs-5.0.0-ristretto,state-paper-r1,"{""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size"",""update_bits"":16}",commitment,1048576,16,,true,10,0.666724,0.347605,0.502323,1.243412,0.422707,1.532037,,,,,,,,,,,,not-applicable,,,,,,,,,,,,,,,,,,measured,confirmatory million-unit WSL2/Linux memory-pressure audit; timing is not merged with the paper-scale campaign,measurement,true
PAPER-R1-MILLION-SWAP-AUDIT,million-swap-audit-bulletproofs-v1,44e8d092a7a5ea18c970a8dd28b9f0f36f940dbc,8fccf2945d744b58c3473f4dab90763bf1f6d3af11dec4cfae45ddf4f6e0d679,batched_state,bulletproofs-5.0.0-ristretto,state-paper-r1,"{""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size"",""update_bits"":16}",deserialize,1048576,16,,true,10,0.002530,0.000661,0.002174,0.003598,0.001763,0.003697,,,,,,,,,,,,not-applicable,,,,,,,,,,,,,,,,,,measured,confirmatory million-unit WSL2/Linux memory-pressure audit; timing is not merged with the paper-scale campaign,measurement,true
PAPER-R1-MILLION-SWAP-AUDIT,million-swap-audit-bulletproofs-v1,44e8d092a7a5ea18c970a8dd28b9f0f36f940dbc,8fccf2945d744b58c3473f4dab90763bf1f6d3af11dec4cfae45ddf4f6e0d679,batched_state,bulletproofs-5.0.0-ristretto,state-paper-r1,"{""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size"",""update_bits"":16}",fft_ntt,1048576,16,,false,,,,,,,,,,,,,,,,,,,not-applicable,,,the Bulletproofs R1CS prover does not use an FFT or NTT phase,,,,,,,,,,,,,,,measured,confirmatory million-unit WSL2/Linux memory-pressure audit; timing is not merged with the paper-scale campaign,measurement,true
PAPER-R1-MILLION-SWAP-AUDIT,million-swap-audit-bulletproofs-v1,44e8d092a7a5ea18c970a8dd28b9f0f36f940dbc,8fccf2945d744b58c3473f4dab90763bf1f6d3af11dec4cfae45ddf4f6e0d679,batched_state,bulletproofs-5.0.0-ristretto,state-paper-r1,"{""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size"",""update_bits"":16}",key_load,1048576,16,,false,,,,,,,,,,,,,,,,,,,not-applicable,,,Bulletproofs uses deterministic generators and has no proving or verification key,,,,,,,,,,,,,,,measured,confirmatory million-unit WSL2/Linux memory-pressure audit; timing is not merged with the paper-scale campaign,measurement,true
PAPER-R1-MILLION-SWAP-AUDIT,million-swap-audit-bulletproofs-v1,44e8d092a7a5ea18c970a8dd28b9f0f36f940dbc,8fccf2945d744b58c3473f4dab90763bf1f6d3af11dec4cfae45ddf4f6e0d679,batched_state,bulletproofs-5.0.0-ristretto,state-paper-r1,"{""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size"",""update_bits"":16}",msm,1048576,16,,false,,,,,,,,,,,,,,,,,,,not-applicable,,,the library does not expose its internal multiscalar multiplications as a timed phase,,,,,,,,,,,,,,,measured,confirmatory million-unit WSL2/Linux memory-pressure audit; timing is not merged with the paper-scale campaign,measurement,true
PAPER-R1-MILLION-SWAP-AUDIT,million-swap-audit-bulletproofs-v1,44e8d092a7a5ea18c970a8dd28b9f0f36f940dbc,8fccf2945d744b58c3473f4dab90763bf1f6d3af11dec4cfae45ddf4f6e0d679,batched_state,bulletproofs-5.0.0-ristretto,state-paper-r1,"{""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size"",""update_bits"":16}",native_execution,1048576,16,,true,10,109.165046,6.623125,106.739636,119.448130,105.760104,127.770799,,,,,,,,,,,,not-applicable,,,,,,,,,,,,,,,,,,measured,confirmatory million-unit WSL2/Linux memory-pressure audit; timing is not merged with the paper-scale campaign,measurement,true
PAPER-R1-MILLION-SWAP-AUDIT,million-swap-audit-bulletproofs-v1,44e8d092a7a5ea18c970a8dd28b9f0f36f940dbc,8fccf2945d744b58c3473f4dab90763bf1f6d3af11dec4cfae45ddf4f6e0d679,batched_state,bulletproofs-5.0.0-ristretto,state-paper-r1,"{""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size"",""update_bits"":16}",prove_total,1048576,16,,true,10,123830.547237,3164.824154,122729.751031,129244.870341,121055.890411,129410.969974,,,,,,,,,,,,not-applicable,,,,,,,,8543.780063,1149.804843,,,,,,,,,measured,confirmatory million-unit WSL2/Linux memory-pressure audit; timing is not merged with the paper-scale campaign,measurement,true
PAPER-R1-MILLION-SWAP-AUDIT,million-swap-audit-bulletproofs-v1,44e8d092a7a5ea18c970a8dd28b9f0f36f940dbc,8fccf2945d744b58c3473f4dab90763bf1f6d3af11dec4cfae45ddf4f6e0d679,batched_state,bulletproofs-5.0.0-ristretto,state-paper-r1,"{""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size"",""update_bits"":16}",serialize,1048576,16,,true,10,0.007146,0.004156,0.005210,0.014298,0.004658,0.017562,,,,,,,,,,,,not-applicable,,,,,,,,,,,,,,,,,,measured,confirmatory million-unit WSL2/Linux memory-pressure audit; timing is not merged with the paper-scale campaign,measurement,true
PAPER-R1-MILLION-SWAP-AUDIT,million-swap-audit-bulletproofs-v1,44e8d092a7a5ea18c970a8dd28b9f0f36f940dbc,8fccf2945d744b58c3473f4dab90763bf1f6d3af11dec4cfae45ddf4f6e0d679,batched_state,bulletproofs-5.0.0-ristretto,state-paper-r1,"{""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size"",""update_bits"":16}",setup_or_preprocess,1048576,16,,true,10,15965.689719,480.594692,15822.847260,16755.720746,15613.511924,17195.555621,,,,,,,,,,,,not-applicable,,,,,,,,,,,,,,,,,,measured,confirmatory million-unit WSL2/Linux memory-pressure audit; timing is not merged with the paper-scale campaign,measurement,true
PAPER-R1-MILLION-SWAP-AUDIT,million-swap-audit-bulletproofs-v1,44e8d092a7a5ea18c970a8dd28b9f0f36f940dbc,8fccf2945d744b58c3473f4dab90763bf1f6d3af11dec4cfae45ddf4f6e0d679,batched_state,bulletproofs-5.0.0-ristretto,state-paper-r1,"{""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size"",""update_bits"":16}",verify_core,1048576,16,,true,10,9272.278543,447.632522,9079.480022,10108.799732,8953.150359,10170.237819,,,,,,,,,,,,not-applicable,,,,,,,,,,,,,,,,,,measured,confirmatory million-unit WSL2/Linux memory-pressure audit; timing is not merged with the paper-scale campaign,measurement,true
PAPER-R1-MILLION-SWAP-AUDIT,million-swap-audit-bulletproofs-v1,44e8d092a7a5ea18c970a8dd28b9f0f36f940dbc,8fccf2945d744b58c3473f4dab90763bf1f6d3af11dec4cfae45ddf4f6e0d679,batched_state,bulletproofs-5.0.0-ristretto,state-paper-r1,"{""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size"",""update_bits"":16}",verify_total,1048576,16,,true,10,9272.278543,447.632522,9079.480022,10108.799732,8953.150359,10170.237819,,,,,,,,,,,,not-applicable,,,,,,,,,,,,,,,,,,measured,confirmatory million-unit WSL2/Linux memory-pressure audit; timing is not merged with the paper-scale campaign,measurement,true
PAPER-R1-MILLION-SWAP-AUDIT,million-swap-audit-bulletproofs-v1,44e8d092a7a5ea18c970a8dd28b9f0f36f940dbc,8fccf2945d744b58c3473f4dab90763bf1f6d3af11dec4cfae45ddf4f6e0d679,batched_state,bulletproofs-5.0.0-ristretto,state-paper-r1,"{""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size"",""update_bits"":16}",witness,1048576,16,,true,10,983.699862,73.800698,958.970942,1096.826199,916.264534,1118.480142,,,,,,,,,,,,not-applicable,,,,,,,,,,,,,,,,,,measured,confirmatory million-unit WSL2/Linux memory-pressure audit; timing is not merged with the paper-scale campaign,measurement,true
