claim_id,experiment_id,adapter_commit,config_hash,workload,variant,parameter_set,parameters_json,phase,input_scale,threads,invalid_proof_kind,supported,n,mean_latency_ms,stdev_latency_ms,p50_latency_ms,p95_latency_ms,min_latency_ms,max_latency_ms,median_cpu_time_ms,median_peak_rss_mb,median_page_faults,proof_bytes,mean_proof_bytes,stdev_proof_bytes,p50_proof_bytes,p95_proof_bytes,native_relation_size,relation_unit,public_inputs,expected_outcomes,stdev_unavailable_reason,excluded_boundary_metrics,metric_unavailable_reason,speedup_vs_one_thread,speedup_ci_low,speedup_ci_high,parallel_efficiency,application_throughput_units_s,native_overhead_ratio,cpu_wall_ratio,ram_per_application_unit_mb,saturation_threads,scaling_coefficient_a,scaling_exponent_b,scaling_exponent_ci_low,scaling_exponent_ci_high,scaling_r_squared,evidence_class,result_scope,run_role,recorded
PAPER-R1-MILLION-SWAP-AUDIT,million-swap-audit-groth16-v1,44e8d092a7a5ea18c970a8dd28b9f0f36f940dbc,8a919cc5f6a3d33f0730c7adc39774f6a443a090a38fa4f6026ecad1fa35e177,batched_state,ark-groth16-0.6.0-bls12-381,state-paper-r1,"{""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size"",""update_bits"":16}",adapter_process_wall,1048576,16,,true,10,189129.210688,4808.490191,189228.474730,195218.919846,183038.887428,195228.399800,615040.000000,1641.625000,692006.000000,192,192.000000,,192.000000,192.000000,1048576,r1cs_constraints,3,all-expected,,stdev_proof_bytes,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/1062/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/1171/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/1280/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/1389/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/1498/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/1634/io'; Linux procfs read failed: [Errno 2] No such file or directory: '/proc/1634/status'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/1743/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/711/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/832/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/950/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,3.250251,0.001566,,,,,,,measured,confirmatory million-unit WSL2/Linux memory-pressure audit; timing is not merged with the paper-scale campaign,measurement,true
PAPER-R1-MILLION-SWAP-AUDIT,million-swap-audit-groth16-v1,44e8d092a7a5ea18c970a8dd28b9f0f36f940dbc,8a919cc5f6a3d33f0730c7adc39774f6a443a090a38fa4f6026ecad1fa35e177,batched_state,ark-groth16-0.6.0-bls12-381,state-paper-r1,"{""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size"",""update_bits"":16}",commitment,1048576,16,,false,,,,,,,,,,,,,,,,,,,not-applicable,,,Arkworks Groth16 does not expose stable per-run FFT/MSM/commitment hooks,,,,,,,,,,,,,,,measured,confirmatory million-unit WSL2/Linux memory-pressure audit; timing is not merged with the paper-scale campaign,measurement,true
PAPER-R1-MILLION-SWAP-AUDIT,million-swap-audit-groth16-v1,44e8d092a7a5ea18c970a8dd28b9f0f36f940dbc,8a919cc5f6a3d33f0730c7adc39774f6a443a090a38fa4f6026ecad1fa35e177,batched_state,ark-groth16-0.6.0-bls12-381,state-paper-r1,"{""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size"",""update_bits"":16}",deserialize,1048576,16,,true,10,0.919130,0.271589,0.833310,1.346054,0.722105,1.654280,,,,,,,,,,,,not-applicable,,,,,,,,,,,,,,,,,,measured,confirmatory million-unit WSL2/Linux memory-pressure audit; timing is not merged with the paper-scale campaign,measurement,true
PAPER-R1-MILLION-SWAP-AUDIT,million-swap-audit-groth16-v1,44e8d092a7a5ea18c970a8dd28b9f0f36f940dbc,8a919cc5f6a3d33f0730c7adc39774f6a443a090a38fa4f6026ecad1fa35e177,batched_state,ark-groth16-0.6.0-bls12-381,state-paper-r1,"{""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size"",""update_bits"":16}",fft_ntt,1048576,16,,false,,,,,,,,,,,,,,,,,,,not-applicable,,,Arkworks Groth16 does not expose stable per-run FFT/MSM/commitment hooks,,,,,,,,,,,,,,,measured,confirmatory million-unit WSL2/Linux memory-pressure audit; timing is not merged with the paper-scale campaign,measurement,true
PAPER-R1-MILLION-SWAP-AUDIT,million-swap-audit-groth16-v1,44e8d092a7a5ea18c970a8dd28b9f0f36f940dbc,8a919cc5f6a3d33f0730c7adc39774f6a443a090a38fa4f6026ecad1fa35e177,batched_state,ark-groth16-0.6.0-bls12-381,state-paper-r1,"{""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size"",""update_bits"":16}",key_load,1048576,16,,false,,,,,,,,,,,,,,,,,,,not-applicable,,,Arkworks Groth16 does not expose stable per-run FFT/MSM/commitment hooks,,,,,,,,,,,,,,,measured,confirmatory million-unit WSL2/Linux memory-pressure audit; timing is not merged with the paper-scale campaign,measurement,true
PAPER-R1-MILLION-SWAP-AUDIT,million-swap-audit-groth16-v1,44e8d092a7a5ea18c970a8dd28b9f0f36f940dbc,8a919cc5f6a3d33f0730c7adc39774f6a443a090a38fa4f6026ecad1fa35e177,batched_state,ark-groth16-0.6.0-bls12-381,state-paper-r1,"{""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size"",""update_bits"":16}",msm,1048576,16,,false,,,,,,,,,,,,,,,,,,,not-applicable,,,Arkworks Groth16 does not expose stable per-run FFT/MSM/commitment hooks,,,,,,,,,,,,,,,measured,confirmatory million-unit WSL2/Linux memory-pressure audit; timing is not merged with the paper-scale campaign,measurement,true
PAPER-R1-MILLION-SWAP-AUDIT,million-swap-audit-groth16-v1,44e8d092a7a5ea18c970a8dd28b9f0f36f940dbc,8a919cc5f6a3d33f0730c7adc39774f6a443a090a38fa4f6026ecad1fa35e177,batched_state,ark-groth16-0.6.0-bls12-381,state-paper-r1,"{""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size"",""update_bits"":16}",native_execution,1048576,16,,true,10,2.613249,0.258285,2.601576,2.941383,2.093557,2.992440,,,,,,,,,,,,not-applicable,,,,,,,,,,,,,,,,,,measured,confirmatory million-unit WSL2/Linux memory-pressure audit; timing is not merged with the paper-scale campaign,measurement,true
PAPER-R1-MILLION-SWAP-AUDIT,million-swap-audit-groth16-v1,44e8d092a7a5ea18c970a8dd28b9f0f36f940dbc,8a919cc5f6a3d33f0730c7adc39774f6a443a090a38fa4f6026ecad1fa35e177,batched_state,ark-groth16-0.6.0-bls12-381,state-paper-r1,"{""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size"",""update_bits"":16}",prove_total,1048576,16,,true,10,5739.472866,414.842443,5634.985353,6267.378129,5246.080186,6293.218610,,,,,,,,,,,,not-applicable,,,,,,,,186083.181111,2165.989136,,,,,,,,,measured,confirmatory million-unit WSL2/Linux memory-pressure audit; timing is not merged with the paper-scale campaign,measurement,true
PAPER-R1-MILLION-SWAP-AUDIT,million-swap-audit-groth16-v1,44e8d092a7a5ea18c970a8dd28b9f0f36f940dbc,8a919cc5f6a3d33f0730c7adc39774f6a443a090a38fa4f6026ecad1fa35e177,batched_state,ark-groth16-0.6.0-bls12-381,state-paper-r1,"{""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size"",""update_bits"":16}",serialize,1048576,16,,true,10,0.004872,0.004211,0.003537,0.011364,0.002545,0.016661,,,,,,,,,,,,not-applicable,,,,,,,,,,,,,,,,,,measured,confirmatory million-unit WSL2/Linux memory-pressure audit; timing is not merged with the paper-scale campaign,measurement,true
PAPER-R1-MILLION-SWAP-AUDIT,million-swap-audit-groth16-v1,44e8d092a7a5ea18c970a8dd28b9f0f36f940dbc,8a919cc5f6a3d33f0730c7adc39774f6a443a090a38fa4f6026ecad1fa35e177,batched_state,ark-groth16-0.6.0-bls12-381,state-paper-r1,"{""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size"",""update_bits"":16}",setup_or_preprocess,1048576,16,,true,10,4539.888504,253.874647,4531.959361,4911.078945,4225.696192,5036.058147,,,,,,,,,,,,not-applicable,,,,,,,,,,,,,,,,,,measured,confirmatory million-unit WSL2/Linux memory-pressure audit; timing is not merged with the paper-scale campaign,measurement,true
PAPER-R1-MILLION-SWAP-AUDIT,million-swap-audit-groth16-v1,44e8d092a7a5ea18c970a8dd28b9f0f36f940dbc,8a919cc5f6a3d33f0730c7adc39774f6a443a090a38fa4f6026ecad1fa35e177,batched_state,ark-groth16-0.6.0-bls12-381,state-paper-r1,"{""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size"",""update_bits"":16}",verify_core,1048576,16,,true,10,1.960465,0.188174,1.942417,2.265512,1.733867,2.318927,,,,,,,,,,,,not-applicable,,,,,,,,,,,,,,,,,,measured,confirmatory million-unit WSL2/Linux memory-pressure audit; timing is not merged with the paper-scale campaign,measurement,true
