claim_id,experiment_id,adapter_commit,config_hash,workload,variant,parameter_set,parameters_json,phase,input_scale,threads,invalid_proof_kind,supported,n,mean_latency_ms,stdev_latency_ms,p50_latency_ms,p95_latency_ms,min_latency_ms,max_latency_ms,median_cpu_time_ms,median_peak_rss_mb,median_page_faults,proof_bytes,mean_proof_bytes,stdev_proof_bytes,p50_proof_bytes,p95_proof_bytes,native_relation_size,relation_unit,public_inputs,expected_outcomes,stdev_unavailable_reason,excluded_boundary_metrics,metric_unavailable_reason,speedup_vs_one_thread,speedup_ci_low,speedup_ci_high,parallel_efficiency,application_throughput_units_s,native_overhead_ratio,cpu_wall_ratio,ram_per_application_unit_mb,saturation_threads,scaling_coefficient_a,scaling_exponent_b,scaling_exponent_ci_low,scaling_exponent_ci_high,scaling_r_squared,evidence_class,result_scope,run_role,recorded
PAPER-R1-MILLION-SWAP-AUDIT,million-swap-audit-plonk-v1,44e8d092a7a5ea18c970a8dd28b9f0f36f940dbc,f62418bc70b9d2a5ff44070ee221e3945b1255676414efecdd52aa3d33445144,batched_state,jellyfish-turboplonk-0.8.0-bls12-381-kzg,state-paper-r1,"{""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size"",""update_bits"":16}",adapter_process_wall,1048576,16,,true,10,78067.685470,4131.082426,77199.558095,84727.019969,74176.077421,88843.864801,1008660.000000,9065.269531,5510668.500000,977,977.000000,,977.000000,977.000000,1048576,plonk_domain_rows,3,all-expected,,stdev_proof_bytes,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/1907/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/1927/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/1949/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/1979/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/1998/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2018/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2037/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2056/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2182/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2201/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,13.065619,0.008645,,,,,,,measured,confirmatory million-unit WSL2/Linux memory-pressure audit; timing is not merged with the paper-scale campaign,measurement,true
PAPER-R1-MILLION-SWAP-AUDIT,million-swap-audit-plonk-v1,44e8d092a7a5ea18c970a8dd28b9f0f36f940dbc,f62418bc70b9d2a5ff44070ee221e3945b1255676414efecdd52aa3d33445144,batched_state,jellyfish-turboplonk-0.8.0-bls12-381-kzg,state-paper-r1,"{""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size"",""update_bits"":16}",commitment,1048576,16,,false,,,,,,,,,,,,,,,,,,,not-applicable,,,Jellyfish exposes no stable per-proof hook for this phase,,,,,,,,,,,,,,,measured,confirmatory million-unit WSL2/Linux memory-pressure audit; timing is not merged with the paper-scale campaign,measurement,true
PAPER-R1-MILLION-SWAP-AUDIT,million-swap-audit-plonk-v1,44e8d092a7a5ea18c970a8dd28b9f0f36f940dbc,f62418bc70b9d2a5ff44070ee221e3945b1255676414efecdd52aa3d33445144,batched_state,jellyfish-turboplonk-0.8.0-bls12-381-kzg,state-paper-r1,"{""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size"",""update_bits"":16}",deserialize,1048576,16,,true,10,4.707431,0.417459,4.684570,5.230087,4.107898,5.247688,,,,,,,,,,,,not-applicable,,,,,,,,,,,,,,,,,,measured,confirmatory million-unit WSL2/Linux memory-pressure audit; timing is not merged with the paper-scale campaign,measurement,true
PAPER-R1-MILLION-SWAP-AUDIT,million-swap-audit-plonk-v1,44e8d092a7a5ea18c970a8dd28b9f0f36f940dbc,f62418bc70b9d2a5ff44070ee221e3945b1255676414efecdd52aa3d33445144,batched_state,jellyfish-turboplonk-0.8.0-bls12-381-kzg,state-paper-r1,"{""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size"",""update_bits"":16}",fft_ntt,1048576,16,,false,,,,,,,,,,,,,,,,,,,not-applicable,,,Jellyfish exposes no stable per-proof hook for this phase,,,,,,,,,,,,,,,measured,confirmatory million-unit WSL2/Linux memory-pressure audit; timing is not merged with the paper-scale campaign,measurement,true
PAPER-R1-MILLION-SWAP-AUDIT,million-swap-audit-plonk-v1,44e8d092a7a5ea18c970a8dd28b9f0f36f940dbc,f62418bc70b9d2a5ff44070ee221e3945b1255676414efecdd52aa3d33445144,batched_state,jellyfish-turboplonk-0.8.0-bls12-381-kzg,state-paper-r1,"{""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size"",""update_bits"":16}",key_load,1048576,16,,false,,,,,,,,,,,,,,,,,,,not-applicable,,,Jellyfish exposes no stable per-proof hook for this phase,,,,,,,,,,,,,,,measured,confirmatory million-unit WSL2/Linux memory-pressure audit; timing is not merged with the paper-scale campaign,measurement,true
PAPER-R1-MILLION-SWAP-AUDIT,million-swap-audit-plonk-v1,44e8d092a7a5ea18c970a8dd28b9f0f36f940dbc,f62418bc70b9d2a5ff44070ee221e3945b1255676414efecdd52aa3d33445144,batched_state,jellyfish-turboplonk-0.8.0-bls12-381-kzg,state-paper-r1,"{""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size"",""update_bits"":16}",msm,1048576,16,,false,,,,,,,,,,,,,,,,,,,not-applicable,,,Jellyfish exposes no stable per-proof hook for this phase,,,,,,,,,,,,,,,measured,confirmatory million-unit WSL2/Linux memory-pressure audit; timing is not merged with the paper-scale campaign,measurement,true
PAPER-R1-MILLION-SWAP-AUDIT,million-swap-audit-plonk-v1,44e8d092a7a5ea18c970a8dd28b9f0f36f940dbc,f62418bc70b9d2a5ff44070ee221e3945b1255676414efecdd52aa3d33445144,batched_state,jellyfish-turboplonk-0.8.0-bls12-381-kzg,state-paper-r1,"{""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size"",""update_bits"":16}",native_execution,1048576,16,,true,10,2.564239,0.436287,2.482736,3.290639,2.047301,3.365996,,,,,,,,,,,,not-applicable,,,,,,,,,,,,,,,,,,measured,confirmatory million-unit WSL2/Linux memory-pressure audit; timing is not merged with the paper-scale campaign,measurement,true
PAPER-R1-MILLION-SWAP-AUDIT,million-swap-audit-plonk-v1,44e8d092a7a5ea18c970a8dd28b9f0f36f940dbc,f62418bc70b9d2a5ff44070ee221e3945b1255676414efecdd52aa3d33445144,batched_state,jellyfish-turboplonk-0.8.0-bls12-381-kzg,state-paper-r1,"{""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size"",""update_bits"":16}",prove_total,1048576,16,,true,10,51531.933805,3228.631942,50922.630305,56702.053383,48771.844857,60176.908477,,,,,,,,,,,,not-applicable,,,,,,,,20591.552198,20510.690748,,,,,,,,,measured,confirmatory million-unit WSL2/Linux memory-pressure audit; timing is not merged with the paper-scale campaign,measurement,true
PAPER-R1-MILLION-SWAP-AUDIT,million-swap-audit-plonk-v1,44e8d092a7a5ea18c970a8dd28b9f0f36f940dbc,f62418bc70b9d2a5ff44070ee221e3945b1255676414efecdd52aa3d33445144,batched_state,jellyfish-turboplonk-0.8.0-bls12-381-kzg,state-paper-r1,"{""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size"",""update_bits"":16}",serialize,1048576,16,,true,10,0.007537,0.001149,0.007178,0.009484,0.006572,0.009849,,,,,,,,,,,,not-applicable,,,,,,,,,,,,,,,,,,measured,confirmatory million-unit WSL2/Linux memory-pressure audit; timing is not merged with the paper-scale campaign,measurement,true
PAPER-R1-MILLION-SWAP-AUDIT,million-swap-audit-plonk-v1,44e8d092a7a5ea18c970a8dd28b9f0f36f940dbc,f62418bc70b9d2a5ff44070ee221e3945b1255676414efecdd52aa3d33445144,batched_state,jellyfish-turboplonk-0.8.0-bls12-381-kzg,state-paper-r1,"{""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size"",""update_bits"":16}",setup_or_preprocess,1048576,16,,true,10,25478.746470,990.374317,25223.873526,27010.685518,24307.963561,27662.233757,,,,,,,,,,,,not-applicable,,,,,,,,,,,,,,,,,,measured,confirmatory million-unit WSL2/Linux memory-pressure audit; timing is not merged with the paper-scale campaign,measurement,true
PAPER-R1-MILLION-SWAP-AUDIT,million-swap-audit-plonk-v1,44e8d092a7a5ea18c970a8dd28b9f0f36f940dbc,f62418bc70b9d2a5ff44070ee221e3945b1255676414efecdd52aa3d33445144,batched_state,jellyfish-turboplonk-0.8.0-bls12-381-kzg,state-paper-r1,"{""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size"",""update_bits"":16}",verify_core,1048576,16,,true,10,8.147316,1.013418,8.269793,9.512256,6.818342,9.608376,,,,,,,,,,,,not-applicable,,,,,,,,,,,,,,,,,,measured,confirmatory million-unit WSL2/Linux memory-pressure audit; timing is not merged with the paper-scale campaign,measurement,true
