claim_id,experiment_id,adapter_commit,config_hash,workload,variant,parameter_set,parameters_json,phase,input_scale,threads,invalid_proof_kind,supported,n,mean_latency_ms,stdev_latency_ms,p50_latency_ms,p95_latency_ms,min_latency_ms,max_latency_ms,median_cpu_time_ms,median_peak_rss_mb,median_page_faults,proof_bytes,mean_proof_bytes,stdev_proof_bytes,p50_proof_bytes,p95_proof_bytes,native_relation_size,relation_unit,public_inputs,expected_outcomes,stdev_unavailable_reason,excluded_boundary_metrics,metric_unavailable_reason,speedup_vs_one_thread,speedup_ci_low,speedup_ci_high,parallel_efficiency,application_throughput_units_s,native_overhead_ratio,cpu_wall_ratio,ram_per_application_unit_mb,saturation_threads,scaling_coefficient_a,scaling_exponent_b,scaling_exponent_ci_low,scaling_exponent_ci_high,scaling_r_squared,evidence_class,result_scope,run_role,recorded
PAPER-R1-MILLION-SWAP-AUDIT,million-swap-audit-stark-v1,44e8d092a7a5ea18c970a8dd28b9f0f36f940dbc,09003ec9a8eac84bb845ac8d4b3e6222dba32b8d9f01ef2e0e7c07a0357e94f9,batched_state,winterfell-0.13.1-f128,state-paper-r1,"{""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size"",""update_bits"":16}",adapter_process_wall,1048576,16,,true,10,5131.412779,650.394576,4819.837488,6178.458249,4586.985973,6686.055635,50955.000000,3468.718750,1049043.000000,,99426.100000,592.306312,99427.500000,100192.350000,1048576,air_trace_cells,3,all-expected,,,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/2280/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2375/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2413/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2432/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,10.571933,0.003308,,,,,,,measured,confirmatory million-unit WSL2/Linux memory-pressure audit; timing is not merged with the paper-scale campaign,measurement,true
PAPER-R1-MILLION-SWAP-AUDIT,million-swap-audit-stark-v1,44e8d092a7a5ea18c970a8dd28b9f0f36f940dbc,09003ec9a8eac84bb845ac8d4b3e6222dba32b8d9f01ef2e0e7c07a0357e94f9,batched_state,winterfell-0.13.1-f128,state-paper-r1,"{""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size"",""update_bits"":16}",deserialize,1048576,16,,true,10,0.044026,0.011384,0.042079,0.063368,0.032069,0.069139,,,,,,,,,,,,not-applicable,,,,,,,,,,,,,,,,,,measured,confirmatory million-unit WSL2/Linux memory-pressure audit; timing is not merged with the paper-scale campaign,measurement,true
PAPER-R1-MILLION-SWAP-AUDIT,million-swap-audit-stark-v1,44e8d092a7a5ea18c970a8dd28b9f0f36f940dbc,09003ec9a8eac84bb845ac8d4b3e6222dba32b8d9f01ef2e0e7c07a0357e94f9,batched_state,winterfell-0.13.1-f128,state-paper-r1,"{""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size"",""update_bits"":16}",fft_ntt,1048576,16,,false,,,,,,,,,,,,,,,,,,,not-applicable,,,Winterfell exposes transparent trace/AIR proofing; no trusted setup or KZG commitment phase,,,,,,,,,,,,,,,measured,confirmatory million-unit WSL2/Linux memory-pressure audit; timing is not merged with the paper-scale campaign,measurement,true
PAPER-R1-MILLION-SWAP-AUDIT,million-swap-audit-stark-v1,44e8d092a7a5ea18c970a8dd28b9f0f36f940dbc,09003ec9a8eac84bb845ac8d4b3e6222dba32b8d9f01ef2e0e7c07a0357e94f9,batched_state,winterfell-0.13.1-f128,state-paper-r1,"{""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size"",""update_bits"":16}",key_load,1048576,16,,false,,,,,,,,,,,,,,,,,,,not-applicable,,,Winterfell exposes transparent trace/AIR proofing; no trusted setup or KZG commitment phase,,,,,,,,,,,,,,,measured,confirmatory million-unit WSL2/Linux memory-pressure audit; timing is not merged with the paper-scale campaign,measurement,true
PAPER-R1-MILLION-SWAP-AUDIT,million-swap-audit-stark-v1,44e8d092a7a5ea18c970a8dd28b9f0f36f940dbc,09003ec9a8eac84bb845ac8d4b3e6222dba32b8d9f01ef2e0e7c07a0357e94f9,batched_state,winterfell-0.13.1-f128,state-paper-r1,"{""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size"",""update_bits"":16}",msm,1048576,16,,false,,,,,,,,,,,,,,,,,,,not-applicable,,,Winterfell exposes transparent trace/AIR proofing; no trusted setup or KZG commitment phase,,,,,,,,,,,,,,,measured,confirmatory million-unit WSL2/Linux memory-pressure audit; timing is not merged with the paper-scale campaign,measurement,true
PAPER-R1-MILLION-SWAP-AUDIT,million-swap-audit-stark-v1,44e8d092a7a5ea18c970a8dd28b9f0f36f940dbc,09003ec9a8eac84bb845ac8d4b3e6222dba32b8d9f01ef2e0e7c07a0357e94f9,batched_state,winterfell-0.13.1-f128,state-paper-r1,"{""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size"",""update_bits"":16}",native_execution,1048576,16,,true,10,9.218093,1.052423,8.635215,10.867517,8.333377,11.318450,,,,,,,,,,,,not-applicable,,,,,,,,,,,,,,,,,,measured,confirmatory million-unit WSL2/Linux memory-pressure audit; timing is not merged with the paper-scale campaign,measurement,true
PAPER-R1-MILLION-SWAP-AUDIT,million-swap-audit-stark-v1,44e8d092a7a5ea18c970a8dd28b9f0f36f940dbc,09003ec9a8eac84bb845ac8d4b3e6222dba32b8d9f01ef2e0e7c07a0357e94f9,batched_state,winterfell-0.13.1-f128,state-paper-r1,"{""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size"",""update_bits"":16}",prove_total,1048576,16,,true,10,5079.838172,646.877476,4766.274632,6121.429066,4540.258352,6628.230609,,,,,,,,,,,,not-applicable,,,,,,,,219999.072852,551.957873,,,,,,,,,measured,confirmatory million-unit WSL2/Linux memory-pressure audit; timing is not merged with the paper-scale campaign,measurement,true
PAPER-R1-MILLION-SWAP-AUDIT,million-swap-audit-stark-v1,44e8d092a7a5ea18c970a8dd28b9f0f36f940dbc,09003ec9a8eac84bb845ac8d4b3e6222dba32b8d9f01ef2e0e7c07a0357e94f9,batched_state,winterfell-0.13.1-f128,state-paper-r1,"{""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size"",""update_bits"":16}",serialize,1048576,16,,true,10,0.475193,0.072549,0.445595,0.588629,0.380829,0.635879,,,,,,,,,,,,not-applicable,,,,,,,,,,,,,,,,,,measured,confirmatory million-unit WSL2/Linux memory-pressure audit; timing is not merged with the paper-scale campaign,measurement,true
PAPER-R1-MILLION-SWAP-AUDIT,million-swap-audit-stark-v1,44e8d092a7a5ea18c970a8dd28b9f0f36f940dbc,09003ec9a8eac84bb845ac8d4b3e6222dba32b8d9f01ef2e0e7c07a0357e94f9,batched_state,winterfell-0.13.1-f128,state-paper-r1,"{""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size"",""update_bits"":16}",setup_or_preprocess,1048576,16,,false,,,,,,,,,,,,,,,,,,,not-applicable,,,Winterfell exposes transparent trace/AIR proofing; no trusted setup or KZG commitment phase,,,,,,,,,,,,,,,measured,confirmatory million-unit WSL2/Linux memory-pressure audit; timing is not merged with the paper-scale campaign,measurement,true
PAPER-R1-MILLION-SWAP-AUDIT,million-swap-audit-stark-v1,44e8d092a7a5ea18c970a8dd28b9f0f36f940dbc,09003ec9a8eac84bb845ac8d4b3e6222dba32b8d9f01ef2e0e7c07a0357e94f9,batched_state,winterfell-0.13.1-f128,state-paper-r1,"{""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size"",""update_bits"":16}",verify_total,1048576,16,,true,10,1.615401,0.217224,1.599217,1.946965,1.381532,2.132941,,,,,,,,,,,,not-applicable,,,,,,,,,,,,,,,,,,measured,confirmatory million-unit WSL2/Linux memory-pressure audit; timing is not merged with the paper-scale campaign,measurement,true
