model_id,evidence_class,profile_id,profile_role,profile_label,security_bits,evm_fork,workload,adapter,selected_input_scale,native_proof_bytes,proof_calldata_bytes,public_inputs,calldata_payload_bytes,calldata_tokens,calldata_gas,calldata_pricing_branch,verifier_compute_gas,fixed_gas,batch_size,gas_price_gwei,eth_usd,amortized_gas_per_application_unit,modeled_cost_usd
reproduction-evm-gas-v2,modeled,legacy-bn254,legacy,Legacy BN254 / EIP-1108,approximately 80,Istanbul-compatible EIP-1108 and EIP-2028,identity,groth16,16384,192.0,256.0,2,320.0,0.0,5120.0,eip2028,193300,219420.0,1,5,3500.0,219470.0,3.840725
reproduction-evm-gas-v2,modeled,legacy-bn254,legacy,Legacy BN254 / EIP-1108,approximately 80,Istanbul-compatible EIP-1108 and EIP-2028,identity,groth16,16384,192.0,256.0,2,320.0,0.0,5120.0,eip2028,193300,219420.0,1,20,3500.0,219470.0,15.3629
reproduction-evm-gas-v2,modeled,legacy-bn254,legacy,Legacy BN254 / EIP-1108,approximately 80,Istanbul-compatible EIP-1108 and EIP-2028,identity,groth16,16384,192.0,256.0,2,320.0,0.0,5120.0,eip2028,193300,219420.0,1,100,3500.0,219470.0,76.8145
reproduction-evm-gas-v2,modeled,legacy-bn254,legacy,Legacy BN254 / EIP-1108,approximately 80,Istanbul-compatible EIP-1108 and EIP-2028,identity,groth16,16384,192.0,256.0,2,320.0,0.0,5120.0,eip2028,193300,219420.0,2,5,3500.0,109760.0,1.9208
reproduction-evm-gas-v2,modeled,legacy-bn254,legacy,Legacy BN254 / EIP-1108,approximately 80,Istanbul-compatible EIP-1108 and EIP-2028,identity,groth16,16384,192.0,256.0,2,320.0,0.0,5120.0,eip2028,193300,219420.0,2,20,3500.0,109760.0,7.6832
reproduction-evm-gas-v2,modeled,legacy-bn254,legacy,Legacy BN254 / EIP-1108,approximately 80,Istanbul-compatible EIP-1108 and EIP-2028,identity,groth16,16384,192.0,256.0,2,320.0,0.0,5120.0,eip2028,193300,219420.0,2,100,3500.0,109760.0,38.416
reproduction-evm-gas-v2,modeled,legacy-bn254,legacy,Legacy BN254 / EIP-1108,approximately 80,Istanbul-compatible EIP-1108 and EIP-2028,identity,groth16,16384,192.0,256.0,2,320.0,0.0,5120.0,eip2028,193300,219420.0,4,5,3500.0,54905.0,0.960838
reproduction-evm-gas-v2,modeled,legacy-bn254,legacy,Legacy BN254 / EIP-1108,approximately 80,Istanbul-compatible EIP-1108 and EIP-2028,identity,groth16,16384,192.0,256.0,2,320.0,0.0,5120.0,eip2028,193300,219420.0,4,20,3500.0,54905.0,3.84335
reproduction-evm-gas-v2,modeled,legacy-bn254,legacy,Legacy BN254 / EIP-1108,approximately 80,Istanbul-compatible EIP-1108 and EIP-2028,identity,groth16,16384,192.0,256.0,2,320.0,0.0,5120.0,eip2028,193300,219420.0,4,100,3500.0,54905.0,19.21675
reproduction-evm-gas-v2,modeled,legacy-bn254,legacy,Legacy BN254 / EIP-1108,approximately 80,Istanbul-compatible EIP-1108 and EIP-2028,identity,groth16,16384,192.0,256.0,2,320.0,0.0,5120.0,eip2028,193300,219420.0,8,5,3500.0,27477.5,0.480856
reproduction-evm-gas-v2,modeled,legacy-bn254,legacy,Legacy BN254 / EIP-1108,approximately 80,Istanbul-compatible EIP-1108 and EIP-2028,identity,groth16,16384,192.0,256.0,2,320.0,0.0,5120.0,eip2028,193300,219420.0,8,20,3500.0,27477.5,1.923425
reproduction-evm-gas-v2,modeled,legacy-bn254,legacy,Legacy BN254 / EIP-1108,approximately 80,Istanbul-compatible EIP-1108 and EIP-2028,identity,groth16,16384,192.0,256.0,2,320.0,0.0,5120.0,eip2028,193300,219420.0,8,100,3500.0,27477.5,9.617125
reproduction-evm-gas-v2,modeled,legacy-bn254,legacy,Legacy BN254 / EIP-1108,approximately 80,Istanbul-compatible EIP-1108 and EIP-2028,identity,groth16,16384,192.0,256.0,2,320.0,0.0,5120.0,eip2028,193300,219420.0,16,5,3500.0,13763.75,0.240866
reproduction-evm-gas-v2,modeled,legacy-bn254,legacy,Legacy BN254 / EIP-1108,approximately 80,Istanbul-compatible EIP-1108 and EIP-2028,identity,groth16,16384,192.0,256.0,2,320.0,0.0,5120.0,eip2028,193300,219420.0,16,20,3500.0,13763.75,0.963462
reproduction-evm-gas-v2,modeled,legacy-bn254,legacy,Legacy BN254 / EIP-1108,approximately 80,Istanbul-compatible EIP-1108 and EIP-2028,identity,groth16,16384,192.0,256.0,2,320.0,0.0,5120.0,eip2028,193300,219420.0,16,100,3500.0,13763.75,4.817312
reproduction-evm-gas-v2,modeled,legacy-bn254,legacy,Legacy BN254 / EIP-1108,approximately 80,Istanbul-compatible EIP-1108 and EIP-2028,identity,groth16,16384,192.0,256.0,2,320.0,0.0,5120.0,eip2028,193300,219420.0,32,5,3500.0,6906.875,0.12087
reproduction-evm-gas-v2,modeled,legacy-bn254,legacy,Legacy BN254 / EIP-1108,approximately 80,Istanbul-compatible EIP-1108 and EIP-2028,identity,groth16,16384,192.0,256.0,2,320.0,0.0,5120.0,eip2028,193300,219420.0,32,20,3500.0,6906.875,0.483481
reproduction-evm-gas-v2,modeled,legacy-bn254,legacy,Legacy BN254 / EIP-1108,approximately 80,Istanbul-compatible EIP-1108 and EIP-2028,identity,groth16,16384,192.0,256.0,2,320.0,0.0,5120.0,eip2028,193300,219420.0,32,100,3500.0,6906.875,2.417406
reproduction-evm-gas-v2,modeled,legacy-bn254,legacy,Legacy BN254 / EIP-1108,approximately 80,Istanbul-compatible EIP-1108 and EIP-2028,identity,groth16,16384,192.0,256.0,2,320.0,0.0,5120.0,eip2028,193300,219420.0,64,5,3500.0,3478.4375,0.060873
reproduction-evm-gas-v2,modeled,legacy-bn254,legacy,Legacy BN254 / EIP-1108,approximately 80,Istanbul-compatible EIP-1108 and EIP-2028,identity,groth16,16384,192.0,256.0,2,320.0,0.0,5120.0,eip2028,193300,219420.0,64,20,3500.0,3478.4375,0.243491
reproduction-evm-gas-v2,modeled,legacy-bn254,legacy,Legacy BN254 / EIP-1108,approximately 80,Istanbul-compatible EIP-1108 and EIP-2028,identity,groth16,16384,192.0,256.0,2,320.0,0.0,5120.0,eip2028,193300,219420.0,64,100,3500.0,3478.4375,1.217453
reproduction-evm-gas-v2,modeled,legacy-bn254,legacy,Legacy BN254 / EIP-1108,approximately 80,Istanbul-compatible EIP-1108 and EIP-2028,identity,groth16,16384,192.0,256.0,2,320.0,0.0,5120.0,eip2028,193300,219420.0,128,5,3500.0,1764.21875,0.030874
reproduction-evm-gas-v2,modeled,legacy-bn254,legacy,Legacy BN254 / EIP-1108,approximately 80,Istanbul-compatible EIP-1108 and EIP-2028,identity,groth16,16384,192.0,256.0,2,320.0,0.0,5120.0,eip2028,193300,219420.0,128,20,3500.0,1764.21875,0.123495
reproduction-evm-gas-v2,modeled,legacy-bn254,legacy,Legacy BN254 / EIP-1108,approximately 80,Istanbul-compatible EIP-1108 and EIP-2028,identity,groth16,16384,192.0,256.0,2,320.0,0.0,5120.0,eip2028,193300,219420.0,128,100,3500.0,1764.21875,0.617477
reproduction-evm-gas-v2,modeled,legacy-bn254,legacy,Legacy BN254 / EIP-1108,approximately 80,Istanbul-compatible EIP-1108 and EIP-2028,identity,groth16,16384,192.0,256.0,2,320.0,0.0,5120.0,eip2028,193300,219420.0,256,5,3500.0,907.109375,0.015874
reproduction-evm-gas-v2,modeled,legacy-bn254,legacy,Legacy BN254 / EIP-1108,approximately 80,Istanbul-compatible EIP-1108 and EIP-2028,identity,groth16,16384,192.0,256.0,2,320.0,0.0,5120.0,eip2028,193300,219420.0,256,20,3500.0,907.109375,0.063498
reproduction-evm-gas-v2,modeled,legacy-bn254,legacy,Legacy BN254 / EIP-1108,approximately 80,Istanbul-compatible EIP-1108 and EIP-2028,identity,groth16,16384,192.0,256.0,2,320.0,0.0,5120.0,eip2028,193300,219420.0,256,100,3500.0,907.109375,0.317488
reproduction-evm-gas-v2,modeled,legacy-bn254,legacy,Legacy BN254 / EIP-1108,approximately 80,Istanbul-compatible EIP-1108 and EIP-2028,identity,groth16,16384,192.0,256.0,2,320.0,0.0,5120.0,eip2028,193300,219420.0,512,5,3500.0,478.554688,0.008375
reproduction-evm-gas-v2,modeled,legacy-bn254,legacy,Legacy BN254 / EIP-1108,approximately 80,Istanbul-compatible EIP-1108 and EIP-2028,identity,groth16,16384,192.0,256.0,2,320.0,0.0,5120.0,eip2028,193300,219420.0,512,20,3500.0,478.554688,0.033499
reproduction-evm-gas-v2,modeled,legacy-bn254,legacy,Legacy BN254 / EIP-1108,approximately 80,Istanbul-compatible EIP-1108 and EIP-2028,identity,groth16,16384,192.0,256.0,2,320.0,0.0,5120.0,eip2028,193300,219420.0,512,100,3500.0,478.554688,0.167494
reproduction-evm-gas-v2,modeled,legacy-bn254,legacy,Legacy BN254 / EIP-1108,approximately 80,Istanbul-compatible EIP-1108 and EIP-2028,identity,groth16,16384,192.0,256.0,2,320.0,0.0,5120.0,eip2028,193300,219420.0,1024,5,3500.0,264.277344,0.004625
reproduction-evm-gas-v2,modeled,legacy-bn254,legacy,Legacy BN254 / EIP-1108,approximately 80,Istanbul-compatible EIP-1108 and EIP-2028,identity,groth16,16384,192.0,256.0,2,320.0,0.0,5120.0,eip2028,193300,219420.0,1024,20,3500.0,264.277344,0.018499
reproduction-evm-gas-v2,modeled,legacy-bn254,legacy,Legacy BN254 / EIP-1108,approximately 80,Istanbul-compatible EIP-1108 and EIP-2028,identity,groth16,16384,192.0,256.0,2,320.0,0.0,5120.0,eip2028,193300,219420.0,1024,100,3500.0,264.277344,0.092497
reproduction-evm-gas-v2,modeled,legacy-bn254,legacy,Legacy BN254 / EIP-1108,approximately 80,Istanbul-compatible EIP-1108 and EIP-2028,identity,groth16,16384,192.0,256.0,2,320.0,0.0,5120.0,eip2028,193300,219420.0,2048,5,3500.0,157.138672,0.00275
reproduction-evm-gas-v2,modeled,legacy-bn254,legacy,Legacy BN254 / EIP-1108,approximately 80,Istanbul-compatible EIP-1108 and EIP-2028,identity,groth16,16384,192.0,256.0,2,320.0,0.0,5120.0,eip2028,193300,219420.0,2048,20,3500.0,157.138672,0.011
reproduction-evm-gas-v2,modeled,legacy-bn254,legacy,Legacy BN254 / EIP-1108,approximately 80,Istanbul-compatible EIP-1108 and EIP-2028,identity,groth16,16384,192.0,256.0,2,320.0,0.0,5120.0,eip2028,193300,219420.0,2048,100,3500.0,157.138672,0.054999
reproduction-evm-gas-v2,modeled,legacy-bn254,legacy,Legacy BN254 / EIP-1108,approximately 80,Istanbul-compatible EIP-1108 and EIP-2028,identity,groth16,16384,192.0,256.0,2,320.0,0.0,5120.0,eip2028,193300,219420.0,4096,5,3500.0,103.569336,0.001812
reproduction-evm-gas-v2,modeled,legacy-bn254,legacy,Legacy BN254 / EIP-1108,approximately 80,Istanbul-compatible EIP-1108 and EIP-2028,identity,groth16,16384,192.0,256.0,2,320.0,0.0,5120.0,eip2028,193300,219420.0,4096,20,3500.0,103.569336,0.00725
