model_id,evidence_class,profile_id,profile_role,profile_label,security_bits,evm_fork,workload,adapter,selected_input_scale,native_proof_bytes,proof_calldata_bytes,public_inputs,calldata_payload_bytes,calldata_tokens,calldata_gas,calldata_pricing_branch,verifier_compute_gas,fixed_gas,batch_size,gas_price_gwei,eth_usd,amortized_gas_per_application_unit,modeled_cost_usd
reproduction-evm-gas-v2,modeled,legacy-bn254,legacy,Legacy BN254 / EIP-1108,approximately 80,Istanbul-compatible EIP-1108 and EIP-2028,pcas,groth16,65536,192.0,256.0,7,480.0,0.0,7680.0,eip2028,224050,252730.0,1,5,3500.0,252780.0,4.42365
reproduction-evm-gas-v2,modeled,legacy-bn254,legacy,Legacy BN254 / EIP-1108,approximately 80,Istanbul-compatible EIP-1108 and EIP-2028,pcas,groth16,65536,192.0,256.0,7,480.0,0.0,7680.0,eip2028,224050,252730.0,1,20,3500.0,252780.0,17.6946
reproduction-evm-gas-v2,modeled,legacy-bn254,legacy,Legacy BN254 / EIP-1108,approximately 80,Istanbul-compatible EIP-1108 and EIP-2028,pcas,groth16,65536,192.0,256.0,7,480.0,0.0,7680.0,eip2028,224050,252730.0,1,100,3500.0,252780.0,88.473
reproduction-evm-gas-v2,modeled,legacy-bn254,legacy,Legacy BN254 / EIP-1108,approximately 80,Istanbul-compatible EIP-1108 and EIP-2028,pcas,groth16,65536,192.0,256.0,7,480.0,0.0,7680.0,eip2028,224050,252730.0,2,5,3500.0,126415.0,2.212263
reproduction-evm-gas-v2,modeled,legacy-bn254,legacy,Legacy BN254 / EIP-1108,approximately 80,Istanbul-compatible EIP-1108 and EIP-2028,pcas,groth16,65536,192.0,256.0,7,480.0,0.0,7680.0,eip2028,224050,252730.0,2,20,3500.0,126415.0,8.84905
reproduction-evm-gas-v2,modeled,legacy-bn254,legacy,Legacy BN254 / EIP-1108,approximately 80,Istanbul-compatible EIP-1108 and EIP-2028,pcas,groth16,65536,192.0,256.0,7,480.0,0.0,7680.0,eip2028,224050,252730.0,2,100,3500.0,126415.0,44.24525
reproduction-evm-gas-v2,modeled,legacy-bn254,legacy,Legacy BN254 / EIP-1108,approximately 80,Istanbul-compatible EIP-1108 and EIP-2028,pcas,groth16,65536,192.0,256.0,7,480.0,0.0,7680.0,eip2028,224050,252730.0,4,5,3500.0,63232.5,1.106569
reproduction-evm-gas-v2,modeled,legacy-bn254,legacy,Legacy BN254 / EIP-1108,approximately 80,Istanbul-compatible EIP-1108 and EIP-2028,pcas,groth16,65536,192.0,256.0,7,480.0,0.0,7680.0,eip2028,224050,252730.0,4,20,3500.0,63232.5,4.426275
reproduction-evm-gas-v2,modeled,legacy-bn254,legacy,Legacy BN254 / EIP-1108,approximately 80,Istanbul-compatible EIP-1108 and EIP-2028,pcas,groth16,65536,192.0,256.0,7,480.0,0.0,7680.0,eip2028,224050,252730.0,4,100,3500.0,63232.5,22.131375
reproduction-evm-gas-v2,modeled,legacy-bn254,legacy,Legacy BN254 / EIP-1108,approximately 80,Istanbul-compatible EIP-1108 and EIP-2028,pcas,groth16,65536,192.0,256.0,7,480.0,0.0,7680.0,eip2028,224050,252730.0,8,5,3500.0,31641.25,0.553722
reproduction-evm-gas-v2,modeled,legacy-bn254,legacy,Legacy BN254 / EIP-1108,approximately 80,Istanbul-compatible EIP-1108 and EIP-2028,pcas,groth16,65536,192.0,256.0,7,480.0,0.0,7680.0,eip2028,224050,252730.0,8,20,3500.0,31641.25,2.214888
reproduction-evm-gas-v2,modeled,legacy-bn254,legacy,Legacy BN254 / EIP-1108,approximately 80,Istanbul-compatible EIP-1108 and EIP-2028,pcas,groth16,65536,192.0,256.0,7,480.0,0.0,7680.0,eip2028,224050,252730.0,8,100,3500.0,31641.25,11.074438
reproduction-evm-gas-v2,modeled,legacy-bn254,legacy,Legacy BN254 / EIP-1108,approximately 80,Istanbul-compatible EIP-1108 and EIP-2028,pcas,groth16,65536,192.0,256.0,7,480.0,0.0,7680.0,eip2028,224050,252730.0,16,5,3500.0,15845.625,0.277298
reproduction-evm-gas-v2,modeled,legacy-bn254,legacy,Legacy BN254 / EIP-1108,approximately 80,Istanbul-compatible EIP-1108 and EIP-2028,pcas,groth16,65536,192.0,256.0,7,480.0,0.0,7680.0,eip2028,224050,252730.0,16,20,3500.0,15845.625,1.109194
