claim_id,experiment_id,adapter_commit,config_hash,workload,variant,parameter_set,parameters_json,phase,input_scale,threads,invalid_proof_kind,supported,n,mean_latency_ms,stdev_latency_ms,p50_latency_ms,p95_latency_ms,min_latency_ms,max_latency_ms,median_cpu_time_ms,median_peak_rss_mb,median_page_faults,proof_bytes,mean_proof_bytes,stdev_proof_bytes,p50_proof_bytes,p95_proof_bytes,native_relation_size,relation_unit,public_inputs,expected_outcomes,stdev_unavailable_reason,excluded_boundary_metrics,metric_unavailable_reason,speedup_vs_one_thread,speedup_ci_low,speedup_ci_high,parallel_efficiency,application_throughput_units_s,native_overhead_ratio,cpu_wall_ratio,ram_per_application_unit_mb,saturation_threads,scaling_coefficient_a,scaling_exponent_b,scaling_exponent_ci_low,scaling_exponent_ci_high,scaling_r_squared,evidence_class,result_scope,run_role,recorded
PAPER-RQ1-IDENTITY,paper-identity-bulletproofs-v1,de37e6b6e76575a9843f9bc8c93dd6cd0baeb50e,0d050fe846e71f48c0cf60737da0f8f195e26709489ae803da0eff971e6f6cf0,credential,bulletproofs-5.0.0-ristretto,identity-paper-r1,"{""age_bits"":8,""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size""}",adapter_process_wall,16384,16,,true,10,2257.573790,39.868718,2259.899183,2313.469180,2210.152791,2315.662201,2190.000000,59.562500,36803.500000,1313,1313.000000,,1313.000000,1313.000000,16384,r1cs_multipliers,3,all-expected,,stdev_proof_bytes,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/2619/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2629/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2631/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2635/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2637/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2641/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 2] No such file or directory: '/proc/2639/status'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,0.969070,0.003635,,,,,,,measured,paper-scale identity campaign,measurement,true
PAPER-RQ1-IDENTITY,paper-identity-bulletproofs-v1,de37e6b6e76575a9843f9bc8c93dd6cd0baeb50e,0d050fe846e71f48c0cf60737da0f8f195e26709489ae803da0eff971e6f6cf0,credential,bulletproofs-5.0.0-ristretto,identity-paper-r1,"{""age_bits"":8,""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size""}",adapter_process_wall,16384,16,wrong_public_input,true,3,2279.641876,81.253322,2261.269136,2357.784515,2209.148047,2368.508446,2200.000000,59.566406,36802.000000,1313,1313.000000,,1313.000000,1313.000000,16384,r1cs_multipliers,3,all-expected,,stdev_proof_bytes,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/2623/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,0.972905,0.003636,,,,,,,measured,paper-scale identity campaign,measurement,true
PAPER-RQ1-IDENTITY,paper-identity-bulletproofs-v1,de37e6b6e76575a9843f9bc8c93dd6cd0baeb50e,0d050fe846e71f48c0cf60737da0f8f195e26709489ae803da0eff971e6f6cf0,credential,bulletproofs-5.0.0-ristretto,identity-paper-r1,"{""age_bits"":8,""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size""}",commitment,16384,16,,true,10,0.349066,0.041675,0.340138,0.415057,0.312913,0.449005,,,,,,,,,,,,not-applicable,,,,,,,,,,,,,,,,,,measured,paper-scale identity campaign,measurement,true
PAPER-RQ1-IDENTITY,paper-identity-bulletproofs-v1,de37e6b6e76575a9843f9bc8c93dd6cd0baeb50e,0d050fe846e71f48c0cf60737da0f8f195e26709489ae803da0eff971e6f6cf0,credential,bulletproofs-5.0.0-ristretto,identity-paper-r1,"{""age_bits"":8,""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size""}",commitment,16384,16,wrong_public_input,true,3,0.294091,0.019828,0.293035,0.312286,0.274812,0.314425,,,,,,,,,,,,not-applicable,,,,,,,,,,,,,,,,,,measured,paper-scale identity campaign,measurement,true
PAPER-RQ1-IDENTITY,paper-identity-bulletproofs-v1,de37e6b6e76575a9843f9bc8c93dd6cd0baeb50e,0d050fe846e71f48c0cf60737da0f8f195e26709489ae803da0eff971e6f6cf0,credential,bulletproofs-5.0.0-ristretto,identity-paper-r1,"{""age_bits"":8,""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size""}",deserialize,16384,16,,true,10,0.001717,0.000217,0.001648,0.002089,0.001453,0.002134,,,,,,,,,,,,not-applicable,,,,,,,,,,,,,,,,,,measured,paper-scale identity campaign,measurement,true
PAPER-RQ1-IDENTITY,paper-identity-bulletproofs-v1,de37e6b6e76575a9843f9bc8c93dd6cd0baeb50e,0d050fe846e71f48c0cf60737da0f8f195e26709489ae803da0eff971e6f6cf0,credential,bulletproofs-5.0.0-ristretto,identity-paper-r1,"{""age_bits"":8,""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size""}",deserialize,16384,16,wrong_public_input,true,3,0.001883,0.000368,0.002044,0.002134,0.001462,0.002144,,,,,,,,,,,,not-applicable,,,,,,,,,,,,,,,,,,measured,paper-scale identity campaign,measurement,true
PAPER-RQ1-IDENTITY,paper-identity-bulletproofs-v1,de37e6b6e76575a9843f9bc8c93dd6cd0baeb50e,0d050fe846e71f48c0cf60737da0f8f195e26709489ae803da0eff971e6f6cf0,credential,bulletproofs-5.0.0-ristretto,identity-paper-r1,"{""age_bits"":8,""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size""}",fft_ntt,16384,16,,false,,,,,,,,,,,,,,,,,,,not-applicable,,,the Bulletproofs R1CS prover does not use an FFT or NTT phase,,,,,,,,,,,,,,,measured,paper-scale identity campaign,measurement,true
PAPER-RQ1-IDENTITY,paper-identity-bulletproofs-v1,de37e6b6e76575a9843f9bc8c93dd6cd0baeb50e,0d050fe846e71f48c0cf60737da0f8f195e26709489ae803da0eff971e6f6cf0,credential,bulletproofs-5.0.0-ristretto,identity-paper-r1,"{""age_bits"":8,""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size""}",fft_ntt,16384,16,wrong_public_input,false,,,,,,,,,,,,,,,,,,,not-applicable,,,the Bulletproofs R1CS prover does not use an FFT or NTT phase,,,,,,,,,,,,,,,measured,paper-scale identity campaign,measurement,true
PAPER-RQ1-IDENTITY,paper-identity-bulletproofs-v1,de37e6b6e76575a9843f9bc8c93dd6cd0baeb50e,0d050fe846e71f48c0cf60737da0f8f195e26709489ae803da0eff971e6f6cf0,credential,bulletproofs-5.0.0-ristretto,identity-paper-r1,"{""age_bits"":8,""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size""}",invalid_reject,16384,16,wrong_public_input,true,3,128.018254,8.365536,132.482453,133.132509,118.367571,133.204738,,,,,,,,,,,,not-applicable,,,,,,,,,,,,,,,,,,measured,paper-scale identity campaign,measurement,true
PAPER-RQ1-IDENTITY,paper-identity-bulletproofs-v1,de37e6b6e76575a9843f9bc8c93dd6cd0baeb50e,0d050fe846e71f48c0cf60737da0f8f195e26709489ae803da0eff971e6f6cf0,credential,bulletproofs-5.0.0-ristretto,identity-paper-r1,"{""age_bits"":8,""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size""}",key_load,16384,16,,false,,,,,,,,,,,,,,,,,,,not-applicable,,,Bulletproofs uses deterministic generators and has no proving or verification key,,,,,,,,,,,,,,,measured,paper-scale identity campaign,measurement,true
