claim_id,experiment_id,adapter_commit,config_hash,workload,variant,parameter_set,parameters_json,phase,input_scale,threads,invalid_proof_kind,supported,n,mean_latency_ms,stdev_latency_ms,p50_latency_ms,p95_latency_ms,min_latency_ms,max_latency_ms,median_cpu_time_ms,median_peak_rss_mb,median_page_faults,proof_bytes,mean_proof_bytes,stdev_proof_bytes,p50_proof_bytes,p95_proof_bytes,native_relation_size,relation_unit,public_inputs,expected_outcomes,stdev_unavailable_reason,excluded_boundary_metrics,metric_unavailable_reason,speedup_vs_one_thread,speedup_ci_low,speedup_ci_high,parallel_efficiency,application_throughput_units_s,native_overhead_ratio,cpu_wall_ratio,ram_per_application_unit_mb,saturation_threads,scaling_coefficient_a,scaling_exponent_b,scaling_exponent_ci_low,scaling_exponent_ci_high,scaling_r_squared,evidence_class,result_scope,run_role,recorded
PAPER-RQ1-IDENTITY,paper-identity-plonk-v1,de37e6b6e76575a9843f9bc8c93dd6cd0baeb50e,f4b0720c91a7c797bd8f9362b414d1ea7b5e483ab5160d3b6344984c90c35815,credential,jellyfish-turboplonk-0.8.0-bls12-381-kzg,identity-paper-r1,"{""age_bits"":8,""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size""}",adapter_process_wall,16384,16,,true,10,1592.571318,163.026569,1551.867260,1853.779318,1445.757615,1998.575986,17555.000000,193.115234,59374.500000,977,977.000000,,977.000000,977.000000,16384,plonk_domain_rows,2,all-expected,,stdev_proof_bytes,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/2105/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2123/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2141/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2195/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2213/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2231/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2267/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2285/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2303/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2321/io'; Linux procfs read failed: [Errno 2] No such file or directory: '/proc/2321/status'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,11.312179,0.011787,,,,,,,measured,paper-scale identity campaign,measurement,true
PAPER-RQ1-IDENTITY,paper-identity-plonk-v1,de37e6b6e76575a9843f9bc8c93dd6cd0baeb50e,f4b0720c91a7c797bd8f9362b414d1ea7b5e483ab5160d3b6344984c90c35815,credential,jellyfish-turboplonk-0.8.0-bls12-381-kzg,identity-paper-r1,"{""age_bits"":8,""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size""}",adapter_process_wall,16384,16,wrong_public_input,true,3,1512.297776,89.886268,1473.861492,1600.896595,1448.020228,1615.011607,17070.000000,195.328125,59584.000000,977,977.000000,,977.000000,977.000000,16384,plonk_domain_rows,2,all-expected,,stdev_proof_bytes,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/2159/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2177/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2249/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,11.581821,0.011922,,,,,,,measured,paper-scale identity campaign,measurement,true
PAPER-RQ1-IDENTITY,paper-identity-plonk-v1,de37e6b6e76575a9843f9bc8c93dd6cd0baeb50e,f4b0720c91a7c797bd8f9362b414d1ea7b5e483ab5160d3b6344984c90c35815,credential,jellyfish-turboplonk-0.8.0-bls12-381-kzg,identity-paper-r1,"{""age_bits"":8,""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size""}",commitment,16384,16,,false,,,,,,,,,,,,,,,,,,,not-applicable,,,Jellyfish exposes no stable per-proof hook for this phase,,,,,,,,,,,,,,,measured,paper-scale identity campaign,measurement,true
PAPER-RQ1-IDENTITY,paper-identity-plonk-v1,de37e6b6e76575a9843f9bc8c93dd6cd0baeb50e,f4b0720c91a7c797bd8f9362b414d1ea7b5e483ab5160d3b6344984c90c35815,credential,jellyfish-turboplonk-0.8.0-bls12-381-kzg,identity-paper-r1,"{""age_bits"":8,""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size""}",commitment,16384,16,wrong_public_input,false,,,,,,,,,,,,,,,,,,,not-applicable,,,Jellyfish exposes no stable per-proof hook for this phase,,,,,,,,,,,,,,,measured,paper-scale identity campaign,measurement,true
PAPER-RQ1-IDENTITY,paper-identity-plonk-v1,de37e6b6e76575a9843f9bc8c93dd6cd0baeb50e,f4b0720c91a7c797bd8f9362b414d1ea7b5e483ab5160d3b6344984c90c35815,credential,jellyfish-turboplonk-0.8.0-bls12-381-kzg,identity-paper-r1,"{""age_bits"":8,""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size""}",deserialize,16384,16,,true,10,4.555029,0.163755,4.543353,4.817955,4.373921,4.885708,,,,,,,,,,,,not-applicable,,,,,,,,,,,,,,,,,,measured,paper-scale identity campaign,measurement,true
PAPER-RQ1-IDENTITY,paper-identity-plonk-v1,de37e6b6e76575a9843f9bc8c93dd6cd0baeb50e,f4b0720c91a7c797bd8f9362b414d1ea7b5e483ab5160d3b6344984c90c35815,credential,jellyfish-turboplonk-0.8.0-bls12-381-kzg,identity-paper-r1,"{""age_bits"":8,""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size""}",deserialize,16384,16,wrong_public_input,true,3,4.806191,0.167153,4.870564,4.925485,4.616422,4.931587,,,,,,,,,,,,not-applicable,,,,,,,,,,,,,,,,,,measured,paper-scale identity campaign,measurement,true
PAPER-RQ1-IDENTITY,paper-identity-plonk-v1,de37e6b6e76575a9843f9bc8c93dd6cd0baeb50e,f4b0720c91a7c797bd8f9362b414d1ea7b5e483ab5160d3b6344984c90c35815,credential,jellyfish-turboplonk-0.8.0-bls12-381-kzg,identity-paper-r1,"{""age_bits"":8,""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size""}",fft_ntt,16384,16,,false,,,,,,,,,,,,,,,,,,,not-applicable,,,Jellyfish exposes no stable per-proof hook for this phase,,,,,,,,,,,,,,,measured,paper-scale identity campaign,measurement,true
PAPER-RQ1-IDENTITY,paper-identity-plonk-v1,de37e6b6e76575a9843f9bc8c93dd6cd0baeb50e,f4b0720c91a7c797bd8f9362b414d1ea7b5e483ab5160d3b6344984c90c35815,credential,jellyfish-turboplonk-0.8.0-bls12-381-kzg,identity-paper-r1,"{""age_bits"":8,""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size""}",fft_ntt,16384,16,wrong_public_input,false,,,,,,,,,,,,,,,,,,,not-applicable,,,Jellyfish exposes no stable per-proof hook for this phase,,,,,,,,,,,,,,,measured,paper-scale identity campaign,measurement,true
PAPER-RQ1-IDENTITY,paper-identity-plonk-v1,de37e6b6e76575a9843f9bc8c93dd6cd0baeb50e,f4b0720c91a7c797bd8f9362b414d1ea7b5e483ab5160d3b6344984c90c35815,credential,jellyfish-turboplonk-0.8.0-bls12-381-kzg,identity-paper-r1,"{""age_bits"":8,""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size""}",invalid_reject,16384,16,wrong_public_input,true,3,7.384782,1.452372,7.870940,8.465633,5.751695,8.531710,,,,,,,,,,,,not-applicable,,,,,,,,,,,,,,,,,,measured,paper-scale identity campaign,measurement,true
PAPER-RQ1-IDENTITY,paper-identity-plonk-v1,de37e6b6e76575a9843f9bc8c93dd6cd0baeb50e,f4b0720c91a7c797bd8f9362b414d1ea7b5e483ab5160d3b6344984c90c35815,credential,jellyfish-turboplonk-0.8.0-bls12-381-kzg,identity-paper-r1,"{""age_bits"":8,""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size""}",key_load,16384,16,,false,,,,,,,,,,,,,,,,,,,not-applicable,,,Jellyfish exposes no stable per-proof hook for this phase,,,,,,,,,,,,,,,measured,paper-scale identity campaign,measurement,true
PAPER-RQ1-IDENTITY,paper-identity-plonk-v1,de37e6b6e76575a9843f9bc8c93dd6cd0baeb50e,f4b0720c91a7c797bd8f9362b414d1ea7b5e483ab5160d3b6344984c90c35815,credential,jellyfish-turboplonk-0.8.0-bls12-381-kzg,identity-paper-r1,"{""age_bits"":8,""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size""}",key_load,16384,16,wrong_public_input,false,,,,,,,,,,,,,,,,,,,not-applicable,,,Jellyfish exposes no stable per-proof hook for this phase,,,,,,,,,,,,,,,measured,paper-scale identity campaign,measurement,true
PAPER-RQ1-IDENTITY,paper-identity-plonk-v1,de37e6b6e76575a9843f9bc8c93dd6cd0baeb50e,f4b0720c91a7c797bd8f9362b414d1ea7b5e483ab5160d3b6344984c90c35815,credential,jellyfish-turboplonk-0.8.0-bls12-381-kzg,identity-paper-r1,"{""age_bits"":8,""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size""}",msm,16384,16,,false,,,,,,,,,,,,,,,,,,,not-applicable,,,Jellyfish exposes no stable per-proof hook for this phase,,,,,,,,,,,,,,,measured,paper-scale identity campaign,measurement,true
