claim_id,experiment_id,adapter_commit,config_hash,workload,variant,parameter_set,parameters_json,phase,input_scale,threads,invalid_proof_kind,supported,n,mean_latency_ms,stdev_latency_ms,p50_latency_ms,p95_latency_ms,min_latency_ms,max_latency_ms,median_cpu_time_ms,median_peak_rss_mb,median_page_faults,proof_bytes,mean_proof_bytes,stdev_proof_bytes,p50_proof_bytes,p95_proof_bytes,native_relation_size,relation_unit,public_inputs,expected_outcomes,stdev_unavailable_reason,excluded_boundary_metrics,metric_unavailable_reason,speedup_vs_one_thread,speedup_ci_low,speedup_ci_high,parallel_efficiency,application_throughput_units_s,native_overhead_ratio,cpu_wall_ratio,ram_per_application_unit_mb,saturation_threads,scaling_coefficient_a,scaling_exponent_b,scaling_exponent_ci_low,scaling_exponent_ci_high,scaling_r_squared,evidence_class,result_scope,run_role,recorded
PAPER-RQ1-IDENTITY,paper-identity-stark-v1,de37e6b6e76575a9843f9bc8c93dd6cd0baeb50e,c24f915ebca51f6b1ec2495b2fd8d52c23b516b84120b8d80add8663d951f0b9,credential,winterfell-0.13.1-f128,identity-paper-r1,"{""age_bits"":8,""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size""}",adapter_process_wall,16384,16,,true,10,169.860551,13.623712,167.969302,190.815451,153.430381,203.359267,635.000000,59.304688,15086.500000,,52934.200000,557.142870,53021.500000,53709.550000,16384,air_trace_cells,3,all-expected,,,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/2395/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2503/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2575/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2593/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,3.780453,0.003620,,,,,,,measured,paper-scale identity campaign,measurement,true
PAPER-RQ1-IDENTITY,paper-identity-stark-v1,de37e6b6e76575a9843f9bc8c93dd6cd0baeb50e,c24f915ebca51f6b1ec2495b2fd8d52c23b516b84120b8d80add8663d951f0b9,credential,winterfell-0.13.1-f128,identity-paper-r1,"{""age_bits"":8,""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size""}",adapter_process_wall,16384,16,wrong_public_input,true,3,182.797378,26.318469,181.015167,207.067007,157.415311,209.961656,700.000000,59.257812,15074.000000,,52541.000000,713.576205,52410.000000,53220.900000,16384,air_trace_cells,3,all-expected,,,"private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,3.867079,0.003617,,,,,,,measured,paper-scale identity campaign,measurement,true
PAPER-RQ1-IDENTITY,paper-identity-stark-v1,de37e6b6e76575a9843f9bc8c93dd6cd0baeb50e,c24f915ebca51f6b1ec2495b2fd8d52c23b516b84120b8d80add8663d951f0b9,credential,winterfell-0.13.1-f128,identity-paper-r1,"{""age_bits"":8,""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size""}",deserialize,16384,16,,true,10,0.030549,0.011327,0.026169,0.049586,0.023725,0.061254,,,,,,,,,,,,not-applicable,,,,,,,,,,,,,,,,,,measured,paper-scale identity campaign,measurement,true
PAPER-RQ1-IDENTITY,paper-identity-stark-v1,de37e6b6e76575a9843f9bc8c93dd6cd0baeb50e,c24f915ebca51f6b1ec2495b2fd8d52c23b516b84120b8d80add8663d951f0b9,credential,winterfell-0.13.1-f128,identity-paper-r1,"{""age_bits"":8,""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size""}",deserialize,16384,16,wrong_public_input,true,3,0.026576,0.001823,0.025677,0.028374,0.025377,0.028674,,,,,,,,,,,,not-applicable,,,,,,,,,,,,,,,,,,measured,paper-scale identity campaign,measurement,true
PAPER-RQ1-IDENTITY,paper-identity-stark-v1,de37e6b6e76575a9843f9bc8c93dd6cd0baeb50e,c24f915ebca51f6b1ec2495b2fd8d52c23b516b84120b8d80add8663d951f0b9,credential,winterfell-0.13.1-f128,identity-paper-r1,"{""age_bits"":8,""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size""}",fft_ntt,16384,16,,false,,,,,,,,,,,,,,,,,,,not-applicable,,,Winterfell exposes transparent trace/AIR proofing; no trusted setup or KZG commitment phase,,,,,,,,,,,,,,,measured,paper-scale identity campaign,measurement,true
PAPER-RQ1-IDENTITY,paper-identity-stark-v1,de37e6b6e76575a9843f9bc8c93dd6cd0baeb50e,c24f915ebca51f6b1ec2495b2fd8d52c23b516b84120b8d80add8663d951f0b9,credential,winterfell-0.13.1-f128,identity-paper-r1,"{""age_bits"":8,""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size""}",fft_ntt,16384,16,wrong_public_input,false,,,,,,,,,,,,,,,,,,,not-applicable,,,Winterfell exposes transparent trace/AIR proofing; no trusted setup or KZG commitment phase,,,,,,,,,,,,,,,measured,paper-scale identity campaign,measurement,true
PAPER-RQ1-IDENTITY,paper-identity-stark-v1,de37e6b6e76575a9843f9bc8c93dd6cd0baeb50e,c24f915ebca51f6b1ec2495b2fd8d52c23b516b84120b8d80add8663d951f0b9,credential,winterfell-0.13.1-f128,identity-paper-r1,"{""age_bits"":8,""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size""}",invalid_reject,16384,16,wrong_public_input,true,3,0.060188,0.005106,0.057777,0.065225,0.056735,0.066053,,,,,,,,,,,,not-applicable,,,,,,,,,,,,,,,,,,measured,paper-scale identity campaign,measurement,true
PAPER-RQ1-IDENTITY,paper-identity-stark-v1,de37e6b6e76575a9843f9bc8c93dd6cd0baeb50e,c24f915ebca51f6b1ec2495b2fd8d52c23b516b84120b8d80add8663d951f0b9,credential,winterfell-0.13.1-f128,identity-paper-r1,"{""age_bits"":8,""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size""}",key_load,16384,16,,false,,,,,,,,,,,,,,,,,,,not-applicable,,,Winterfell exposes transparent trace/AIR proofing; no trusted setup or KZG commitment phase,,,,,,,,,,,,,,,measured,paper-scale identity campaign,measurement,true
PAPER-RQ1-IDENTITY,paper-identity-stark-v1,de37e6b6e76575a9843f9bc8c93dd6cd0baeb50e,c24f915ebca51f6b1ec2495b2fd8d52c23b516b84120b8d80add8663d951f0b9,credential,winterfell-0.13.1-f128,identity-paper-r1,"{""age_bits"":8,""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size""}",key_load,16384,16,wrong_public_input,false,,,,,,,,,,,,,,,,,,,not-applicable,,,Winterfell exposes transparent trace/AIR proofing; no trusted setup or KZG commitment phase,,,,,,,,,,,,,,,measured,paper-scale identity campaign,measurement,true
PAPER-RQ1-IDENTITY,paper-identity-stark-v1,de37e6b6e76575a9843f9bc8c93dd6cd0baeb50e,c24f915ebca51f6b1ec2495b2fd8d52c23b516b84120b8d80add8663d951f0b9,credential,winterfell-0.13.1-f128,identity-paper-r1,"{""age_bits"":8,""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size""}",msm,16384,16,,false,,,,,,,,,,,,,,,,,,,not-applicable,,,Winterfell exposes transparent trace/AIR proofing; no trusted setup or KZG commitment phase,,,,,,,,,,,,,,,measured,paper-scale identity campaign,measurement,true
