claim_id,experiment_id,adapter_commit,config_hash,workload,variant,parameter_set,parameters_json,phase,input_scale,threads,invalid_proof_kind,supported,n,mean_latency_ms,stdev_latency_ms,p50_latency_ms,p95_latency_ms,min_latency_ms,max_latency_ms,median_cpu_time_ms,median_peak_rss_mb,median_page_faults,proof_bytes,mean_proof_bytes,stdev_proof_bytes,p50_proof_bytes,p95_proof_bytes,native_relation_size,relation_unit,public_inputs,expected_outcomes,stdev_unavailable_reason,excluded_boundary_metrics,metric_unavailable_reason,speedup_vs_one_thread,speedup_ci_low,speedup_ci_high,parallel_efficiency,application_throughput_units_s,native_overhead_ratio,cpu_wall_ratio,ram_per_application_unit_mb,saturation_threads,scaling_coefficient_a,scaling_exponent_b,scaling_exponent_ci_low,scaling_exponent_ci_high,scaling_r_squared,evidence_class,result_scope,run_role,recorded
PAPER-RQ3-PCAS,paper-pcas-stark-v1,7cdc095c81f873e9684a8d88adf809fac9d1d7be,6a1c50a8c7421bc73177c0a8385c52deaaf014cdde5ae9c48a8b43e3be21b1c8,private_swap,winterfell-0.13.1-f128,pcas-paper-r1,"{""ablation"":""full"",""application_units"":2,""hash_rounds"":5,""membership_paths"":2,""merkle_depth"":32,""range_bits"":64,""scale_mode"":""target_native_size"",""time_bits"":32}",adapter_process_wall,65536,16,,true,10,441.658547,23.968928,437.048137,480.773192,405.784779,487.825657,2905.000000,223.281250,59048.500000,,68076.900000,650.266005,68066.500000,69010.950000,65536,air_trace_cells,3,all-expected,,,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/2337/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2373/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2427/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2445/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2463/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2553/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,6.646865,0.003407,,,,,,,measured,paper-scale PCAS campaign,measurement,true
PAPER-RQ3-PCAS,paper-pcas-stark-v1,7cdc095c81f873e9684a8d88adf809fac9d1d7be,6a1c50a8c7421bc73177c0a8385c52deaaf014cdde5ae9c48a8b43e3be21b1c8,private_swap,winterfell-0.13.1-f128,pcas-paper-r1,"{""ablation"":""full"",""application_units"":2,""hash_rounds"":5,""membership_paths"":2,""merkle_depth"":32,""range_bits"":64,""scale_mode"":""target_native_size"",""time_bits"":32}",adapter_process_wall,65536,16,wrong_public_input,true,3,457.904594,33.500567,467.388759,483.815412,420.684428,485.640596,3130.000000,223.261719,59048.000000,,68197.000000,514.500729,68198.000000,68659.700000,65536,air_trace_cells,3,all-expected,,,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/2409/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,6.696781,0.003407,,,,,,,measured,paper-scale PCAS campaign,measurement,true
PAPER-RQ3-PCAS,paper-pcas-stark-v1,7cdc095c81f873e9684a8d88adf809fac9d1d7be,6a1c50a8c7421bc73177c0a8385c52deaaf014cdde5ae9c48a8b43e3be21b1c8,private_swap,winterfell-0.13.1-f128,pcas-paper-r1,"{""ablation"":""full"",""application_units"":2,""hash_rounds"":5,""membership_paths"":2,""merkle_depth"":32,""range_bits"":64,""scale_mode"":""target_native_size"",""time_bits"":32}",deserialize,65536,16,,true,10,0.041390,0.017512,0.032285,0.072614,0.027100,0.080720,,,,,,,,,,,,not-applicable,,,,,,,,,,,,,,,,,,measured,paper-scale PCAS campaign,measurement,true
PAPER-RQ3-PCAS,paper-pcas-stark-v1,7cdc095c81f873e9684a8d88adf809fac9d1d7be,6a1c50a8c7421bc73177c0a8385c52deaaf014cdde5ae9c48a8b43e3be21b1c8,private_swap,winterfell-0.13.1-f128,pcas-paper-r1,"{""ablation"":""full"",""application_units"":2,""hash_rounds"":5,""membership_paths"":2,""merkle_depth"":32,""range_bits"":64,""scale_mode"":""target_native_size"",""time_bits"":32}",deserialize,65536,16,wrong_public_input,true,3,0.037296,0.015426,0.030507,0.052507,0.026429,0.054952,,,,,,,,,,,,not-applicable,,,,,,,,,,,,,,,,,,measured,paper-scale PCAS campaign,measurement,true
PAPER-RQ3-PCAS,paper-pcas-stark-v1,7cdc095c81f873e9684a8d88adf809fac9d1d7be,6a1c50a8c7421bc73177c0a8385c52deaaf014cdde5ae9c48a8b43e3be21b1c8,private_swap,winterfell-0.13.1-f128,pcas-paper-r1,"{""ablation"":""full"",""application_units"":2,""hash_rounds"":5,""membership_paths"":2,""merkle_depth"":32,""range_bits"":64,""scale_mode"":""target_native_size"",""time_bits"":32}",fft_ntt,65536,16,,false,,,,,,,,,,,,,,,,,,,not-applicable,,,Winterfell exposes transparent trace/AIR proofing; no trusted setup or KZG commitment phase,,,,,,,,,,,,,,,measured,paper-scale PCAS campaign,measurement,true
PAPER-RQ3-PCAS,paper-pcas-stark-v1,7cdc095c81f873e9684a8d88adf809fac9d1d7be,6a1c50a8c7421bc73177c0a8385c52deaaf014cdde5ae9c48a8b43e3be21b1c8,private_swap,winterfell-0.13.1-f128,pcas-paper-r1,"{""ablation"":""full"",""application_units"":2,""hash_rounds"":5,""membership_paths"":2,""merkle_depth"":32,""range_bits"":64,""scale_mode"":""target_native_size"",""time_bits"":32}",fft_ntt,65536,16,wrong_public_input,false,,,,,,,,,,,,,,,,,,,not-applicable,,,Winterfell exposes transparent trace/AIR proofing; no trusted setup or KZG commitment phase,,,,,,,,,,,,,,,measured,paper-scale PCAS campaign,measurement,true
PAPER-RQ3-PCAS,paper-pcas-stark-v1,7cdc095c81f873e9684a8d88adf809fac9d1d7be,6a1c50a8c7421bc73177c0a8385c52deaaf014cdde5ae9c48a8b43e3be21b1c8,private_swap,winterfell-0.13.1-f128,pcas-paper-r1,"{""ablation"":""full"",""application_units"":2,""hash_rounds"":5,""membership_paths"":2,""merkle_depth"":32,""range_bits"":64,""scale_mode"":""target_native_size"",""time_bits"":32}",invalid_reject,65536,16,wrong_public_input,true,3,0.079241,0.019563,0.072344,0.098421,0.064060,0.101318,,,,,,,,,,,,not-applicable,,,,,,,,,,,,,,,,,,measured,paper-scale PCAS campaign,measurement,true
PAPER-RQ3-PCAS,paper-pcas-stark-v1,7cdc095c81f873e9684a8d88adf809fac9d1d7be,6a1c50a8c7421bc73177c0a8385c52deaaf014cdde5ae9c48a8b43e3be21b1c8,private_swap,winterfell-0.13.1-f128,pcas-paper-r1,"{""ablation"":""full"",""application_units"":2,""hash_rounds"":5,""membership_paths"":2,""merkle_depth"":32,""range_bits"":64,""scale_mode"":""target_native_size"",""time_bits"":32}",key_load,65536,16,,false,,,,,,,,,,,,,,,,,,,not-applicable,,,Winterfell exposes transparent trace/AIR proofing; no trusted setup or KZG commitment phase,,,,,,,,,,,,,,,measured,paper-scale PCAS campaign,measurement,true
PAPER-RQ3-PCAS,paper-pcas-stark-v1,7cdc095c81f873e9684a8d88adf809fac9d1d7be,6a1c50a8c7421bc73177c0a8385c52deaaf014cdde5ae9c48a8b43e3be21b1c8,private_swap,winterfell-0.13.1-f128,pcas-paper-r1,"{""ablation"":""full"",""application_units"":2,""hash_rounds"":5,""membership_paths"":2,""merkle_depth"":32,""range_bits"":64,""scale_mode"":""target_native_size"",""time_bits"":32}",key_load,65536,16,wrong_public_input,false,,,,,,,,,,,,,,,,,,,not-applicable,,,Winterfell exposes transparent trace/AIR proofing; no trusted setup or KZG commitment phase,,,,,,,,,,,,,,,measured,paper-scale PCAS campaign,measurement,true
PAPER-RQ3-PCAS,paper-pcas-stark-v1,7cdc095c81f873e9684a8d88adf809fac9d1d7be,6a1c50a8c7421bc73177c0a8385c52deaaf014cdde5ae9c48a8b43e3be21b1c8,private_swap,winterfell-0.13.1-f128,pcas-paper-r1,"{""ablation"":""full"",""application_units"":2,""hash_rounds"":5,""membership_paths"":2,""merkle_depth"":32,""range_bits"":64,""scale_mode"":""target_native_size"",""time_bits"":32}",msm,65536,16,,false,,,,,,,,,,,,,,,,,,,not-applicable,,,Winterfell exposes transparent trace/AIR proofing; no trusted setup or KZG commitment phase,,,,,,,,,,,,,,,measured,paper-scale PCAS campaign,measurement,true
PAPER-RQ3-PCAS,paper-pcas-stark-v1,7cdc095c81f873e9684a8d88adf809fac9d1d7be,6a1c50a8c7421bc73177c0a8385c52deaaf014cdde5ae9c48a8b43e3be21b1c8,private_swap,winterfell-0.13.1-f128,pcas-paper-r1,"{""ablation"":""full"",""application_units"":2,""hash_rounds"":5,""membership_paths"":2,""merkle_depth"":32,""range_bits"":64,""scale_mode"":""target_native_size"",""time_bits"":32}",msm,65536,16,wrong_public_input,false,,,,,,,,,,,,,,,,,,,not-applicable,,,Winterfell exposes transparent trace/AIR proofing; no trusted setup or KZG commitment phase,,,,,,,,,,,,,,,measured,paper-scale PCAS campaign,measurement,true
PAPER-RQ3-PCAS,paper-pcas-stark-v1,7cdc095c81f873e9684a8d88adf809fac9d1d7be,6a1c50a8c7421bc73177c0a8385c52deaaf014cdde5ae9c48a8b43e3be21b1c8,private_swap,winterfell-0.13.1-f128,pcas-paper-r1,"{""ablation"":""full"",""application_units"":2,""hash_rounds"":5,""membership_paths"":2,""merkle_depth"":32,""range_bits"":64,""scale_mode"":""target_native_size"",""time_bits"":32}",native_execution,65536,16,,true,10,1.600534,0.171579,1.594022,1.841854,1.339142,1.921918,,,,,,,,,,,,not-applicable,,,,,,,,,,,,,,,,,,measured,paper-scale PCAS campaign,measurement,true
PAPER-RQ3-PCAS,paper-pcas-stark-v1,7cdc095c81f873e9684a8d88adf809fac9d1d7be,6a1c50a8c7421bc73177c0a8385c52deaaf014cdde5ae9c48a8b43e3be21b1c8,private_swap,winterfell-0.13.1-f128,pcas-paper-r1,"{""ablation"":""full"",""application_units"":2,""hash_rounds"":5,""membership_paths"":2,""merkle_depth"":32,""range_bits"":64,""scale_mode"":""target_native_size"",""time_bits"":32}",native_execution,65536,16,wrong_public_input,true,3,1.723217,0.172945,1.786124,1.848926,1.527624,1.855904,,,,,,,,,,,,not-applicable,,,,,,,,,,,,,,,,,,measured,paper-scale PCAS campaign,measurement,true
PAPER-RQ3-PCAS,paper-pcas-stark-v1,7cdc095c81f873e9684a8d88adf809fac9d1d7be,6a1c50a8c7421bc73177c0a8385c52deaaf014cdde5ae9c48a8b43e3be21b1c8,private_swap,winterfell-0.13.1-f128,pcas-paper-r1,"{""ablation"":""full"",""application_units"":2,""hash_rounds"":5,""membership_paths"":2,""merkle_depth"":32,""range_bits"":64,""scale_mode"":""target_native_size"",""time_bits"":32}",prove_total,65536,16,,true,10,358.041562,17.909171,353.913980,389.206138,335.679531,391.785061,,,,,,,,,,,,not-applicable,,,,,,,,185174.939705,222.025782,,,,,,,,,measured,paper-scale PCAS campaign,measurement,true
PAPER-RQ3-PCAS,paper-pcas-stark-v1,7cdc095c81f873e9684a8d88adf809fac9d1d7be,6a1c50a8c7421bc73177c0a8385c52deaaf014cdde5ae9c48a8b43e3be21b1c8,private_swap,winterfell-0.13.1-f128,pcas-paper-r1,"{""ablation"":""full"",""application_units"":2,""hash_rounds"":5,""membership_paths"":2,""merkle_depth"":32,""range_bits"":64,""scale_mode"":""target_native_size"",""time_bits"":32}",prove_total,65536,16,wrong_public_input,true,3,376.985644,31.894457,394.868585,395.820428,340.162160,395.926188,,,,,,,,,,,,not-applicable,,,,,,,,,,,,,,,,,,measured,paper-scale PCAS campaign,measurement,true
PAPER-RQ3-PCAS,paper-pcas-stark-v1,7cdc095c81f873e9684a8d88adf809fac9d1d7be,6a1c50a8c7421bc73177c0a8385c52deaaf014cdde5ae9c48a8b43e3be21b1c8,private_swap,winterfell-0.13.1-f128,pcas-paper-r1,"{""ablation"":""full"",""application_units"":2,""hash_rounds"":5,""membership_paths"":2,""merkle_depth"":32,""range_bits"":64,""scale_mode"":""target_native_size"",""time_bits"":32}",serialize,65536,16,,true,10,0.045983,0.027816,0.033993,0.098135,0.026599,0.104063,,,,,,,,,,,,not-applicable,,,,,,,,,,,,,,,,,,measured,paper-scale PCAS campaign,measurement,true
PAPER-RQ3-PCAS,paper-pcas-stark-v1,7cdc095c81f873e9684a8d88adf809fac9d1d7be,6a1c50a8c7421bc73177c0a8385c52deaaf014cdde5ae9c48a8b43e3be21b1c8,private_swap,winterfell-0.13.1-f128,pcas-paper-r1,"{""ablation"":""full"",""application_units"":2,""hash_rounds"":5,""membership_paths"":2,""merkle_depth"":32,""range_bits"":64,""scale_mode"":""target_native_size"",""time_bits"":32}",serialize,65536,16,wrong_public_input,true,3,0.046189,0.031754,0.028082,0.077377,0.027631,0.082854,,,,,,,,,,,,not-applicable,,,,,,,,,,,,,,,,,,measured,paper-scale PCAS campaign,measurement,true
PAPER-RQ3-PCAS,paper-pcas-stark-v1,7cdc095c81f873e9684a8d88adf809fac9d1d7be,6a1c50a8c7421bc73177c0a8385c52deaaf014cdde5ae9c48a8b43e3be21b1c8,private_swap,winterfell-0.13.1-f128,pcas-paper-r1,"{""ablation"":""full"",""application_units"":2,""hash_rounds"":5,""membership_paths"":2,""merkle_depth"":32,""range_bits"":64,""scale_mode"":""target_native_size"",""time_bits"":32}",setup_or_preprocess,65536,16,,false,,,,,,,,,,,,,,,,,,,not-applicable,,,Winterfell exposes transparent trace/AIR proofing; no trusted setup or KZG commitment phase,,,,,,,,,,,,,,,measured,paper-scale PCAS campaign,measurement,true
PAPER-RQ3-PCAS,paper-pcas-stark-v1,7cdc095c81f873e9684a8d88adf809fac9d1d7be,6a1c50a8c7421bc73177c0a8385c52deaaf014cdde5ae9c48a8b43e3be21b1c8,private_swap,winterfell-0.13.1-f128,pcas-paper-r1,"{""ablation"":""full"",""application_units"":2,""hash_rounds"":5,""membership_paths"":2,""merkle_depth"":32,""range_bits"":64,""scale_mode"":""target_native_size"",""time_bits"":32}",setup_or_preprocess,65536,16,wrong_public_input,false,,,,,,,,,,,,,,,,,,,not-applicable,,,Winterfell exposes transparent trace/AIR proofing; no trusted setup or KZG commitment phase,,,,,,,,,,,,,,,measured,paper-scale PCAS campaign,measurement,true
PAPER-RQ3-PCAS,paper-pcas-stark-v1,7cdc095c81f873e9684a8d88adf809fac9d1d7be,6a1c50a8c7421bc73177c0a8385c52deaaf014cdde5ae9c48a8b43e3be21b1c8,private_swap,winterfell-0.13.1-f128,pcas-paper-r1,"{""ablation"":""full"",""application_units"":2,""hash_rounds"":5,""membership_paths"":2,""merkle_depth"":32,""range_bits"":64,""scale_mode"":""target_native_size"",""time_bits"":32}",verify_total,65536,16,,true,10,1.746974,0.155724,1.733853,1.919814,1.429110,1.933028,,,,,,,,,,,,not-applicable,,,,,,,,,,,,,,,,,,measured,paper-scale PCAS campaign,measurement,true
