claim_id,experiment_id,adapter_commit,config_hash,workload,variant,parameter_set,parameters_json,phase,input_scale,threads,invalid_proof_kind,supported,n,mean_latency_ms,stdev_latency_ms,p50_latency_ms,p95_latency_ms,min_latency_ms,max_latency_ms,median_cpu_time_ms,median_peak_rss_mb,median_page_faults,proof_bytes,mean_proof_bytes,stdev_proof_bytes,p50_proof_bytes,p95_proof_bytes,native_relation_size,relation_unit,public_inputs,expected_outcomes,stdev_unavailable_reason,excluded_boundary_metrics,metric_unavailable_reason,speedup_vs_one_thread,speedup_ci_low,speedup_ci_high,parallel_efficiency,application_throughput_units_s,native_overhead_ratio,cpu_wall_ratio,ram_per_application_unit_mb,saturation_threads,scaling_coefficient_a,scaling_exponent_b,scaling_exponent_ci_low,scaling_exponent_ci_high,scaling_r_squared,evidence_class,result_scope,run_role,recorded
PAPER-RQ2-STATE-APPLICATION-SCALING,paper-state_application-stark-v1,7586902aa963a117c604ef0ca2c811c4c0e69e55,ce5af77a2ad99f5bc72ff34189bbe28738c71e74d704b797be53b35265d4c9f4,batched_state,winterfell-0.13.1-f128-state-air-v1,state_application-paper-r1,"{""delta_schedule"":""splitmix64-v1"",""hash_rounds"":5,""scale_mode"":""application_units"",""stark_relation_mode"":""application_predicate"",""update_bits"":16}",adapter_process_wall,127,16,,true,10,188.711661,15.893511,192.197862,206.451226,153.035968,207.924279,555.000000,5.445312,683.000000,,31879.300000,504.162242,31793.000000,32459.850000,3712,air_trace_cells,3,all-expected,,,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/12055/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/12511/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/12682/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/13100/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 2] No such file or directory: '/proc/12359/status'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,2.887649,0.042876,,,,,,,measured,E2/E3 same-predicate state application-scaling campaign,measurement,true
PAPER-RQ2-STATE-APPLICATION-SCALING,paper-state_application-stark-v1,7586902aa963a117c604ef0ca2c811c4c0e69e55,ce5af77a2ad99f5bc72ff34189bbe28738c71e74d704b797be53b35265d4c9f4,batched_state,winterfell-0.13.1-f128-state-air-v1,state_application-paper-r1,"{""delta_schedule"":""splitmix64-v1"",""hash_rounds"":5,""scale_mode"":""application_units"",""stark_relation_mode"":""application_predicate"",""update_bits"":16}",adapter_process_wall,127,16,wrong_public_input,true,3,207.141034,26.760799,201.234560,232.848946,183.826885,236.361656,600.000000,5.417969,680.000000,,31327.333333,691.054508,31511.000000,31868.300000,3712,air_trace_cells,3,all-expected,,,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/12948/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,2.981595,0.042661,,,,,,,measured,E2/E3 same-predicate state application-scaling campaign,measurement,true
PAPER-RQ2-STATE-APPLICATION-SCALING,paper-state_application-stark-v1,7586902aa963a117c604ef0ca2c811c4c0e69e55,ce5af77a2ad99f5bc72ff34189bbe28738c71e74d704b797be53b35265d4c9f4,batched_state,winterfell-0.13.1-f128-state-air-v1,state_application-paper-r1,"{""delta_schedule"":""splitmix64-v1"",""hash_rounds"":5,""scale_mode"":""application_units"",""stark_relation_mode"":""application_predicate"",""update_bits"":16}",adapter_process_wall,255,16,,true,10,188.953932,43.755996,195.262692,247.149506,125.352476,272.591537,525.000000,6.332031,1093.500000,,35394.400000,576.463972,35447.500000,36167.800000,7424,air_trace_cells,3,all-expected,,,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/12302/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/12378/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/12663/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/12872/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/12967/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/13062/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/13252/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/13271/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,2.688686,0.024831,,,,,,,measured,E2/E3 same-predicate state application-scaling campaign,measurement,true
PAPER-RQ2-STATE-APPLICATION-SCALING,paper-state_application-stark-v1,7586902aa963a117c604ef0ca2c811c4c0e69e55,ce5af77a2ad99f5bc72ff34189bbe28738c71e74d704b797be53b35265d4c9f4,batched_state,winterfell-0.13.1-f128-state-air-v1,state_application-paper-r1,"{""delta_schedule"":""splitmix64-v1"",""hash_rounds"":5,""scale_mode"":""application_units"",""stark_relation_mode"":""application_predicate"",""update_bits"":16}",adapter_process_wall,511,16,,true,10,167.857043,41.426100,167.109837,230.848944,117.311652,236.753657,440.000000,8.005859,1776.500000,,42873.700000,674.970789,42955.000000,43856.400000,14848,air_trace_cells,3,all-expected,,,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/12549/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/12815/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/12910/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/13290/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/13404/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 2] No such file or directory: '/proc/13309/status'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,2.632999,0.015667,,,,,,,measured,E2/E3 same-predicate state application-scaling campaign,measurement,true
PAPER-RQ2-STATE-APPLICATION-SCALING,paper-state_application-stark-v1,7586902aa963a117c604ef0ca2c811c4c0e69e55,ce5af77a2ad99f5bc72ff34189bbe28738c71e74d704b797be53b35265d4c9f4,batched_state,winterfell-0.13.1-f128-state-air-v1,state_application-paper-r1,"{""delta_schedule"":""splitmix64-v1"",""hash_rounds"":5,""scale_mode"":""application_units"",""stark_relation_mode"":""application_predicate"",""update_bits"":16}",adapter_process_wall,1023,16,,true,10,194.957152,54.808350,173.951578,276.650265,128.612374,311.690811,475.000000,12.294922,3380.000000,,46841.600000,686.468774,46847.500000,47606.400000,29696,air_trace_cells,3,all-expected,,,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/12093/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/12891/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/13214/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 2] No such file or directory: '/proc/12606/status'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,2.730645,0.012018,,,,,,,measured,E2/E3 same-predicate state application-scaling campaign,measurement,true
PAPER-RQ2-STATE-APPLICATION-SCALING,paper-state_application-stark-v1,7586902aa963a117c604ef0ca2c811c4c0e69e55,ce5af77a2ad99f5bc72ff34189bbe28738c71e74d704b797be53b35265d4c9f4,batched_state,winterfell-0.13.1-f128-state-air-v1,state_application-paper-r1,"{""delta_schedule"":""splitmix64-v1"",""hash_rounds"":5,""scale_mode"":""application_units"",""stark_relation_mode"":""application_predicate"",""update_bits"":16}",adapter_process_wall,2047,16,,true,10,199.730924,35.032296,194.898769,245.996792,133.649196,257.194367,600.000000,21.482422,6205.500000,,51244.700000,618.781607,51379.500000,51976.250000,59392,air_trace_cells,3,all-expected,,,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/12207/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/12264/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/12454/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/12473/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/12739/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/12758/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/13024/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,3.078521,0.010495,,,,,,,measured,E2/E3 same-predicate state application-scaling campaign,measurement,true
PAPER-RQ2-STATE-APPLICATION-SCALING,paper-state_application-stark-v1,7586902aa963a117c604ef0ca2c811c4c0e69e55,ce5af77a2ad99f5bc72ff34189bbe28738c71e74d704b797be53b35265d4c9f4,batched_state,winterfell-0.13.1-f128-state-air-v1,state_application-paper-r1,"{""delta_schedule"":""splitmix64-v1"",""hash_rounds"":5,""scale_mode"":""application_units"",""stark_relation_mode"":""application_predicate"",""update_bits"":16}",adapter_process_wall,4095,16,,true,10,235.711474,52.879376,241.921162,303.792781,156.681202,305.726831,895.000000,39.941406,11836.500000,,58907.700000,823.038280,58975.500000,60003.450000,118784,air_trace_cells,3,all-expected,,,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/12150/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/12188/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/12530/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/12834/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/12853/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,3.699552,0.009754,,,,,,,measured,E2/E3 same-predicate state application-scaling campaign,measurement,true
PAPER-RQ2-STATE-APPLICATION-SCALING,paper-state_application-stark-v1,7586902aa963a117c604ef0ca2c811c4c0e69e55,ce5af77a2ad99f5bc72ff34189bbe28738c71e74d704b797be53b35265d4c9f4,batched_state,winterfell-0.13.1-f128-state-air-v1,state_application-paper-r1,"{""delta_schedule"":""splitmix64-v1"",""hash_rounds"":5,""scale_mode"":""application_units"",""stark_relation_mode"":""application_predicate"",""update_bits"":16}",adapter_process_wall,8191,16,,true,10,257.560517,70.374292,223.093665,365.670876,185.688779,386.753972,975.000000,77.205078,23948.000000,,63913.200000,751.059962,63706.000000,64957.850000,237568,air_trace_cells,3,all-expected,,,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/12112/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/12321/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/12416/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/12568/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/12986/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/13043/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/13195/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/13233/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/13328/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/13423/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,4.370362,0.009426,,,,,,,measured,E2/E3 same-predicate state application-scaling campaign,measurement,true
PAPER-RQ2-STATE-APPLICATION-SCALING,paper-state_application-stark-v1,7586902aa963a117c604ef0ca2c811c4c0e69e55,ce5af77a2ad99f5bc72ff34189bbe28738c71e74d704b797be53b35265d4c9f4,batched_state,winterfell-0.13.1-f128-state-air-v1,state_application-paper-r1,"{""delta_schedule"":""splitmix64-v1"",""hash_rounds"":5,""scale_mode"":""application_units"",""stark_relation_mode"":""application_predicate"",""update_bits"":16}",deserialize,127,16,,true,10,0.047755,0.016070,0.054827,0.061448,0.021079,0.061615,,,,,,,,,,,,not-applicable,,,,,,,,,,,,,,,,,,measured,E2/E3 same-predicate state application-scaling campaign,measurement,true
PAPER-RQ2-STATE-APPLICATION-SCALING,paper-state_application-stark-v1,7586902aa963a117c604ef0ca2c811c4c0e69e55,ce5af77a2ad99f5bc72ff34189bbe28738c71e74d704b797be53b35265d4c9f4,batched_state,winterfell-0.13.1-f128-state-air-v1,state_application-paper-r1,"{""delta_schedule"":""splitmix64-v1"",""hash_rounds"":5,""scale_mode"":""application_units"",""stark_relation_mode"":""application_predicate"",""update_bits"":16}",deserialize,127,16,wrong_public_input,true,3,0.044389,0.014279,0.051275,0.053656,0.027972,0.053921,,,,,,,,,,,,not-applicable,,,,,,,,,,,,,,,,,,measured,E2/E3 same-predicate state application-scaling campaign,measurement,true
